year,faut_VERB ôter_VERB,faut_VERB oter_VERB,faut_VERB voter_VERB
1800,2.86118961412285e-07,1.8864987794131594e-08,6.288328968651058e-09
1801,3.0717254162482277e-07,2.3811825844433088e-09,0.0
1802,5.035140020481776e-07,4.475680270843441e-09,6.713520406265161e-09
1803,2.9060055339868995e-07,1.950339223455444e-09,0.0
1804,3.633620906384749e-07,7.4155526164076946e-09,0.0
1805,1.8762992226584174e-07,0.0,0.0
1806,2.1612518708025164e-07,0.0,0.0
1807,1.9643989901396708e-07,2.8469551160981155e-09,0.0
1808,1.8581806671136292e-07,4.5321479902327155e-09,0.0
1809,2.1234886560250743e-07,0.0,0.0
1810,2.527336846469552e-07,2.3401267590372754e-09,0.0
1811,1.855236746450828e-07,2.5070767684098882e-09,0.0
1812,2.2671270016871858e-07,5.3344164641089264e-09,5.3344164641089264e-09
1813,1.8404746526812232e-07,0.0,2.8757416448144113e-09
1814,2.0453401816666883e-07,0.0,3.1466771410748606e-09
1815,7.552225866902518e-08,0.0,0.0
1816,4.959672423865413e-07,4.6352077731626196e-09,0.0
1817,2.1796228111270466e-07,0.0,0.0
1818,2.0504424469436344e-07,0.0,3.5763532135746345e-09
1819,2.2151246525936585e-07,1.2421260464634543e-08,4.864993385922389e-08
1820,1.8511710209168086e-07,0.0,2.3732962262101864e-08
1821,1.617284084431958e-07,1.97229765852569e-09,1.1833785507064931e-08
1822,2.1956098805731017e-07,1.0025615893027862e-09,6.717162648328667e-08
1823,1.2946320282480883e-07,4.941343334508019e-09,1.9765373782121287e-09
1824,1.3557990996559965e-07,8.421112696055388e-10,2.5263338088166165e-08
1825,1.620201572904989e-07,8.805443041381977e-10,4.4027217427355936e-09
1826,1.6294771398861485e-07,8.807984341885344e-10,1.6735169694470642e-08
1827,1.7420646258869965e-07,1.8434546111834038e-09,9.217273055917019e-10
1828,1.8344601926401083e-07,9.172301251858528e-10,9.172301251858528e-10
1829,1.4402935732960032e-07,0.0,9.430493719264632e-09
1830,1.586399065445221e-07,2.0873671680021744e-09,4.174734336004349e-09
1831,1.933309619062129e-07,1.5591206103948707e-09,2.3386808933878456e-08
1832,1.2853470821028168e-07,1.3529969367098715e-09,1.352996914505411e-08
1833,1.2394482951094687e-07,0.0,3.4750886612755494e-09
1834,1.4841904771856207e-07,1.8669061851994684e-09,8.401078055442213e-09
1835,1.792451769233594e-07,5.294161553592858e-09,1.8907719834260206e-08
1836,1.901972268569807e-07,2.0162250202737653e-09,4.704525213838906e-09
1837,1.6072728215021925e-07,6.957890930081589e-10,8.349468672008697e-09
1838,1.218247263068406e-07,1.8936485712828244e-09,2.0830134062066463e-08
1839,1.1815593126129897e-07,1.3982950353153e-09,9.088918062616358e-09
1840,1.6815978653994534e-07,1.2739377330817092e-09,1.0828470564661075e-08
1841,1.194221965761244e-07,4.494383976094696e-09,3.852329122366882e-09
1842,1.3148199684565043e-07,2.0124795163667386e-09,2.4149754196400863e-08
1843,1.8252355005188292e-07,3.544146642830981e-09,1.594865928211675e-08
1844,1.2953005068538914e-07,5.488561272137815e-10,1.811225303072206e-08
1845,1.2276501593078137e-07,5.580227946389016e-10,1.6182660544927785e-08
1846,1.0011197559833818e-07,2.3418005312692003e-09,2.6930706553685013e-08
1847,8.143767615820252e-08,2.6966118227278457e-09,1.7258315665458213e-08
1848,6.516629724728773e-08,8.045221711050488e-10,1.0619692858426788e-07
1849,9.803915190786938e-08,8.379414939696517e-10,1.8015741432009236e-07
1850,8.078905011643656e-08,6.788996032014438e-10,1.1337623107010586e-07
