year,tout_DET air_NOUN,tout_DET verre_NOUN
1800,8.803660733747165e-08,6.288328968651058e-09
1801,1.0239084957675004e-07,0.0
1802,8.056224487518193e-08,7.832440473976021e-08
1803,4.6808139586573816e-08,3.900678446910888e-09
1804,1.5819846055364906e-07,2.22466585153569e-08
1805,1.0802935435094696e-07,2.842877711017877e-09
1806,4.610670600868616e-08,0.0
1807,3.4163460504998966e-08,1.1387820464392462e-08
1808,8.837688625362716e-08,4.5321479902327155e-09
1809,7.680704072754452e-08,0.0
1810,1.7316938283329364e-07,0.0
1811,2.0056613259100686e-08,3.5099073869560016e-08
1812,9.601949368942542e-08,2.6672082320544632e-09
1813,5.176335093892703e-08,0.0
1814,1.6048053197437184e-07,0.0
1815,5.933891955578474e-08,0.0
1816,8.806894591373293e-08,0.0
1817,6.538868291272593e-08,0.0
1818,9.656153565629211e-08,2.384235475716423e-09
1819,5.693077387292078e-08,1.035105001712111e-09
1820,8.899861114741725e-08,0.0
1821,8.185035138552621e-08,0.0
1822,5.213320264374488e-08,0.0
1823,5.040170203418626e-08,0.0
1824,6.147412268120434e-08,1.0947446504872005e-08
1825,1.0126259830656181e-07,0.0
1826,5.549030035467695e-08,0.0
1827,7.189472972513045e-08,0.0
1828,4.769596717579816e-08,0.0
1829,1.243110556714555e-07,0.0
1830,3.965997530386289e-08,0.0
1831,3.897801348351493e-08,0.0
1832,4.19429042608499e-08,0.0
1833,3.243415958031903e-08,0.0
1834,2.42697808516823e-08,0.0
1835,5.7479468296151026e-08,2.2689263801112247e-09
1836,3.8980349170714135e-08,0.0
1837,6.192522938874845e-08,0.0
1838,3.913540558286854e-08,3.787297142565649e-09
1839,4.6842884238174065e-08,1.3982950353153e-09
1840,2.7389661649834807e-08,0.0
1841,3.5955071808757566e-08,2.5682194149112547e-09
1842,3.6224630406422875e-08,3.3541325272778977e-09
1843,6.852016487535195e-08,0.0
1844,4.9945909186277504e-08,4.939705311457487e-09
1845,3.0691253649628436e-08,8.370341864072373e-09
1846,3.0443406462410394e-08,0.0
1847,1.9954927488186058e-08,3.235934187273415e-09
1848,2.735375348450475e-08,8.045221711050488e-10
