year,avait_VERB omis_VERB,avait_VERB vomi_VERB
1800,3.458580977167003e-08,5.973912209356058e-08
1801,1.04772034603684e-07,6.191074675143682e-08
1802,4.699464284385613e-08,1.320325679898815e-07
1803,7.411289004721766e-08,5.460949736857401e-08
1804,1.4336735887354735e-07,4.943701981119375e-08
1805,1.02343598484822e-07,4.264316544322355e-08
1806,1.152667650217154e-07,1.123850950079941e-07
1807,3.7010417486271763e-07,5.97860605466849e-08
1808,2.5606635745134554e-07,3.172503681980743e-08
1809,1.8524050915402768e-07,2.710836710662079e-08
1810,2.971960952891095e-07,5.3822915901946544e-08
1811,1.0279014617253779e-07,7.52123057168319e-08
1812,4.107500615191384e-07,5.067695596494559e-08
1813,1.9267469042461016e-07,6.039057609541487e-08
1814,9.44003133440674e-08,1.258670891957081e-07
1815,2.022917726662854e-07,2.1038343334112142e-07
1816,1.62232268507978e-07,5.0987285504788815e-08
1817,2.4131537657012814e-07,5.4490570278176165e-08
1818,1.776255373897584e-07,6.675859509641668e-08
1819,1.2317750019974483e-07,5.3825459644940565e-08
1820,1.2341141086835705e-07,8.42520151422832e-08
1821,2.2878653282987216e-07,6.7058117281249e-08
1822,2.4261990461127425e-07,9.825103575167304e-08
1823,1.630643282624078e-07,1.1167436042569534e-07
1824,1.8610658969464566e-07,7.242157096243318e-08
1825,2.518356723157922e-07,9.509878395874694e-08
1826,2.4310037360919523e-07,1.1978858083239174e-07
1827,4.092469225724926e-07,4.885154680778214e-08
1828,3.714781939834211e-07,8.255071293206129e-08
1829,2.43478211814363e-07,8.058785283537873e-08
1830,3.1101771469366213e-07,8.245100246995207e-08
1831,3.1338325356955465e-07,1.1381580122815649e-07
1832,2.692463851872162e-07,1.352997003323253e-07
1833,3.069661431709392e-07,1.0772774317047151e-07
1834,3.220413304916292e-07,6.72086244435377e-08
1835,1.9966552144978778e-07,8.470658485748572e-08
1836,2.2917757291907037e-07,9.610672435655943e-08
1837,2.0038726233906345e-07,1.502904467542976e-07
1838,2.0767012642863847e-07,6.501526428337456e-08
1839,2.7686240855473443e-07,9.019002789045771e-08
1840,2.592463204109663e-07,1.05099864811109e-07
1841,2.6773687977765803e-07,9.245589893680517e-08
1842,2.314351377208368e-07,5.366612043644636e-08
1843,2.5872270725812996e-07,8.91943585656918e-08
1844,2.7497691235112143e-07,7.958414016684401e-08
1845,2.617126995119179e-07,6.975285060661918e-08
1846,2.974086612539395e-07,6.6741314697083e-08
1847,3.257507046328101e-07,6.633665350364026e-08
1848,3.0571843012694444e-07,8.930196315759531e-08
1849,2.698171499559976e-07,6.535943697372204e-08
1850,2.8106444460718194e-07,7.060555873295016e-08
1851,2.818404709614697e-07,8.513259075471069e-08
1852,2.9427664571812784e-07,1.3411722932232806e-07
1853,2.5141832793451613e-07,7.1663180278847e-08
1854,2.9615287644446653e-07,7.06610379097583e-08
1855,2.9082013952574925e-07,8.703376863650192e-08
1856,2.4384561925216985e-07,6.885661463229553e-08
1857,2.1527455373870907e-07,4.246912865824015e-08
1858,2.3636455637188192e-07,6.410715513993637e-08
1859,2.1438049202515685e-07,5.1940169498720934e-08
1860,1.9681890250922152e-07,5.7214798232507746e-08
1861,2.2872424665365543e-07,8.017138242166766e-08
1862,2.3990506292648206e-07,6.641440108978713e-08
1863,2.417396558485052e-07,6.193329937786984e-08
1864,2.1576275344159512e-07,5.6098315326380543e-08
1865,1.8592035644360294e-07,5.130460323243824e-08
1866,1.9997669653548655e-07,5.1088935748566655e-08
1867,2.678751798157464e-07,4.949867715708933e-08
1868,2.4402979192927887e-07,4.0506968446152314e-08
1869,2.822673934588238e-07,6.543915986867432e-08
1870,2.517247423838853e-07,4.185855573268782e-08
1871,2.644673031682032e-07,4.460894587055009e-08
1872,2.763634086022648e-07,3.205089882385437e-08
1873,2.5021498117894225e-07,4.788803664723673e-08
1874,2.0851385329478944e-07,5.914862910572083e-08
1875,2.099800440191757e-07,7.323554740423788e-08
1876,2.297485650615272e-07,3.3857681103199866e-08
1877,2.7460583851279807e-07,4.5149157301693776e-08
1878,1.9627037772806943e-07,4.7104890654736664e-08
1879,2.382636807851668e-07,2.871382953628654e-08
1880,2.156396305963426e-07,4.043243251317108e-08
1881,2.705332917685155e-07,8.018383823582553e-08
1882,2.948335691144166e-07,3.3276926103553706e-08
1883,2.5087774702114984e-07,5.497824773215143e-08
1884,2.3502040846778982e-07,3.6969503014461225e-08
1885,2.4557871824981703e-07,4.254119545521462e-08
1886,2.5555718252689985e-07,3.484870347847391e-08
1887,2.3047104491524806e-07,3.264462478114183e-08
1888,3.227372928904515e-07,1.1413106904001324e-08
1889,2.286774929416424e-07,3.00726554769426e-08
1890,2.1432843766433507e-07,3.4082809463598096e-08
1891,2.5178169948958384e-07,3.505821055682645e-08
1892,2.7393397772357275e-07,4.5133290882404253e-08
1893,2.5803765879572893e-07,3.7566341148931315e-08
1894,2.9995325689924357e-07,3.150769600779313e-08
1895,3.021344525677705e-07,4.213030280197927e-08
1896,2.358811599378896e-07,2.181900704556483e-08
1897,2.557927132329496e-07,3.729096675897381e-08
1898,2.523626392303413e-07,2.4896761985360172e-08
1899,2.2441967928443773e-07,2.8743407654019393e-08
1900,2.31001862971425e-07,3.322274011452464e-08
1901,2.4031578504946083e-07,2.2913829056392387e-08
1902,2.3176539798441809e-07,3.879124221839447e-08
1903,3.2617330703033076e-07,2.7001101798873606e-08
1904,2.880799172544357e-07,2.4723275870996986e-08
1905,2.9467935291904723e-07,2.7352022868853965e-08
1906,2.58752493209613e-07,2.1091157265118454e-08
1907,2.859420931144996e-07,1.491424583832668e-08
1908,2.485163008714153e-07,4.174680867663483e-08
1909,2.260904210515946e-07,2.2554033307642385e-08
1910,2.7308610128784494e-07,6.680188135987919e-08
1911,2.3782072844369395e-07,2.8730021028877673e-08
1912,2.297354768643345e-07,2.6568049094066737e-08
1913,2.6514948103795177e-07,2.8636144122629048e-08
1914,2.1161710606065753e-07,2.343860217024485e-08
1915,2.2147833078633994e-07,1.8849219074468238e-08
1916,2.0436679903923505e-07,1.3184954461564757e-08
1917,2.1823184681579733e-07,7.676496771580332e-09
1918,1.5851199464123056e-07,2.412139110674616e-08
1919,2.3295856976801588e-07,1.1970202606903513e-08
1920,2.2413806277654658e-07,3.104614876292544e-08
1921,2.3021152628643904e-07,1.5145495524393482e-08
1922,2.7372141175874276e-07,2.2133805899215986e-08
1923,1.9321025490626198e-07,9.554353752605493e-09
1924,2.1786844683902018e-07,2.0626599095407983e-08
1925,2.463591783907759e-07,1.7597084678300234e-08
1926,2.3183967812201445e-07,1.89484357093761e-08
1927,2.330187953702989e-07,2.5643217327342427e-08
1928,2.1480957457242766e-07,2.399468712610542e-08
1929,2.517731729767547e-07,2.1166771446701205e-08
1930,2.0482026741319714e-07,1.3654684494213143e-08
1931,2.2354498696586234e-07,2.167017854048936e-08
1932,2.3343812927123508e-07,1.753525857850491e-08
1933,3.1314908710555756e-07,2.982372038218273e-08
1934,2.6599107627589547e-07,1.3179738189705859e-08
1935,2.2261008325585863e-07,1.3165112555668657e-08
1936,2.133949692506576e-07,1.6974599503782883e-08
1937,2.6441347245054203e-07,1.7627565185307503e-08
1938,2.8782775984836917e-07,2.5930429359277696e-08
1939,1.819991979346014e-07,2.5999884911698246e-08
1940,1.6482589160204952e-07,1.5214697057785997e-08
1941,2.715382265705557e-07,2.9515025978810172e-09
1942,2.457711616443703e-07,5.158160121254696e-08
1943,1.683876433844489e-07,2.322588166236983e-08
1944,2.1528347815547022e-07,2.8918675454292497e-08
1945,1.9388686212096218e-07,2.6142048525912287e-08
1946,1.8375857280261698e-07,2.0881657292193267e-08
1947,2.706037776079029e-07,2.3841742802233057e-08
1948,2.620124917029898e-07,9.784699273041042e-09
1949,2.385532980042626e-07,1.9634017078828947e-08
1950,1.9462711975393177e-07,3.296961992305114e-08
1951,1.8977294757860363e-07,4.157946520422229e-08
1952,2.456939398598479e-07,1.4762725264461096e-08
1953,2.671909271612094e-07,1.8315507332999914e-08
1954,2.1890480184083572e-07,1.5636057781875934e-08
1955,1.9897488812148367e-07,2.5341140741375057e-08
1956,2.1628430602049775e-07,2.616342520411763e-08
1957,2.2175944991431606e-07,2.03205861026845e-08
1958,2.159055583206282e-07,1.8198935691771112e-08
1959,2.464737747231993e-07,1.5501495198577686e-08
1960,2.1731416666170844e-07,2.07624992754063e-08
1961,2.2025665202818345e-07,2.084447814354462e-08
1962,2.0294260139053222e-07,3.868593267952747e-08
1963,2.1402635752565402e-07,1.681173777967615e-08
1964,2.3788315672845783e-07,2.068549243006146e-08
1965,2.123152853528154e-07,2.2982582947861374e-08
1966,2.3707239904524613e-07,2.76953731059848e-08
1967,1.671383813572902e-07,2.465167803222812e-08
1968,1.940291696200802e-07,1.9313088017725022e-08
1969,1.862120768691966e-07,1.4533624970169967e-08
1970,2.3453497988157324e-07,1.609553734738256e-08
1971,2.0348053908492147e-07,2.6205826841874114e-08
1972,1.8006815594162617e-07,2.205963234302999e-08
1973,2.0895042496249516e-07,2.260413545229767e-08
1974,2.1320916232525633e-07,2.700274492895005e-08
1975,2.147516511286085e-07,2.1132477101559743e-08
1976,2.056869732314226e-07,1.656922776760439e-08
