year,pouvaient_VERB ôter_VERB,pouvaient_VERB voter_VERB
1800,6.288328791015374e-08,0.0
1801,0.0,2.1430643926123594e-08
1802,0.0,0.0
1803,0.0,5.851017448321727e-09
1804,0.0,2.4718509905596875e-08
1805,5.685755422035754e-09,2.842877711017877e-09
1806,0.0,0.0
1807,5.693910232196231e-09,8.540865792383556e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.757784400841956e-08,0.0
1812,1.600324850414836e-08,1.3336041604361526e-08
1813,2.8757416448144113e-09,0.0
1814,1.5733386149463513e-08,1.8880061958270744e-08
1815,0.0,5.394447111228828e-09
1816,1.622322720606917e-08,0.0
1817,1.71256075987003e-08,0.0
1818,9.536941902865692e-09,4.6492591110336434e-08
1819,7.24573512300708e-09,2.3807414706311647e-08
1820,1.542642635854463e-08,1.0679833017945839e-08
1821,1.3806083387635226e-08,3.155676253641104e-08
1822,1.2030739071633434e-08,6.015369535816717e-09
1823,2.7671523739059012e-08,7.906149512848515e-09
1824,3.3684450784221553e-09,1.8526447931321854e-08
1825,2.641632912414593e-09,1.3208164340028361e-08
1826,3.5231937367541377e-09,7.0463874735082754e-09
1827,4.608636583469661e-09,2.1199728195142598e-08
1828,6.420610709767516e-09,1.2841221419535032e-08
1829,1.714635211591542e-09,1.1145129263923081e-08
1830,3.1310507520032616e-09,2.0873671680021744e-09
1831,3.1182412207897414e-09,1.5591206103948707e-09
1832,1.352996914505411e-08,2.705993873419743e-09
1833,0.0,8.108539617524002e-09
1834,9.334530925997342e-10,1.6802156110884425e-08
1835,3.025235173481633e-09,1.1344631900556124e-08
1836,1.008112526790228e-08,1.8818100855355624e-08
1837,4.87052354003481e-09,1.7394727436226276e-08
1838,1.5780404538645598e-08,3.1560809521380406e-09
1839,1.8876983531868063e-08,6.9914749545318955e-09
1840,1.3376346252869098e-08,2.165694112932215e-08
1841,9.630822361827995e-09,1.4125206782011901e-08
1842,1.475818312002275e-08,1.408735705865638e-08
1843,1.5357969118667825e-08,2.4218335781256428e-08
1844,3.841992946007622e-09,2.8540519281250454e-08
1845,2.2320911785556063e-09,1.0602432709561072e-08
1846,1.2879903366069811e-08,2.3418005312692003e-08
1847,3.775256551818984e-09,1.6179670936367074e-08
1848,8.045221711050488e-10,3.378993085334514e-08
1849,5.02764896381791e-09,2.262441967104678e-08
1850,6.788996032014438e-10,3.326607966869233e-08
1851,3.2247193804124663e-09,4.2566295377355345e-08
1852,6.510545436100301e-10,3.385483537954315e-08
1853,8.360704129017904e-09,1.3735443005202796e-08
1854,3.63696517347023e-09,1.0391328686409906e-08
1855,2.653468555990912e-09,1.5920811335945473e-08
1856,5.694908100650764e-09,1.5531567143511893e-08
1857,6.345961978126979e-09,1.4156376515472857e-08
1858,2.495774786837046e-08,6.8511463169329545e-09
1859,1.476730293603623e-08,1.2730433596175317e-08
1860,7.323494255473406e-09,5.950338888283113e-09
1861,4.715963619617014e-09,1.4147890858851042e-08
1862,3.6143890103090826e-09,7.228778020618165e-09
1863,0.0,2.097740825490746e-08
1864,3.3563094525845827e-09,1.0548401263577034e-08
1865,7.0602665935837194e-09,1.8827376990770972e-08
1866,4.865612801552288e-09,1.897589108068587e-08
1867,4.85281148598915e-09,1.164674756637396e-08
1868,2.9639244392143382e-09,2.222943251695142e-08
1869,1.953407657850903e-09,1.953407746668745e-08
1870,4.013834153937523e-09,2.752343419842873e-08
1871,4.248470908407853e-09,6.691341525311145e-08
1872,4.23313739617015e-09,4.777398032729252e-08
1873,1.1972008939764578e-09,1.616221290134945e-08
1874,5.974609140757536e-10,2.8678122987457755e-08
1875,1.1443054281912168e-09,2.1741803024610817e-08
1876,6.650616057868319e-09,5.3204928462946555e-08
1877,1.1132669008873108e-08,1.36065949618569e-08
1878,0.0,1.872117572077059e-08
1879,8.55305515301552e-09,2.2604503158163425e-08
1880,3.8507077526617195e-09,2.631317030932223e-08
1881,0.0,2.370652651961791e-08
1882,0.0,2.0631693686823382e-08
1883,0.0,1.2006744043446815e-08
1884,6.601696966868076e-10,1.9805090900604227e-08
1885,1.933690763067375e-09,3.3517306263775026e-08
1886,1.2906927748801422e-09,1.5488312854472497e-08
1887,6.528924623161458e-10,1.828098916689669e-08
1888,0.0,1.9655905347804037e-08
1889,0.0,1.7542383545787743e-08
1890,6.554386478008212e-10,3.2771932723107966e-08
1891,6.374220040683554e-10,1.466070642663908e-08
1892,0.0,2.0686091062316336e-08
1893,6.158416554491453e-10,1.7243566574620672e-08
1894,6.301539290376468e-10,1.3863386882917439e-08
1895,0.0,1.745398137131815e-08
1896,5.89702897624278e-10,2.7126333179694484e-08
1897,2.330685422435863e-09,1.3984112534615178e-08
1898,0.0,9.619203211741478e-09
1899,0.0,1.4371703827009696e-08
1900,4.15284251431558e-09,1.6092265298084385e-08
1901,0.0,2.9620316865930363e-08
1902,1.4730852093691738e-09,1.0311596021495006e-08
1903,3.7801539676252105e-09,6.480264325148255e-09
1904,7.524475265086039e-09,1.9886112312406112e-08
1905,5.160759042333041e-10,1.186974607492175e-08
1906,3.600929110447737e-09,1.0288369267641428e-08
1907,5.142843373384665e-10,1.7999951751335175e-08
1908,4.911389073214423e-10,2.357466755142923e-08
1909,6.0510818578052294e-09,1.925344328412848e-08
1910,0.0,1.0153886620400954e-08
1911,0.0,1.8089272302290738e-08
1912,3.125652625612929e-09,1.1981668990301841e-08
1913,1.060597942803554e-09,1.2727175757731857e-08
1914,0.0,1.2723813114234872e-08
1915,1.1780761921542648e-09,9.424609537234119e-09
1916,0.0,8.789969641043172e-09
1917,0.0,6.57985488317081e-09
1918,2.2972752589112133e-09,1.1486376294556067e-08
1919,3.6831393490643904e-09,1.749491218561161e-08
1920,0.0,2.2716694303426266e-08
1921,1.5145494858259667e-09,8.330022005509363e-09
1922,1.4755870969551665e-09,1.9182632371439468e-08
1923,1.0615948120573648e-09,6.369568872344189e-09
1924,1.289162443462999e-09,2.3204924204378585e-08
1925,5.499089184013428e-09,1.8696901804560184e-08
1926,0.0,1.114613823460786e-08
1927,4.4596899506643695e-09,1.2264147031260109e-08
1928,0.0,9.14083297942625e-09
1929,1.1140406375176326e-09,4.4561625500705304e-09
1930,1.0503603542488804e-09,0.0
1931,0.0,6.843213995466613e-09
1932,3.287861094491973e-09,1.53433514782364e-08
1933,0.0,2.7529589274877253e-08
1934,0.0,2.036868629318178e-08
1935,3.590485242455088e-09,1.196828414151696e-09
1936,0.0,1.8187071404440758e-08
1937,0.0,2.5182236296217297e-09
1938,3.8895642262559704e-09,6.482607339819424e-09
1939,1.5294050470515685e-09,4.588215141154706e-09
1940,0.0,5.0715658339584024e-09
1941,2.9515025978810172e-09,8.854508237732261e-09
1942,3.034211770724937e-09,2.4273694165799498e-08
1943,5.806470415592457e-09,2.322588166236983e-08
1944,0.0,6.4263723231761105e-09
1945,0.0,2.6142048525912287e-08
1946,0.0,6.960552134671616e-09
1947,0.0,2.0265479960812627e-08
1948,3.2615663503321457e-09,2.0656587551570738e-08
1949,9.817008317369869e-10,1.47255123650325e-08
1950,1.0635361480382244e-09,1.1698897850465073e-08
1951,2.1322803522849654e-09,1.3859822622919182e-08
1952,0.0,1.2653764258629963e-08
1953,1.0773827385790469e-09,9.69644453618912e-09
1954,1.9545072227344917e-09,1.172704333640695e-08
1955,0.0,1.220129064449793e-08
1956,2.616342476002842e-09,1.1337483840634377e-08
1957,0.0,2.2087593976038988e-08
1958,5.790570245522986e-09,1.4890038535497752e-08
1959,0.0,3.410329085795638e-08
1960,2.7683333403416555e-09,2.7683332959327345e-08
1961,2.08444772553662e-09,1.667558180429296e-08
1962,3.170978146727066e-09,1.8391673961559718e-08
1963,6.466053248388448e-10,1.8751554975438012e-08
1964,2.4335873316516654e-09,1.520992043424485e-08
1965,0.0,9.849678406226303e-09
1966,3.8773522170743036e-09,1.6617224929404983e-08
1967,1.4791006197611978e-09,1.873527466500491e-08
1968,3.1439910674890825e-09,1.7965662735264232e-08
