year,aurait_VERB ôté_VERB,aurait_VERB oté_VERB,aurait_VERB voté_VERB
1800,3.772997558826319e-08,0.0,3.144164484325529e-09
1801,3.809892135109294e-08,0.0,2.3811825844433088e-09
1802,2.4616241489638924e-08,0.0,1.5664880947952042e-08
1803,6.436119548425268e-08,0.0,1.950339223455444e-09
1804,3.460591457837836e-08,0.0,2.7190360185613827e-08
1805,2.55858996212055e-08,0.0,0.0
1806,1.729001475325731e-08,0.0,0.0
1807,1.3380689267705748e-07,0.0,0.0
1808,1.5862518409903714e-08,0.0,2.2660739951163578e-09
1809,3.388545621874073e-08,0.0,1.129515236897305e-08
1810,8.658469141664682e-08,0.0,2.3401267590372754e-09
1811,1.0028307073639553e-08,0.0,1.2535384286138651e-08
1812,1.8670457180292033e-08,0.0,1.8670457180292033e-08
1813,6.901780125190271e-08,0.0,5.751483289628823e-09
1814,2.2026739543434815e-08,0.0,9.440030979135372e-09
1815,6.47333635583891e-08,0.0,2.4275012222574333e-08
1816,2.0858434979231788e-08,0.0,1.8540831092650478e-08
1817,4.981994905506326e-08,0.0,2.490997452753163e-08
1818,5.48374146092101e-08,1.1921177378582115e-09,2.384235475716423e-09
1819,9.626476327184719e-08,0.0,1.3456364911235141e-08
1820,7.238553223487543e-08,5.933240565525466e-09,2.7292905713238724e-08
1821,6.7058117281249e-08,0.0,7.88919063410276e-09
1822,4.210758675071702e-08,1.0025615893027862e-09,1.5038423839541792e-08
1823,2.174191138237802e-08,0.0,1.3835761869529506e-08
1824,6.14741253457396e-08,8.421112696055388e-10,8.421112696055388e-09
1825,5.547429182684027e-08,0.0,3.522177216552791e-09
1826,6.253669226907732e-08,1.7615968683770689e-09,9.688783109140786e-09
1827,5.7147094167930845e-08,0.0,1.6591091167583727e-08
1828,4.494427585655103e-08,2.7516904310687096e-09,2.659967357487858e-08
1829,8.487444347338169e-08,0.0,2.3147574523818548e-08
1830,5.0096812032052185e-08,0.0,3.235419043789989e-08
1831,7.639690835503643e-08,0.0,6.548306430431694e-08
1832,7.035583848846727e-08,0.0,3.6530916958099624e-08
1833,9.498575082034222e-08,0.0,5.21263281427764e-08
1834,3.453776287187793e-08,0.0,4.947301235347368e-08
1835,8.016873209726327e-08,0.0,2.2689263801112247e-08
1836,3.8308275662757296e-08,0.0,3.427582484505365e-08
1837,2.922314124020886e-08,1.3915781860163179e-09,6.609996461293122e-08
1838,4.7341213615936795e-08,6.312161904276081e-10,3.3454458758797045e-08
1839,5.942753844578874e-08,0.0,2.4470162784950844e-08
1840,4.649872664685972e-08,1.2739377330817092e-09,1.9746034141121527e-08
1841,4.237562123421412e-08,0.0,2.8250413564023802e-08
1842,5.0311989241436095e-08,0.0,3.287049921141261e-08
1843,4.961805188941071e-08,5.906911071384968e-10,3.485077471054865e-08
1844,7.354672248993666e-08,0.0,3.732221642849254e-08
1845,5.133809821700197e-08,0.0,3.5155437672074186e-08
1846,3.102885770545072e-08,0.0,6.966856602730331e-08
