year,tout_DET an_NOUN,tout_DET vent_NOUN
1800,9.432493186523061e-08,1.4148739957420275e-07
1801,9.048494087338099e-08,2.3335590038087162e-07
1802,8.056224487518193e-08,1.5217312920867698e-07
1803,6.241085537261881e-08,1.5602713432372184e-07
1804,6.426812215742927e-08,1.507829097135982e-07
1805,8.528633421711618e-08,7.192480779849575e-07
1806,7.20417272503937e-08,9.797675115663651e-08
1807,6.832692633906845e-08,1.3380689267705748e-07
1808,8.38447360429484e-08,1.9714843801921234e-07
1809,7.454800399209205e-08,1.355418248749629e-07
1810,8.658468830802235e-08,3.88461027789333e-07
1811,7.521230127593981e-08,2.4067937332006295e-07
1812,5.601137331723294e-08,7.468183005343576e-08
1813,9.489947139229571e-08,1.2365688917270745e-07
1814,1.0069367162302001e-07,1.3530711839848664e-07
1815,1.4565007488975823e-07,1.6453063600430085e-07
1816,9.270415723960923e-08,2.8738288726515293e-07
1817,8.874178414330913e-08,2.8957845188415376e-07
1818,6.795070950360582e-08,2.8849248590034904e-07
1819,8.073819235399071e-08,2.6809220798895694e-07
1820,7.119888678630559e-08,2.5631599864794907e-07
1821,6.804427155060466e-08,3.155676332466939e-07
1822,7.920236555492011e-08,2.165533032894018e-07
1823,6.324919477052049e-08,2.2829006240954186e-07
1824,8.757956937444078e-08,2.1894892654472642e-07
1825,7.660735379388939e-08,2.4391076181018434e-07
1826,5.989429308073113e-08,2.44861960818632e-07
1827,6.359918347520477e-08,2.820485688337371e-07
1828,7.246118116643885e-08,2.4306598334078444e-07
1829,5.486832571621747e-08,2.0747085915928665e-07
1830,7.827626746781391e-08,2.2752302730744134e-07
1831,9.510636012066698e-08,2.510184060611209e-07
1832,6.359085902296613e-08,1.7453660605681875e-07
1833,6.023486687212198e-08,2.7800709290204395e-07
1834,8.961149400299462e-08,2.6603413516568253e-07
1835,6.277362984974388e-08,3.577340450533484e-07
1836,4.838940070861497e-08,3.004175407883558e-07
1837,5.21841809764112e-08,1.4611570975375798e-07
1838,5.807189129569679e-08,2.796287756900995e-07
1839,7.90036712716713e-08,2.796590194975579e-07
1840,5.5416291111498595e-08,2.496917943517474e-07
1841,6.292137655350416e-08,3.1396483546330956e-07
1842,7.043678440510348e-08,2.341184437426591e-07
1843,5.1390125543893106e-08,2.5872269793225655e-07
1844,5.982531986470363e-08,2.881494741702184e-07
1845,5.915041817461386e-08,2.165128396569571e-07
1846,6.908311478426299e-08,2.62281650176277e-07
1847,5.123562374365065e-08,2.205828524282083e-07
1848,5.712107536970379e-08,2.0434862640916762e-07
1849,5.614207854165443e-08,2.0613360462995445e-07
1850,6.11009625117731e-08,2.1996347232544622e-07
1851,6.191461188187475e-08,2.566876529108697e-07
1852,5.5990692304774825e-08,3.1641251685421423e-07
1853,6.270528363216954e-08,3.0755449564878745e-07
1854,5.3515345765919875e-08,2.42637539615842e-07
1855,6.102977678779098e-08,2.4677256860172747e-07
1856,6.782117567549761e-08,3.5308431511893446e-07
1857,5.9554409848061596e-08,2.172271549305549e-07
1858,4.4532450116374633e-08,2.221728934159728e-07
1859,5.0412515051334594e-08,2.3882293453958425e-07
1860,3.936378267788143e-08,2.233665754580727e-07
1861,5.1404003997834735e-08,2.1740592437424766e-07
1862,4.337266945597662e-08,2.3764607726128872e-07
1863,5.4940829219418674e-08,2.9717993399458464e-07
1864,6.185199019625998e-08,2.819300144452086e-07
1865,5.601144886790976e-08,2.494627375781988e-07
1866,6.033360056001413e-08,2.0776167031222315e-07
1867,6.98804871746006e-08,1.834362706176762e-07
1868,5.532659119733552e-08,1.5758197946524888e-07
1869,5.07885999923019e-08,2.036427471097113e-07
1870,6.020751142088443e-08,2.270683348015723e-07
1871,4.991953250765846e-08,1.2108142755096196e-07
1872,5.6844988272075625e-08,1.7416337438902474e-07
1873,5.207823960962088e-08,1.4366411171806703e-07
1874,5.19790986919233e-08,1.171023384927139e-07
1875,4.520006324781889e-08,1.7221796611011086e-07
1876,3.990369745743294e-08,1.2817551464650023e-07
1877,4.514915652453766e-08,1.608052140333882e-07
1878,5.857915974516459e-08,1.06891872686532e-07
1879,4.5209007426549874e-08,1.4845660223361534e-07
1880,6.032775390352185e-08,1.1295409141354185e-07
1881,6.066081525979428e-08,1.401473963547062e-07
1882,5.856738805043449e-08,1.3310770086150114e-07
1883,6.066565516604783e-08,8.088753844504026e-08
1884,5.941527181363426e-08,1.1024834023487529e-07
1885,7.154655756735906e-08,7.92813157901584e-08
1886,8.583107158344205e-08,1.413308581277306e-07
1887,8.161155617969484e-08,1.2731402737609088e-07
1888,6.086990267384351e-08,1.173013748356766e-07
1889,4.1976415232625186e-08,1.2592924614196477e-07
1890,5.702316308031641e-08,9.50386032094741e-08
1891,5.418087090092172e-08,9.688814728292527e-08
1892,5.202865427378356e-08,1.228628463412207e-07
1893,4.434059919233846e-08,7.821189074164181e-08
1894,4.537108289071057e-08,8.065969936410511e-08
1895,5.597311303340291e-08,6.98159254852726e-08
1896,4.00997970384509e-08,8.314810884257895e-08
1897,5.127507751723215e-08,7.866063145289814e-08
1898,5.884688925039683e-08,8.374365023655628e-08
1899,4.532614283903058e-08,9.617986584942173e-08
1900,5.1391426669766815e-08,7.68275896234627e-08
1901,5.365189231776313e-08,7.32124831870351e-08
1902,4.4192553616539954e-08,6.530677226779247e-08
1903,5.8322378038155875e-08,6.804277852268115e-08
1904,7.524475087450355e-08,7.309490257512152e-08
1905,5.47040444054403e-08,7.328277878970724e-08
1906,5.4013936157115694e-08,7.561951065326866e-08
1907,5.965698218757254e-08,7.302837506939497e-08
1908,5.598983587873363e-08,1.154176461071188e-07
1909,5.115914536446553e-08,1.0616898182824741e-07
1910,5.451033668890659e-08,7.642135391172644e-08
1911,4.9479480068725934e-08,9.842691994776942e-08
1912,5.7303632061689314e-08,9.533241129844328e-08
1913,4.719660712249052e-08,1.0605979305911006e-07
1914,5.960101834290299e-08,5.156492682845126e-08
1915,6.008188702111283e-08,1.0249263082684479e-07
1916,4.394984731703744e-08,5.603605801596245e-08
1917,5.154219528957782e-08,7.018511638534619e-08
1918,5.628324206696789e-08,7.925599998515054e-08
1919,6.077179848240633e-08,6.077179826036172e-08
1920,5.3762846174976175e-08,7.7993985936331e-08
1921,6.66401783200321e-08,1.0526119176290649e-07
1922,5.164554894854234e-08,8.927301742289728e-08
1923,8.386599104071024e-08,8.280439489638525e-08
1924,8.89522118185937e-08,7.606058671782989e-08
1925,1.0888196300129493e-07,8.908524473660862e-08
1926,7.133528434621894e-08,7.356451270368325e-08
1927,7.469980900509654e-08,8.473410972875683e-08
1928,9.9406560316595e-08,8.226749392825639e-08
1929,8.689517105864297e-08,6.572840050012019e-08
1930,8.192810962981412e-08,7.877702756786675e-08
1931,6.38699964028433e-08,6.272946251328904e-08
1932,6.356531168094648e-08,8.548438590327834e-08
1933,6.42357074198685e-08,7.45593042861259e-08
1934,5.990790086229936e-08,7.548395686285403e-08
1935,5.0266792506192814e-08,8.856530531176077e-08
1936,6.426098586587159e-08,7.153581815799726e-08
1937,4.5328025333191135e-08,8.939694140508436e-08
1938,4.797129227185337e-08,9.07565009811151e-08
1939,4.894096239382861e-08,4.894096239382861e-08
1940,5.0715657451405605e-08,7.100191878883777e-08
1941,4.7224043342453115e-08,1.121570960549434e-07
1942,5.158160010232393e-08,1.153000468434584e-07
1943,4.935499942071431e-08,1.0741970157823744e-07
1944,4.498460803858961e-08,1.124615138792251e-07
1945,6.7533628023142e-08,1.1110370357059196e-07
1946,5.150808668474838e-08,7.099762910911522e-08
1947,6.079644165879472e-08,8.46381809083141e-08
1948,5.87081931957556e-08,6.958008524904358e-08
