year,ait_VERB omis_VERB,ait_VERB vomi_VERB
1800,1.0375742931501009e-07,3.144164484325529e-09
1801,9.762848662830947e-08,1.904946067554647e-08
1802,1.096541666356643e-07,4.475680270843441e-09
1803,9.361627917314763e-08,3.510610468993036e-08
1804,1.408955085935304e-07,0.0
1805,1.6204403152642044e-07,5.685755510853596e-08
1806,1.3543845511776453e-07,0.0
1807,1.2811298688575334e-07,0.0
1808,1.4956088989492855e-07,4.5321479902327155e-09
1809,9.713831161661801e-08,9.036122072814123e-09
1810,1.942305232205399e-07,1.1700633351097167e-08
1811,7.270522672797597e-08,5.0141535368197765e-09
1812,1.1202274663446588e-07,0.0
1813,1.2653262615458516e-07,0.0
1814,3.776012391654149e-08,0.0
1815,1.1867783911156948e-07,0.0
1816,1.2515060632267705e-07,0.0
1817,3.113746771532533e-08,7.784366928831332e-09
1818,8.821671571013212e-08,4.768470951432846e-09
1819,1.3145833577254962e-07,7.24573512300708e-09
1820,4.034603762193001e-08,5.933240565525466e-09
1821,1.1735171057125626e-07,8.875339574387908e-09
1822,1.3534581455587613e-07,2.4061478143266868e-08
1823,1.4922856905741355e-07,4.941343334508019e-09
1824,1.5831692223855498e-07,9.263223965660927e-09
1825,8.893497494000258e-08,1.4969252504215547e-08
1826,1.268349762995058e-07,5.284790383086602e-09
1827,2.046234612862463e-07,4.608636583469661e-09
1828,1.4217066279798019e-07,4.586150570418113e-09
1829,1.4745862131348986e-07,5.143905745796928e-09
1830,1.273294003567571e-07,3.1310507520032616e-09
1831,1.559120619276655e-07,4.677361609140007e-09
1832,1.3394669906574563e-07,2.1647950987357945e-08
1833,1.4132027104096778e-07,1.6217079235048004e-08
1834,1.521528503189984e-07,1.120143711119681e-08
1835,1.429423548415798e-07,9.075705520444899e-09
1836,7.661655132551459e-08,1.3441500135158435e-09
1837,1.1689256496083544e-07,1.0436836284100082e-08
1838,7.195864526465812e-08,3.787297142565649e-09
1839,9.788065113980338e-08,1.3982950353153e-09
1840,1.3248951802324882e-07,3.821813088222825e-09
1841,9.7592334213914e-08,1.5409316489467528e-08
1842,1.1471133376517173e-07,6.037438549100216e-09
1843,1.2109167357721162e-07,5.906910960362666e-09
1844,1.1141779054923973e-07,8.781698035420504e-09
1845,1.1272060618239266e-07,8.928364714222425e-09
1846,1.3875168747290445e-07,8.781752214304106e-09
1847,1.423811113454576e-07,7.011190739092399e-09
1848,9.010648227558704e-08,1.769948809737798e-08
1849,9.803915190786938e-08,1.6758829879393033e-09
1850,5.974316508172706e-08,1.2220192857625989e-08
1851,1.077056239751073e-07,1.2898877521649865e-09
1852,1.0026239749549859e-07,1.3021090872200602e-09
1853,1.0391161708867003e-07,5.971931837933653e-10
1854,7.221973419291317e-08,1.0910895298366086e-08
1855,1.0613874223963649e-07,7.429711956774554e-09
1856,1.0975641373534017e-07,5.177189232874468e-10
1857,6.785297301803439e-08,4.881508974818871e-09
1858,1.1940569777380006e-07,2.4468380654951716e-09
1859,9.776972831332387e-08,1.018434669930457e-08
1860,1.0069804545764782e-07,9.612086238064421e-09
1861,1.0799556804386157e-07,5.659156698811785e-09
1862,9.171512260763848e-08,5.873382225018986e-09
1863,7.292146619874984e-08,1.9978483312144135e-09
1864,1.0212770717998865e-07,1.0068928801842958e-08
1865,9.696099567690908e-08,1.882737743486018e-09
1866,1.0363755365006e-07,6.3252967308358166e-09
1867,1.2908478197459772e-07,1.94112459439566e-09
1868,1.230028630061497e-07,4.93987406535723e-10
1869,1.2013457251214277e-07,6.8369265804335555e-09
1870,9.403839840160799e-08,1.1468097582678638e-09
1871,8.815577245968598e-08,1.0621177271019633e-09
1872,9.131482414659331e-08,0.0
1873,9.398026890039546e-08,5.387403856360606e-09
1874,7.82673765797881e-08,2.3898436563030145e-09
1875,1.3045081459495123e-07,9.154443425529735e-09
1876,9.673623679873344e-08,1.209202959984168e-09
1877,7.607323482261563e-08,1.2369631985365004e-09
1878,9.66254205536643e-08,1.8117265465633636e-09
1879,1.1118972054191545e-07,1.832797580370027e-09
1880,7.958129089047361e-08,3.2089231272180996e-09
1881,1.0667936578556692e-07,6.9725074602899895e-09
1882,1.2844893149122072e-07,3.3276925659464496e-09
1883,9.099848341520556e-08,3.159669414998234e-09
1884,8.912290638818376e-08,3.300848483434038e-09
1885,1.0635299219075023e-07,1.2891271383708158e-09
1886,9.873799911019887e-08,6.453463874400711e-10
1887,1.0119833149246915e-07,6.528924512139156e-09
1888,1.3505508889011253e-07,1.9021844099853524e-09
1889,8.70854037771096e-08,0.0
1890,9.700492142883377e-08,0.0
1891,1.153733819592162e-07,6.374220040683554e-10
1892,7.020733505669341e-08,3.761107425503951e-09
1893,8.437030629693254e-08,4.310891643655168e-09
1894,1.0649601733803138e-07,1.8904617871129403e-09
1895,1.209741498087169e-07,3.611168697403855e-09
1896,1.0968474128958405e-07,2.358811590497112e-09
1897,1.2119564019030804e-07,0.0
1898,1.0185038945564884e-07,0.0
1899,6.190887802404177e-08,0.0
1900,6.956010878411689e-08,5.191053142894475e-10
1901,8.383108252019156e-08,0.0
1902,8.249276817196005e-08,2.455141867585553e-09
1903,9.612391949076482e-08,5.400220270956879e-10
1904,9.889310348398794e-08,0.0
1905,1.0631163860352899e-07,0.0
1906,9.773950893077199e-08,1.0288369045596824e-09
1907,1.1314255488059644e-07,1.028568674676933e-09
1908,1.1492650742184196e-07,0.0
1909,1.1717094849927889e-07,1.1001967115120692e-09
1910,9.61947108635286e-08,0.0
1911,6.171634225893285e-08,5.320374141248863e-10
1912,1.0991878696131607e-07,0.0
1913,1.161354745704557e-07,1.590896969716482e-09
1914,8.571831955350717e-08,0.0
1915,7.539687629787295e-08,1.1780761921542648e-09
1916,1.0547963569251806e-07,2.197492410260793e-09
1917,8.444146715191891e-08,1.0966424435210342e-09
1918,8.844509835626013e-08,0.0
1919,6.44549373873815e-08,3.6831393490643904e-09
1920,8.026565723184831e-08,2.2716695191604686e-09
1921,7.64847456480311e-08,7.572747429129834e-10
1922,8.853522359686394e-08,7.377935484775833e-10
1923,8.917396598917549e-08,0.0
1924,9.153053071031536e-08,0.0
1925,9.018506119673475e-08,0.0
1926,1.0477370437911304e-07,0.0
1927,9.142364376657497e-08,0.0
1928,1.0054916543822401e-07,0.0
1929,7.352668518478822e-08,0.0
1930,1.0188495735974357e-07,1.0503603542488804e-09
1931,8.668071416195744e-08,3.4216069977333063e-09
1932,8.329247691563069e-08,2.1919073223131136e-09
1933,8.947116469926186e-08,0.0
1934,9.944711365506009e-08,0.0
1935,8.258115968828861e-08,1.196828414151696e-09
1936,8.123559069872499e-08,2.424942913137329e-09
1937,8.184226629737168e-08,3.777335333410292e-09
1938,9.334954143014329e-08,2.5930428915188486e-09
