year,fallait_VERB ôter_VERB,fallait_VERB oter_VERB,fallait_VERB voter_VERB
1800,0.0,3.144164484325529e-09,0.0
1801,1.1905912700171939e-08,0.0,4.7623651688866175e-09
1802,3.1329761895904085e-08,0.0,0.0
1803,1.1702034896643454e-08,0.0,0.0
1804,4.449331569844617e-08,0.0,0.0
1805,2.842877711017877e-09,0.0,0.0
1806,5.76333825108577e-09,0.0,0.0
1807,0.0,0.0,0.0
1808,2.2660739062985158e-08,0.0,0.0
1809,2.4849335034105025e-08,0.0,0.0
1810,2.3401266702194334e-08,0.0,0.0
1811,1.504245972228091e-08,0.0,0.0
1812,2.400487453257938e-08,0.0,0.0
1813,1.4378708002027452e-08,0.0,0.0
1814,9.125363931161701e-08,0.0,0.0
1815,1.3486118000116676e-08,0.0,5.394447111228828e-09
1816,1.1588019432906549e-08,0.0,0.0
1817,5.7604317760251433e-08,1.556873407970727e-09,0.0
1818,2.1458118837358597e-08,0.0,0.0
1819,3.2088255608186955e-08,2.070210003424222e-09,1.035105001712111e-09
1820,3.20394981656591e-08,0.0,9.493184904840746e-09
1821,6.114122896860863e-08,9.86148829262845e-10,0.0
1822,5.413832582235045e-08,1.0025615893027862e-09,3.0076847679083585e-09
1823,6.522573414713406e-08,0.0,0.0
1824,7.579001248814166e-08,0.0,2.105278085196005e-08
1825,2.3774695989686734e-08,0.0,2.641632912414593e-09
1826,3.2589543508265706e-08,0.0,1.2331177856594877e-08
1827,2.6730091917670507e-08,1.8434546111834038e-09,9.217273166939322e-09
1828,4.586150570418113e-09,0.0,0.0
1829,4.372319750700626e-08,0.0,6.858540846366168e-09
1830,2.817945699007396e-08,0.0,4.174734336004349e-09
1831,3.274153215215847e-08,0.0,3.1182412207897414e-09
1832,7.441482807735156e-08,0.0,5.411987746839486e-09
1833,1.9692167896323554e-08,0.0,1.6217079235048004e-08
1834,3.080395316601425e-08,0.0,1.8669062740173104e-08
1835,2.3445572594482655e-08,0.0,9.832014313815307e-09
1836,1.008112526790228e-08,0.0,8.064899859050456e-09
1837,2.922314124020886e-08,0.0,1.530736071231331e-08
1838,2.5248647617104325e-08,0.0,8.2058102535143e-09
1839,2.7965899818127582e-08,0.0,4.194885327990505e-09
1840,2.8663599493938818e-08,0.0,1.2739377552861697e-08
1841,3.467096121312352e-08,2.5682194149112547e-09,8.988767952189392e-09
1842,3.6224630406422875e-08,1.341653010911159e-09,8.720745015011744e-09
1843,3.4260082770742883e-08,0.0,2.953455480181333e-09
1844,2.4698525891153622e-08,0.0,2.195424508855126e-09
1845,3.124927516751086e-08,0.0,8.37034175305007e-09
1846,3.102885770545072e-08,1.1709002656346001e-09,8.781752214304106e-09
1847,2.1572894581822766e-08,0.0,1.5101026207275936e-08
