year,excellent_ADJ air_NOUN,excellent_ADJ verre_NOUN
1800,3.144164484325529e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,2.259030518203531e-09
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,2.1337665856435706e-08,2.400487453257938e-08
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,1.0788894222457657e-08,0.0
1816,0.0,0.0
1817,0.0,3.113746815941454e-09
1818,2.384235475716423e-09,0.0
1819,1.035105001712111e-09,0.0
1820,5.933240565525466e-09,0.0
1821,9.86148829262845e-10,0.0
1822,0.0,0.0
1823,3.9530747564242574e-09,0.0
1824,6.736890156844311e-09,4.210556348027694e-09
1825,1.7610886970942374e-08,8.805443041381977e-10
1826,2.642395191543301e-09,4.403992281964975e-09
1827,0.0,9.217273055917019e-10
1828,0.0,1.3758452155343548e-08
1829,7.715858174606183e-09,0.0
1830,2.0873671680021744e-09,3.1310507520032616e-09
1831,1.5591206103948707e-09,0.0
1832,1.488296597074168e-08,0.0
1833,1.1583628500844156e-09,5.791814139399776e-09
1834,0.0,0.0
1835,0.0,1.5126175867408165e-09
1836,4.032449929525228e-09,0.0
1837,0.0,0.0
1838,2.5248647617104325e-09,0.0
1839,4.194885327990505e-09,0.0
1840,0.0,0.0
1841,1.2841097074556274e-09,0.0
1842,1.2745703159566801e-08,8.049918065466954e-09
1843,2.953455480181333e-09,1.063243981747064e-08
1844,5.488561161115513e-09,0.0
1845,5.580227946389016e-10,5.580227946389016e-10
1846,5.269050973311096e-09,5.854501328173001e-10
1847,5.393223645455691e-10,2.1572894581822766e-09
1848,4.02261068899179e-09,1.6090443422100975e-09
1849,4.1897072478036534e-09,0.0
1850,0.0,6.788996032014438e-10
1851,6.449438760824933e-10,0.0
1852,2.6042181744401205e-09,2.6042181744401205e-09
1853,1.7915795513800958e-09,5.971931837933653e-10
1854,2.0782657816909023e-09,5.195664454227256e-10
1855,1.0613874223963649e-09,1.0613874223963649e-09
1856,1.0354378465748937e-09,0.0
1857,4.881509085841174e-10,4.881509085841174e-10
1858,4.893676019968041e-10,3.9149408159744326e-09
1859,1.018434669930457e-09,2.036869339860914e-09
1860,7.323494255473406e-09,5.950338888283113e-09
1861,1.4147891747029462e-09,9.431927461278633e-10
1862,1.8071945051545413e-09,1.8071945051545413e-09
1863,2.9967726078439227e-09,4.994620828036034e-10
1864,6.712618905169165e-09,2.3973640850272204e-09
1865,4.706844358715045e-10,9.41368871743009e-10
1866,4.865612801552288e-09,4.865612801552288e-09
1867,4.367530337390235e-09,1.455843445796745e-09
1868,2.4699371437009177e-09,0.0
1869,2.441759683335931e-09,4.395167341186834e-09
1870,5.734048791339319e-10,5.160643912205387e-09
1871,2.1242354542039266e-09,6.37270636261178e-09
1872,6.047339295989218e-10,3.0236697590169115e-09
1873,5.986004469882289e-10,7.781805422268917e-09
1874,1.1949218281515073e-09,8.961913877669758e-09
1875,5.721527140956084e-10,0.0
1876,3.02300739996042e-09,0.0
1877,1.8554447978047506e-09,0.0
1878,4.22736201599605e-09,6.039088673581716e-10
1879,2.443730107160036e-09,3.0546627449723474e-09
1880,6.417846254436199e-10,3.8507077526617195e-09
1881,2.7890030285249168e-09,0.0
1882,3.3276925659464496e-09,6.655385131892899e-10
1883,3.791603475633565e-09,2.5277355764075082e-09
1884,0.0,1.9805090900604227e-09
1885,1.353583467533781e-08,0.0
1886,1.2906927748801422e-09,3.2267319927115068e-09
1887,3.264462256069578e-09,1.3057849246322917e-09
1888,1.9021844099853524e-09,1.9021844099853524e-09
1889,7.51816386923565e-09,1.2530273485467092e-09
1890,5.243509182406569e-09,1.3108772956016423e-09
1891,3.1871101313640793e-09,5.099376032546843e-09
1892,4.387958441043338e-09,6.268512375839919e-10
1893,4.310891643655168e-09,1.2316833108982905e-09
1894,6.301539290376468e-10,5.671385139294216e-09
1895,0.0,2.4074457982692365e-09
1896,2.358811590497112e-09,3.5382172747233653e-09
1897,1.7480140668268973e-09,5.826713556089658e-10
1898,1.13167097914868e-09,5.6583548957434e-10
1899,1.6582735185011188e-09,5.527578395003729e-10
1900,3.114631885736685e-09,6.748368974740515e-09
1901,1.676621730339889e-09,1.676621730339889e-09
1902,1.4730852093691738e-09,4.419255628107521e-09
1903,1.0800440541913758e-09,3.7801539676252105e-09
1904,0.0,1.6123875568041512e-09
1905,0.0,6.192911072844254e-09
1906,5.144184522798412e-10,5.144184522798412e-10
1907,1.028568674676933e-09,0.0
1908,0.0,3.929111258571538e-09
1909,4.950885035270858e-09,5.500983557560346e-10
1910,1.6032452032632705e-09,2.67207544979442e-09
1911,1.5961122423746588e-09,2.128149656499545e-09
1912,0.0,5.209421227725386e-10
1913,0.0,0.0
1914,6.696743715117748e-10,1.3393487430235496e-09
1915,1.6493066468115103e-08,0.0
1916,2.197492410260793e-09,2.197492410260793e-09
1917,0.0,6.57985488317081e-09
1918,0.0,0.0
1919,0.0,0.0
1920,7.572231730534895e-10,3.786115865267448e-09
1921,0.0,7.572747429129834e-10
1922,7.377935484775833e-10,5.164555005876537e-09
1923,3.1847844361720945e-09,3.1847844361720945e-09
1924,0.0,0.0
1925,0.0,0.0
1926,1.1146138456652466e-09,2.229227691330493e-09
1927,0.0,1.1149224876660924e-09
1928,0.0,0.0
1929,0.0,0.0
1930,2.100720708497761e-09,0.0
1931,0.0,0.0
1932,0.0,2.1919073223131136e-09
1933,0.0,3.4411986593596566e-09
1934,0.0,0.0
1935,3.590485242455088e-09,1.196828414151696e-09
1936,0.0,0.0
1937,0.0,1.2591118148108649e-09
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,2.5357829169792012e-09
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,3.2131861615880553e-09
1945,0.0,0.0
1946,1.3921104269343232e-09,0.0
1947,5.960435700558264e-09,0.0
1948,1.0871887834440486e-09,2.174377566888097e-09
1949,0.0,0.0
1950,0.0,1.0635361480382244e-09
1951,2.1322803522849654e-09,1.0661401761424827e-09
1952,0.0,2.1089607837865287e-09
1953,1.0773827385790469e-09,0.0
1954,0.0,1.9545072227344917e-09
1955,0.0,2.815682353940474e-09
1956,8.72114158667614e-10,8.72114158667614e-10
1957,0.0,0.0
1958,0.0,1.6544486891589827e-09
1959,2.325224457422337e-09,7.750747821333448e-10
1960,0.0,6.2287499602575735e-09
1961,2.08444772553662e-09,2.08444772553662e-09
1962,0.0,1.9025869768540815e-09
1963,0.0,6.466053248388448e-10
1964,6.083968329129164e-10,3.041984220075733e-09
1965,2.188817349590977e-09,0.0
1966,5.539074754423723e-10,1.1078149508847446e-09
1967,0.0,0.0
1968,4.4914158503495116e-10,8.982831700699023e-10
1969,3.6334062425424918e-09,0.0
1970,0.0,9.197450023812337e-10
1971,5.652237344833111e-09,0.0
1972,2.0520587451500205e-09,0.0
1973,3.3079223804577396e-09,0.0
1974,1.1251143350321513e-09,0.0
1975,0.0,1.7134440533084216e-09
1976,5.713526873840635e-10,0.0
1977,0.0,0.0
1978,3.5643548113029055e-09,0.0
1979,0.0,5.851973350345929e-10
1980,3.97960553399912e-09,0.0
1981,0.0,0.0
1982,1.2415004579935385e-09,0.0
1983,0.0,0.0
