year,pourraient_VERB ôter_VERB,pourraient_VERB voter_VERB
1800,0.0,1.2576657937302116e-08
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,5.851017448321727e-09,0.0
1804,0.0,1.730295728918918e-08
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,0.0,9.064295980465431e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,5.3344164641089264e-09
1813,0.0,2.5881675469463516e-08
1814,1.2586708564299443e-08,2.2026739543434815e-08
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,2.3353100786493997e-08,0.0
1818,1.7881765401739358e-08,0.0
1819,1.035105001712111e-09,4.140420006848444e-09
1820,8.306536791735653e-09,1.1866481131050932e-09
1821,3.94459531705138e-09,0.0
1822,2.0051231786055723e-09,0.0
1823,7.906149512848515e-09,8.894418535021487e-09
1824,8.421112696055388e-10,1.6000115010683658e-08
1825,0.0,3.522177216552791e-09
1826,7.0463874735082754e-09,2.4662355713189754e-08
1827,1.566936447261469e-08,1.8434546111834038e-09
1828,2.7516904310687096e-09,8.255071293206129e-09
1829,3.429270423183084e-09,8.573175946935407e-09
1830,2.0873671680021744e-09,5.218417697960831e-09
1831,0.0,1.2472964883158966e-08
1832,0.0,5.411987746839486e-09
1833,0.0,1.9692167896323554e-08
1834,0.0,7.467624740797874e-09
1835,1.5126175867408165e-09,1.3613558280667348e-08
1836,6.720750067579218e-10,6.72075017860152e-09
1837,2.0873671680021744e-09,1.3219993100221927e-08
1838,3.1560809521380406e-09,1.5780404538645598e-08
1839,1.3982950353153e-09,1.7478688718597368e-08
1840,1.2739377330817092e-09,5.095750932326837e-09
1841,1.2841097074556274e-09,1.4125206782011901e-08
1842,1.0733224087289273e-08,1.2074877098200432e-08
1843,5.906910960362666e-09,1.1813821920725331e-08
1844,2.7442805805577564e-09,3.841992946007622e-09
1845,3.9061593959388574e-09,1.1160455670733427e-08
1846,7.025401593807601e-09,1.7563504428608212e-08
1847,9.168480197274675e-09,1.240441438454809e-08
1848,2.413566457803995e-09,2.896279838182636e-08
1849,3.3517659758786067e-09,7.54147322368226e-09
1850,3.394498016007219e-09,3.394498016007219e-09
1851,9.029214709244116e-09,3.2247193804124663e-09
1852,9.114764054629632e-09,1.3021090872200602e-09
1853,2.388772735173461e-09,2.388772735173461e-09
1854,7.27393034694046e-09,1.3508727469968562e-08
1855,3.714855978387277e-09,1.5920811335945473e-09
1856,3.1063134287023786e-09,0.0
1857,2.9289055625270066e-09,1.3180074809326925e-08
1858,1.9574704079872163e-09,4.404308473482388e-09
1859,5.601390462572908e-09,4.582956236731661e-09
1860,5.950338888283113e-09,2.746310290291376e-09
1861,4.715963730639317e-10,2.357981809808507e-09
1862,1.8071945051545413e-09,6.776979422085105e-09
1863,2.9967726078439227e-09,1.2486552236623538e-08
1864,2.8768367688059016e-09,9.109982990196386e-09
1865,4.706844358715045e-10,8.001635798393636e-09
1866,1.9462451650298362e-09,9.731225603104576e-09
1867,4.367530337390235e-09,8.73506067478047e-09
1868,4.93987406535723e-10,1.9265508299781686e-08
1869,2.441759683335931e-09,2.9301114867763545e-09
1870,5.160643912205387e-09,1.204150201772336e-08
1871,1.0621177271019633e-09,3.18635318130589e-09
1872,1.8142017887967654e-09,1.4513614310374123e-08
1873,4.190203295451056e-09,1.5563610844537834e-08
1874,5.974609251779839e-09,7.169530746864439e-09
1875,1.1443054281912168e-09,1.3731664694205392e-08
1876,1.209202959984168e-09,8.464420275799966e-09
1877,3.710889595609501e-09,4.329371083855449e-09
1878,1.8117265465633636e-09,1.9928991790152395e-08
1879,0.0,1.710611030603104e-08
1880,7.701415505323439e-09,2.5671385017744797e-09
1881,3.4862537301449947e-09,1.743126887276958e-08
1882,1.9966155395678697e-09,2.6621540527571597e-09
1883,5.0554711528150165e-09,5.0554711528150165e-09
1884,1.9805090900604227e-09,1.650424152899177e-08
1885,3.86738152613475e-09,1.0957580620640783e-08
1886,1.2906927748801422e-09,1.4842966855610484e-08
1887,3.9173548849191775e-09,1.0446279397058333e-08
1888,3.1703073499755874e-09,1.268122939990235e-08
1889,6.265136742733546e-10,1.6915869593958632e-08
1890,6.554386478008212e-10,1.9007721618891082e-08
1891,2.5496880162734215e-09,3.1871101313640793e-09
1892,1.8805537127519756e-09,5.014809900671935e-09
1893,3.079208221734575e-09,1.539604177480669e-08
1894,7.561847148451761e-09,9.452309157609307e-09
1895,0.0,1.444467478961542e-08
1896,1.179405795248556e-09,7.66613794667137e-09
1897,2.330685422435863e-09,1.2236098356765979e-08
1898,0.0,1.0185038590293516e-08
1899,5.527578395003729e-10,1.5477219506010442e-08
1900,0.0,1.661137005726232e-08
1901,1.1177477832191585e-09,1.676621685930968e-08
1902,0.0,3.928227076954727e-09
1903,5.400220270956879e-09,1.0800440541913758e-08
1904,5.374625189347171e-10,4.837162670412454e-09
1905,4.1286072338664326e-09,5.160758931310738e-09
1906,1.0288369045596824e-09,9.259531807970234e-09
1907,5.65712765521198e-09,7.71426478252124e-09
1908,0.0,7.367083831866239e-09
1909,3.850688656825696e-09,6.60118004702781e-09
1910,1.6032452032632705e-09,1.336037680488289e-08
1911,0.0,1.5429085564733214e-08
1912,3.646594803896619e-09,1.1460726589973547e-08
1913,2.121195885607108e-09,1.0075680734189518e-08
1914,3.3483718020477227e-09,4.68772043404897e-09
1915,0.0,3.534228465440492e-09
1916,1.0987462051303964e-09,6.592477230782379e-09
1917,0.0,2.0836205649743533e-08
1918,1.1486376294556067e-09,1.4932290071101306e-08
1919,4.603924352863942e-09,2.301962176431971e-08
1920,2.2716695191604686e-09,2.1202248845497706e-08
1921,7.572747429129834e-10,1.741731914250977e-08
1922,0.0,9.591316185719734e-09
1923,0.0,1.9108707505210987e-08
1924,1.289162443462999e-09,1.1602462102189293e-08
1925,3.299453377181294e-09,1.4297631523163545e-08
1926,0.0,8.916910765321973e-09
1927,0.0,4.4596899506643695e-09
1928,0.0,2.0566874425753667e-08
1929,3.342121912552898e-09,1.5596569369336066e-08
1930,1.8906487042613662e-08,4.201441416995522e-09
1931,1.1405356659111021e-09,2.2810713318222042e-09
1932,8.767629289252454e-09,9.863582839386709e-09
1933,1.1470662197865522e-09,1.605892663292252e-08
1934,1.1981580172459871e-09,9.585264137967897e-09
1935,1.196828414151696e-09,1.0771455727365264e-08
1936,0.0,1.33371855781661e-08
1937,6.295559185076627e-09,3.777335333410292e-09
1938,2.5930428915188486e-09,0.0
1939,0.0,6.117620188206274e-09
1940,2.5357829169792012e-09,1.5214697057785997e-08
1941,0.0,2.9515025978810172e-09
1942,3.034211770724937e-09,3.034211770724937e-09
1943,0.0,1.4516175816936538e-08
1944,0.0,6.4263723231761105e-09
1945,0.0,2.178504132643866e-08
1946,0.0,8.352662561605939e-09
1947,0.0,1.3112957830685446e-08
1948,3.2615663503321457e-09,1.7395020535104777e-08
1949,1.9634016634739737e-09,4.908504269707237e-09
1950,5.317680518146517e-09,2.1270722960764488e-09
1951,1.0661401761424827e-09,1.0661401761424827e-09
1952,3.1634410646574906e-09,3.1634410646574906e-09
1953,0.0,1.1851209791302608e-08
1954,2.9317608341017376e-09,9.772536113672459e-10
1955,0.0,5.631364707880948e-09
1956,8.72114158667614e-10,1.1337483840634377e-08
1957,8.835037701437898e-10,6.184526224473075e-09
1958,1.6544486891589827e-09,2.4816730892496253e-09
1959,3.100299128533379e-09,8.525822714489095e-09
1960,2.076250060767393e-09,6.920833239831836e-09
1961,3.47407969059077e-09,0.0
1962,1.2683912808952869e-09,1.4586500007851555e-08
1963,3.2330267352165265e-09,1.4225316924409981e-08
1964,3.6503808864551957e-09,1.0951143103454797e-08
1965,5.472043373977442e-10,9.302473458205895e-09
1966,1.6617224263271169e-09,5.539074976468328e-09
1967,0.0,5.916402479044791e-09
1968,4.940557296606585e-09,7.635406973349745e-09
1969,4.5417578031781147e-10,8.629339909305145e-09
1970,4.5987250119061684e-10,3.6789800095249348e-09
1971,1.0276794970565106e-09,7.193756701440179e-09
1972,1.5390440033513642e-09,8.721249500354133e-09
1973,1.6539611902288698e-09,7.718485406371656e-09
1974,0.0,4.500457340128605e-09
1975,2.8557400888473694e-09,5.140332159925265e-09
1976,1.7140580066410394e-09,6.2848797277581525e-09
1977,0.0,7.639816779203557e-09
1978,1.1881182704343018e-09,8.316828115084718e-09
1979,0.0,6.437170796402825e-09
1980,3.411090521154847e-09,1.2507331170752423e-08
1981,3.1627747087981106e-09,1.0753434587229549e-08
1982,6.207502289967692e-10,8.690503427999374e-09
1983,0.0,1.326216381158929e-08
1984,0.0,1.5077421977593986e-08
1985,2.4062232206745193e-09,1.5038894574104233e-08
1986,2.997242676272549e-09,1.7384007122700496e-08
1987,1.8332451112712533e-09,1.0388388815840699e-08
