year,aient_VERB omis_VERB,aient_VERB vomi_VERB
1800,1.5720821977538435e-08,0.0
1801,7.143547975374531e-09,0.0
1802,1.7902721083373763e-08,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,2.2743021688143017e-08,0.0
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,1.1330369531492579e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,3.042164919975221e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,1.600324850414836e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.8880564667256294e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,1.71256075987003e-08,1.2454987263765815e-08
1818,1.0729059418679299e-08,1.1921177378582115e-09
1819,4.5544620519422097e-08,1.8631890696951814e-08
1820,2.610625848831205e-08,0.0
1821,2.7612166775270452e-08,5.9168927535324656e-09
1822,3.0076847679083585e-08,0.0
1823,8.894418535021487e-09,9.882686891060644e-10
1824,5.894778887238772e-09,2.5263338088166165e-09
1825,2.3774695989686734e-08,8.805443041381977e-10
1826,2.906634755106552e-08,6.1655889282974385e-09
1827,5.530363722527909e-09,1.8434546111834038e-09
1828,3.118582370120748e-08,3.668920500743411e-09
1829,3.943661042171698e-08,1.0287811491593857e-08
1830,5.740259823028282e-08,0.0
1831,1.4032085715598441e-08,0.0
1832,3.92369123858316e-08,2.705993873419743e-09
1833,3.4750886612755494e-09,9.266902800675325e-09
1834,1.7735608537350345e-08,0.0
1835,7.563087933704082e-09,9.832014313815307e-09
1836,1.4785650037651976e-08,6.720750067579218e-10
1837,2.2265250976261086e-08,2.7831563720326358e-09
1838,1.3255539776935166e-08,3.1560809521380406e-09
1839,1.4682098203877558e-08,0.0
1840,1.8472096741106725e-08,0.0
1841,2.0545755319290038e-08,1.926164561183441e-09
1842,1.408735705865638e-08,0.0
1843,6.261326035428283e-08,3.5441467538532834e-09
1844,9.879410178825765e-09,0.0
1845,2.0646844234306627e-08,0.0
1846,2.4588905134237393e-08,0.0
1847,2.2651539310913904e-08,1.6179670936367074e-09
1848,1.689496542667257e-08,0.0
1849,1.5920887719289567e-08,0.0
1850,1.765138968323754e-08,0.0
1851,2.5152811389261842e-08,1.2898877521649865e-09
1852,3.385483537954315e-08,0.0
1853,1.0152284346531815e-08,4.180352064508952e-09
1854,2.338049043260071e-08,0.0
1855,1.326734277995456e-08,1.5920811335945473e-09
1856,2.2779632402603056e-08,5.177189343896771e-09
1857,1.2691923956253959e-08,0.0
1858,1.8106600663259087e-08,4.893676019968041e-10
1859,1.884104072757964e-08,0.0
1860,7.781213007262977e-09,0.0
1861,7.073945429425521e-09,1.8863854922557266e-09
1862,9.939570055905733e-09,4.517986262886353e-10
1863,1.6482248454963155e-08,4.495158911765884e-09
1864,8.151037178549814e-09,4.794727948009836e-10
1865,8.001635798393636e-09,0.0
1866,1.216403244796993e-08,9.731225825149181e-10
1867,2.1837651686951176e-08,4.85281148598915e-10
1868,2.1241458370013788e-08,0.0
1869,1.904572499711321e-08,1.4650557433881772e-09
1870,8.027668307875047e-09,0.0
1871,2.1242353653860846e-08,0.0
1872,8.4662747923403e-09,6.047339295989218e-10
1873,1.3767810003173508e-08,5.986004469882289e-10
1874,1.3144139998644278e-08,2.9873046258899194e-09
1875,3.089624556196213e-08,0.0
1876,8.464420275799966e-09,0.0
1877,1.2369632429454214e-08,0.0
1878,2.113680963589104e-08,6.6429977074733415e-09
1879,2.016077260691418e-08,0.0
1880,1.3477476912271413e-08,0.0
1881,1.5339516323820135e-08,0.0
1882,1.3310770263785798e-08,0.0
1883,1.2638677659992936e-08,2.5277355764075082e-09
1884,2.0465261485469455e-08,0.0
1885,1.2891271161663553e-08,1.2891271383708158e-09
1886,1.5488312854472497e-08,0.0
1887,1.5016526688782506e-08,6.528924623161458e-10
1888,2.1558090423923204e-08,0.0
1889,8.771191772893872e-09,1.8795409673089125e-09
1890,1.4419650362640368e-08,0.0
1891,1.529812720946211e-08,6.374220040683554e-10
1892,1.002961980134387e-08,0.0
1893,2.5249507373814595e-08,4.310891643655168e-09
1894,1.9534772022211655e-08,0.0
1895,1.3240951446391591e-08,0.0
1896,2.299841384001411e-08,0.0
1897,1.806281169081103e-08,0.0
1898,2.3765091228256097e-08,0.0
1899,2.2110313580014918e-08,0.0
1900,1.5054054003371675e-08,0.0
1901,2.0678333711998675e-08,0.0
1902,1.6694965410124496e-08,1.4730852093691738e-09
1903,1.0260418292773466e-08,0.0
1904,2.2573425795258117e-08,1.0749250378694342e-09
1905,1.4966200723165457e-08,0.0
1906,2.41776678677752e-08,0.0
1907,1.542852956504248e-08,0.0
1908,1.276961114626829e-08,0.0
1909,2.475442606453271e-08,0.0
1910,2.0307773240801907e-08,0.0
1911,2.181353409014264e-08,0.0
1912,1.4586379215586476e-08,0.0
1913,1.96210621083992e-08,0.0
1914,1.2723813114234872e-08,5.357394972094198e-09
1915,1.6493066468115103e-08,0.0
1916,2.197492321442951e-08,0.0
1917,2.4126133979507358e-08,0.0
1918,2.2972752589112133e-08,0.0
1919,2.4861190439651182e-08,9.207848372660976e-10
1920,1.4387239843927091e-08,0.0
1921,1.3630945261411398e-08,0.0
1922,1.9182632371439468e-08,0.0
1923,2.229349149729387e-08,0.0
1924,2.1915761649893284e-08,0.0
1925,1.8696901804560184e-08,0.0
1926,1.0031524944054127e-08,0.0
1927,1.3379070296082318e-08,2.2298449753321847e-09
1928,1.4853853258500749e-08,0.0
1929,1.5596569369336066e-08,0.0
1930,9.453243521306831e-09,0.0
1931,1.596749932275543e-08,0.0
1932,1.753525857850491e-08,0.0
1933,1.0323596200123575e-08,0.0
1934,7.188948103475923e-09,0.0
1935,1.196828414151696e-08,0.0
1936,9.699771652549316e-09,0.0
1937,2.895957251780601e-08,0.0
1938,1.1668692678767911e-08,0.0
1939,1.2235240376412548e-08,0.0
1940,2.2822046474857416e-08,0.0
1941,1.1806010391524069e-08,0.0
1942,1.8205270180260413e-08,0.0
1943,0.0,2.9032352077962287e-09
1944,3.2131861615880553e-09,0.0
1945,1.089252066321933e-08,2.178504043826024e-09
1946,2.0881657292193267e-08,0.0
1947,1.0728784083369192e-08,0.0
1948,1.7395020535104777e-08,1.0871887834440486e-09
1949,9.817008539414473e-09,0.0
1950,1.0635361036293034e-08,0.0
