year,grand_ADJ âne_NOUN,grand_ADJ ane_NOUN,grand_ADJ van_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09,3.144164484325529e-09
1801,9.524730337773235e-09,0.0,7.143547975374531e-09
1802,0.0,0.0,0.0
1803,1.755305234496518e-08,0.0,3.900678446910888e-09
1804,1.4831105232815389e-08,0.0,2.4718509905596875e-08
1805,0.0,0.0,0.0
1806,7.492339904047185e-08,0.0,5.76333825108577e-09
1807,1.1387820464392462e-08,0.0,0.0
1808,6.798221985349073e-09,0.0,2.4926814390369145e-08
1809,0.0,0.0,2.259030518203531e-09
1810,2.3401267590372754e-09,0.0,4.680253518074551e-09
1811,2.5070767684098882e-09,0.0,0.0
1812,5.3344164641089264e-09,0.0,0.0
1813,8.627225156487839e-09,0.0,0.0
1814,0.0,0.0,9.440030979135372e-09
1815,5.394447111228828e-09,2.697223555614414e-09,0.0
1816,1.3905623319487859e-08,0.0,0.0
1817,2.0239355080775567e-08,0.0,0.0
1818,9.536941902865692e-09,0.0,5.960588467246453e-09
1819,1.6561680027393777e-08,0.0,7.24573512300708e-09
1820,2.0173018810965004e-08,0.0,0.0
1821,2.1695274909916407e-08,9.86148829262845e-10,8.875339574387908e-09
1822,7.017931125119503e-09,0.0,0.0
1823,6.917880934764753e-09,9.882686891060644e-10,1.9765373782121287e-09
1824,5.052667617633233e-09,2.3579115548955087e-08,1.6842225392110777e-09
1825,1.4969252504215547e-08,0.0,8.805443041381977e-10
1826,7.0463874735082754e-09,0.0,0.0
1827,6.452091305675367e-09,0.0,6.452091305675367e-09
1828,9.172301251858528e-10,0.0,0.0
1829,1.457439946506156e-08,0.0,6.858540846366168e-09
1830,2.0873670791843324e-08,0.0,2.0873671680021744e-09
1831,6.236482441579483e-09,0.0,1.5591206103948707e-09
1832,2.4353944638733083e-08,0.0,4.058990921151917e-09
1833,1.3900354645102198e-08,0.0,1.1583628500844156e-09
1834,9.334530925997342e-10,0.0,3.733812370398937e-09
1835,2.2689263801112247e-09,0.0,3.025235173481633e-09
1836,1.344150035720304e-08,0.0,2.016224964762614e-09
1837,4.174734336004349e-09,0.0,4.87052354003481e-09
1838,6.943378316748294e-09,6.312161904276081e-10,6.312161682231476e-09
1839,4.194885327990505e-09,0.0,3.4957374772659477e-09
1840,3.1848443882154243e-09,0.0,1.9109065441114126e-09
1841,6.420548537278137e-10,0.0,1.0914932957462042e-08
1842,7.379091560011375e-09,0.0,8.720745015011744e-09
1843,1.063243981747064e-08,5.906911071384968e-10,1.653935144396712e-08
1844,6.586273748609983e-09,0.0,2.7442805805577564e-09
1845,1.562463758375543e-08,2.7901139176833567e-09,1.562463847193385e-08
1846,2.2832555401919308e-08,0.0,2.9272506640865004e-09
1847,4.314578916364553e-09,0.0,1.6179670936367074e-09
1848,1.6090443422100975e-09,0.0,1.6090443422100975e-09
