year,avait_VERB ôté_VERB,avait_VERB oté_VERB,avait_VERB voté_VERB
1800,3.9302057075474295e-07,9.432493897065797e-09,8.489244152087849e-08
1801,3.7384566553555487e-07,2.3811825844433088e-09,6.429193177837078e-08
1802,1.7455153056289419e-07,0.0,5.594600338554301e-08
1803,1.911332390136522e-07,0.0,4.4857802805609026e-08
1804,1.4336735887354735e-07,0.0,1.730295728918918e-08
1805,4.09374393939288e-07,0.0,9.097208675257207e-08
1806,1.671368039524168e-07,2.881669125542885e-09,5.76333825108577e-08
1807,4.3558412698985194e-07,0.0,5.97860605466849e-08
1808,3.285807395059237e-07,4.5321479902327155e-09,3.852325747288887e-08
1809,3.140052342587296e-07,0.0,6.325285539787728e-08
1810,3.205973655440175e-07,0.0,3.042164919975221e-08
1811,3.8358274423444527e-07,2.5070767684098882e-09,3.259199843341776e-08
1812,2.960601079848857e-07,8.00162425207418e-09,2.400487453257938e-08
1813,5.090062700219278e-07,0.0,4.888760685162197e-08
1814,4.688548926878866e-07,0.0,3.304010931515222e-07
1815,4.881974859927141e-07,8.091670444798638e-09,1.537417375629957e-07
1816,3.73134213305093e-07,1.622322720606917e-08,1.3442102897442965e-07
1817,4.1101458236880717e-07,0.0,1.5724421587037796e-07
1818,4.3989143705402967e-07,1.1921177378582115e-09,1.645122438276303e-07
1819,4.927100007989793e-07,2.070210003424222e-09,1.645816922746235e-07
1820,5.826442475154181e-07,2.3732962262101864e-09,2.6224924454254506e-07
1821,4.5855921371185104e-07,4.930744257336528e-09,1.5581152013055544e-07
1822,5.28349971773423e-07,1.303330066093622e-08,2.526455205043021e-07
1823,6.315036671367125e-07,7.906149623870817e-09,2.2927834208985587e-07
1824,4.724244320186699e-07,3.3684450784221553e-09,4.143187481986388e-07
1825,5.362514912121696e-07,8.805443041381977e-10,2.3510533253556787e-07
1826,5.504990099325369e-07,3.5231937367541377e-09,2.3429238638073002e-07
1827,5.447408284453559e-07,1.8434546111834038e-09,3.299783770671638e-07
1828,5.182350264476554e-07,5.5033806956039655e-09,1.6143249581546115e-07
1829,6.026942855896777e-07,6.858540846366168e-09,2.511940522254008e-07
1830,3.64245579476119e-07,3.1310507520032616e-09,1.847319879288989e-07
1831,4.240808095801185e-07,1.5591206103948707e-09,2.977920416924462e-07
1832,4.600189527081966e-07,1.3529969367098715e-09,3.910161012754543e-07
1833,4.2743587869154e-07,1.2741991461950875e-08,4.5639495738214464e-07
1834,4.471240231396223e-07,2.8003592777992026e-09,3.8458267681562575e-07
1835,5.089958108328574e-07,8.31939672707449e-09,2.594139232314774e-07
1836,4.496181702506874e-07,6.048675060821296e-09,2.7353453901923785e-07
1837,5.635891398014792e-07,7.653679912067446e-09,3.374577204340312e-07
1838,5.384274004427425e-07,5.049729523420865e-09,2.417557993794617e-07
1839,4.2717914539025514e-07,2.7965901816529026e-09,2.9923512556706555e-07
1840,6.019355964781425e-07,3.184844332704273e-09,2.6497903604649764e-07
