year,ont_VERB eu_VERB,ont_VERB vu_VERB
1800,2.362210761930328e-05,7.432804977725027e-06
1801,2.500003574823495e-05,6.783989192626905e-06
1802,2.6243151296512224e-05,5.634881290461635e-06
1803,2.211489663750399e-05,6.574593498953618e-06
1804,2.432795736240223e-05,6.940957518963842e-06
1805,2.517652501410339e-05,7.1668946475256234e-06
1806,2.4070583094726317e-05,6.766159003745997e-06
1807,2.3202685042633675e-05,6.325934464257443e-06
1808,2.398865944996942e-05,6.0730781115125865e-06
1809,2.3173135559773073e-05,5.308721938490635e-06
1810,2.3927796064526774e-05,6.089009730203543e-06
1811,2.2247799279284663e-05,5.004125341656618e-06
1812,2.2961996364756487e-05,6.497319191112183e-06
1813,2.6123236239072867e-05,6.919034603924956e-06
1814,2.9440310754580423e-05,6.6866887209471315e-06
1815,2.6891319066635333e-05,6.915681296959519e-06
1816,2.431166467431467e-05,6.741909601259977e-06
1817,2.4855484298313968e-05,6.828446657891618e-06
1818,2.360750841035042e-05,6.798647518735379e-06
1819,2.4495759134879336e-05,7.635969268449116e-06
1820,2.6039806471089832e-05,6.856452728243312e-06
1821,2.464583121764008e-05,7.5213570198684465e-06
1822,2.455774665577337e-05,6.984846550039947e-06
1823,2.2165879272506572e-05,5.928623977524694e-06
1824,2.2020367396180518e-05,5.963831881672377e-06
1825,2.2145688490127213e-05,6.321427463262808e-06
1826,2.1635052689816803e-05,6.54961695545353e-06
1827,2.305147791048512e-05,5.7534216466592625e-06
1828,2.3053662516758777e-05,6.243585630727466e-06
1829,2.5049963369383477e-05,6.640781975875143e-06
1830,2.4454549929942004e-05,6.246446446311893e-06
1831,2.6826228349818848e-05,7.81743074185215e-06
1832,2.500744267308619e-05,7.300771358131897e-06
1833,2.2680744223180227e-05,6.968710749788443e-06
1834,2.353701893298421e-05,6.839410616521491e-06
1835,2.190799750678707e-05,6.4180362642218824e-06
1836,2.2298105250229128e-05,6.380680133588612e-06
1837,2.35128009080654e-05,6.492407919722609e-06
1838,2.2556510884896852e-05,5.639285518554971e-06
1839,2.3313772544497624e-05,5.703645456378581e-06
1840,2.3734097339911386e-05,6.1378318605420645e-06
1841,2.4334520276170224e-05,6.620227395615075e-06
1842,2.3593638616148382e-05,6.401697191904532e-06
1843,2.5166984414681792e-05,6.543085419252748e-06
1844,2.2509688278660178e-05,5.8019581956614275e-06
1845,2.272268829983659e-05,5.752657216362422e-06
1846,2.4550265152356587e-05,6.530110567837255e-06
1847,2.4737099010962993e-05,5.994568255118793e-06
1848,2.691046211111825e-05,6.2382650867220946e-06
1849,2.5341863874928094e-05,5.766713456978323e-06
1850,2.4255725293187425e-05,6.136573574622162e-06
1851,2.3928063455969095e-05,6.212099378899438e-06
1852,2.4230948838521726e-05,6.1374912547762506e-06
1853,2.3973125280463137e-05,6.094356649555266e-06
1854,2.37540589296259e-05,6.0316469898680225e-06
1855,2.324916022189427e-05,6.170375854708254e-06
1856,2.3106831577024423e-05,6.096140168665443e-06
1857,2.378808130742982e-05,6.413814844563603e-06
1858,2.3395687094307505e-05,5.960497219348326e-06
1859,2.339140701224096e-05,6.323460638668621e-06
1860,2.387092899880372e-05,6.47900378680788e-06
1861,2.4751263481448404e-05,6.486336587840924e-06
1862,2.408448199275881e-05,6.445359304052545e-06
1863,2.392023816355504e-05,6.581911293324083e-06
1864,2.405275336059276e-05,6.596586899831891e-06
1865,2.3730968678137287e-05,6.142432084743632e-06
1866,2.38439351960551e-05,6.129699158918811e-06
1867,2.3942800908116624e-05,5.843755388923455e-06
1868,2.420735836494714e-05,6.240542916202685e-06
1869,2.36699288507225e-05,6.1693499446846545e-06
1870,2.2608781364397146e-05,6.135432158771437e-06
1871,2.624705302878283e-05,6.229320661077509e-06
1872,2.4807999579934403e-05,6.199127710715402e-06
1873,2.361658334848471e-05,5.921954198129242e-06
1874,2.3846458134357817e-05,5.555191364692291e-06
1875,2.4467539333272725e-05,5.848545242770342e-06
1876,2.4525053959223442e-05,5.950487775407964e-06
1877,2.3651355149922892e-05,5.872482688573655e-06
1878,2.4172055418603122e-05,5.5819295994297136e-06
1879,2.42271398747107e-05,6.086720986786531e-06
1880,2.3671584131079726e-05,5.760016847489169e-06
1881,2.3812508516130038e-05,5.963585863355547e-06
1882,2.345158100069966e-05,5.638442416966427e-06
1883,2.35768220591126e-05,5.5389004955941346e-06
1884,2.3578621039632708e-05,5.7177298913302366e-06
1885,2.3991944544832222e-05,5.677316039509606e-06
1886,2.3326045266003348e-05,5.50803133592126e-06
1887,2.3665392291150056e-05,5.713462087442167e-06
1888,2.3699316443526186e-05,5.713528025808046e-06
1889,2.449668500048574e-05,5.9731814872066025e-06
1890,2.515114647394512e-05,6.015615781507222e-06
1891,2.484415927028749e-05,5.7291490520583466e-06
1892,2.444594429107383e-05,5.739449989050627e-06
1893,2.4098499125102535e-05,5.767356924479827e-06
1894,2.4139306333381683e-05,5.633576165564591e-06
1895,2.4207469323300757e-05,5.731526471208781e-06
1896,2.4017419491428882e-05,5.703606348106405e-06
1897,2.463767486915458e-05,6.013750862621237e-06
1898,2.407403735560365e-05,6.046518137736712e-06
1899,2.37591902987333e-05,6.213550932443468e-06
1900,2.379007673880551e-05,5.887692623218754e-06
1901,2.400083940301556e-05,6.052604021533625e-06
1902,2.0876563212368637e-05,5.327658072928898e-06
1903,2.2968757548369467e-05,5.879760010429891e-06
1904,2.2548165361513384e-05,6.137821856100345e-06
1905,2.2629412342212163e-05,5.88894226893899e-06
1906,2.2709516997565515e-05,6.173021574795712e-06
1907,2.2287540559773333e-05,5.889584372198442e-06
1908,2.3174879970611073e-05,6.046411272109253e-06
1909,2.1558355001616292e-05,6.117093562352238e-06
1910,2.2308087864075787e-05,6.115311407484114e-06
1911,2.2075297238188796e-05,6.151948582555633e-06
1912,2.2017098672222346e-05,6.08512482358492e-06
1913,2.1911422663833946e-05,6.183816367411055e-06
1914,2.2950411221245304e-05,6.167031187942484e-06
1915,2.8244376153452322e-05,7.860124242142774e-06
1916,2.6834679374587722e-05,7.731877303740475e-06
1917,2.660564314282965e-05,7.980266673257574e-06
1918,2.4569359084125608e-05,7.026216280792141e-06
1919,2.4243343432317488e-05,7.279724741238169e-06
1920,2.168005630664993e-05,6.490917257906403e-06
1921,2.1654272131854668e-05,6.220254817890236e-06
1922,2.186967685702257e-05,6.5552958403714e-06
1923,2.154188223357778e-05,5.9502390286070295e-06
1924,2.121832403645385e-05,5.877291641809279e-06
1925,2.0924033378832974e-05,5.651963419950334e-06
1926,2.030380528594833e-05,5.761438842455391e-06
1927,2.0881383534288034e-05,5.715092811442446e-06
1928,2.1355270291678607e-05,5.503924057848053e-06
1929,2.0764602595590986e-05,5.501132818608312e-06
1930,2.117211442964617e-05,5.5669097491772845e-06
1931,2.0488581867539324e-05,5.2510263230942655e-06
1932,2.1025871319579892e-05,5.5455257097491995e-06
1933,2.1306754206307232e-05,5.488711849466199e-06
1934,2.0319561372161843e-05,5.4887618716747966e-06
1935,1.9402981706662104e-05,5.4838678806845564e-06
1936,2.0130662960582413e-05,5.583431175182341e-06
1937,2.0308214516262524e-05,5.167395102034789e-06
1938,2.0168687115074135e-05,5.447983312478755e-06
1939,1.8874387023970485e-05,5.3223293434712104e-06
1940,1.8125776477972977e-05,4.830666512134485e-06
1941,1.672026155574713e-05,4.8611245802021585e-06
1942,1.826898915169295e-05,5.7680367717694025e-06
1943,1.6876505469554104e-05,6.253568699321477e-06
1944,1.8006694517680444e-05,6.024723916198127e-06
1945,1.9175193301634863e-05,5.64014681003755e-06
