year,eût_VERB eu_VERB,eût_VERB vu_VERB
1800,3.851601377391489e-06,1.21364746519248e-06
1801,3.540818397596013e-06,9.000870022646268e-07
1802,4.1735720515134744e-06,1.3427040812530322e-06
1803,3.3877392979775323e-06,1.197508254335844e-06
1804,4.189787432551384e-06,1.282890593756747e-06
1805,3.644569233074435e-06,8.301203138216806e-07
1806,3.855673185171327e-06,9.307791515311692e-07
1807,3.985737293987768e-06,7.800657044754189e-07
1808,4.22622815676732e-06,1.0786511666083243e-06
1809,3.9781525629223324e-06,1.0255998859065585e-06
1810,3.8144066820677835e-06,1.1279411182840704e-06
1811,3.4021031751763076e-06,9.57703377935104e-07
1812,4.3342133722035214e-06,9.095180075746612e-07
1813,3.7557185805781046e-06,1.2049357565047103e-06
1814,4.301507487980416e-06,9.030963497025368e-07
1815,3.5441516956780106e-06,8.873865340319753e-07
1816,3.0777780466451077e-06,7.624916520398983e-07
1817,4.0712238842388615e-06,1.307773686676228e-06
1818,3.90895411328529e-06,1.3041767488175537e-06
1819,4.315352725825505e-06,1.210037794407981e-06
1820,3.838806605926948e-06,1.2602203014466795e-06
1821,4.521492428466445e-06,9.545921102471766e-07
1822,4.339086444815621e-06,1.0727409289756906e-06
1823,6.3427082750422414e-06,1.186910708383948e-06
1824,4.589506261254428e-06,1.0964288321702043e-06
1825,5.403019713412505e-06,1.3630825606014696e-06
1826,4.455959242477547e-06,9.706399168862845e-07
1827,4.209528469800716e-06,9.401618399351719e-07
1828,4.219258698867634e-06,9.57588213168492e-07
1829,4.006245035270695e-06,1.2576849712786498e-06
1830,4.699707005784148e-06,1.1136104376419098e-06
1831,3.063672011194285e-06,9.52622713157325e-07
1832,2.9684752007597126e-06,8.199161243283015e-07
1833,2.8009212655888405e-06,9.62599528975261e-07
1834,3.1858753573033027e-06,8.699782938492717e-07
1835,3.392801318113925e-06,9.650500487623503e-07
1836,3.4134689030906884e-06,1.08607321180898e-06
1837,3.3279591207246995e-06,8.975679293143912e-07
1838,3.925533292203909e-06,1.0882166634473833e-06
1839,3.2223708785750205e-06,9.242730243386177e-07
1840,3.218603751520277e-06,9.917605439113686e-07
1841,3.1049771678226534e-06,8.943824241214315e-07
1842,3.3360201996401884e-06,9.458653948968276e-07
1843,2.8110989660490304e-06,8.500044827997044e-07
1844,3.1015858894534176e-06,8.507270194968442e-07
1845,2.6154527859034715e-06,7.131531560844451e-07
1846,2.890952828238369e-06,8.647098184155766e-07
1847,2.6189493382844375e-06,8.429608442384051e-07
1848,2.549530790929566e-06,7.0315235234375e-07
1849,2.5532076506351586e-06,6.921396789039136e-07
1850,2.8595252388186054e-06,7.827712238395179e-07
1851,2.870000344046275e-06,6.668719834124204e-07
1852,2.616588290038635e-06,7.415511049657653e-07
1853,2.6581069505482446e-06,8.223350391745043e-07
1854,2.890867790483753e-06,8.411780640926736e-07
1855,2.5802328309509903e-06,8.650307563584647e-07
1856,2.664181465661386e-06,8.992777793537243e-07
1857,3.049478664252092e-06,9.138184964285756e-07
1858,2.8172892143629724e-06,9.058194336830638e-07
1859,3.016094296981464e-06,9.211741485160019e-07
1860,2.8451775051507866e-06,8.833964670884598e-07
1861,2.7196963401365792e-06,7.620997166668531e-07
1862,3.0265989607869415e-06,1.0052519883174682e-06
1863,2.6970951694238465e-06,8.360995025213924e-07
1864,2.771352683339501e-06,8.376389928343997e-07
1865,2.5162789825117216e-06,8.316994239976339e-07
1866,2.520873977118754e-06,7.045407528494252e-07
