year,avaient_VERB omis_VERB,avaient_VERB vomi_VERB
1800,1.2576657937302116e-08,0.0
1801,1.1905912700171939e-08,9.524730337773235e-09
1802,6.713520406265161e-09,1.1189200677108602e-08
1803,2.145373123596528e-08,5.851017448321727e-09
1804,2.4718509461507665e-09,1.4831105232815389e-08
1805,1.1371510844071508e-08,2.842877711017877e-09
1806,3.458002950651462e-08,2.305335300434308e-08
1807,1.4234775136401367e-08,7.686778502602465e-08
1808,4.985362878073829e-08,4.5321479902327155e-09
1809,3.162642769893864e-08,1.129515236897305e-08
1810,4.680253518074551e-09,1.4040760554223652e-08
1811,2.0056614147279106e-08,2.5070767684098882e-09
1812,4.267533171287141e-08,2.9339290108509886e-08
1813,8.052076339026826e-08,4.026038169513413e-08
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,5.1247248222807684e-08,1.6183340889597275e-08
1816,2.3176038865813098e-08,1.3905623319487859e-08
1817,1.0898113522728181e-08,1.2454987263765815e-08
1818,1.5497530370112145e-08,9.536941902865692e-09
1819,3.2088255608186955e-08,1.9666995143552413e-08
1820,2.3732962262101864e-08,5.933240565525466e-09
1821,5.423818549843418e-08,1.4792232327920374e-08
1822,1.1028177482330648e-08,6.51665033046811e-08
1823,3.4589405117912975e-08,2.075364236020505e-08
1824,1.8526447931321854e-08,1.3473780313688621e-08
1825,3.874394849390228e-08,1.4969252504215547e-08
1826,5.0205510859768765e-08,7.927186018719112e-09
1827,4.608636672287503e-08,1.2904182611350734e-08
1828,4.953042775923677e-08,1.9261833017480967e-08
1829,3.086343269842473e-08,6.001223074036943e-09
1830,2.0873670791843324e-08,7.305785310052215e-09
1831,2.494592976631793e-08,1.5591206548037917e-08
1832,2.841293600397421e-08,2.3000948701223933e-08
1833,3.4750886612755494e-08,1.3900354645102198e-08
1834,5.414027981487379e-08,6.534171426153534e-09
1835,2.4201881387853064e-08,1.739510224751939e-08
1836,5.309392392405243e-08,2.755507466645213e-08
1837,4.383471363667013e-08,9.74104708006962e-09
1838,3.3454458758797045e-08,3.471689069556305e-08
1839,5.5232654005976656e-08,1.3283802502428443e-08
1840,7.579929217627068e-08,1.52872523528913e-08
1841,6.741576186186649e-08,3.338685417020315e-08
1842,4.628702754416736e-08,1.2074877098200432e-08
1843,6.674809327478215e-08,5.31621990873532e-09
1844,5.1043620885593555e-08,1.811225303072206e-08
1845,8.314539456932835e-08,1.8414752389617206e-08
1846,9.367202125076801e-08,7.025401593807601e-09
1847,5.3392913201832926e-08,2.1572894581822766e-08
1848,3.459445352405055e-08,3.378993085334514e-08
1849,3.77073661184113e-08,1.75967720394965e-08
1850,4.1412874907109654e-08,2.308258650884909e-08
1851,4.1921353499674296e-08,2.8377531435808123e-08
1852,5.729280161403949e-08,1.2370036550635177e-08
1853,3.1651239851271384e-08,8.360704129017904e-09
1854,6.702406807335137e-08,1.9743524148907454e-08
1855,3.555647865027822e-08,1.751289246954002e-08
1856,4.866558001026533e-08,2.0708756931497874e-09
1857,3.7099468386259105e-08,1.9037885934380938e-08
1858,5.138359782108637e-08,8.808616946964776e-09
1859,5.397703617404659e-08,7.129042689513199e-09
1860,4.165237399433863e-08,1.5104706818647173e-08
1861,4.480165571862926e-08,6.6023493339173456e-09
1862,6.099281790739042e-08,5.873382225018986e-09
1863,5.5939754162182e-08,6.493007020935693e-09
1864,5.993410212568051e-08,7.1920918109924514e-09
1865,3.530133341200781e-08,1.882737743486018e-09
1866,5.2548617901493344e-08,1.1677471434268227e-08
1867,5.192508467644075e-08,1.0190904120577216e-08
1868,4.445886503390284e-08,4.44588676984381e-09
1869,3.564969119906891e-08,7.813630631403612e-09
1870,2.1789386295267832e-08,5.160643912205387e-09
1871,4.460894587055009e-08,1.274541272522356e-08
1872,2.4189358072135292e-08,1.0280476914203973e-08
1873,2.0352414864532875e-08,6.584604861359367e-09
1874,2.8080663128093875e-08,9.559374625212058e-09
1875,2.7463329388410784e-08,3.432916173551348e-09
1876,2.9625471853478302e-08,3.627608879952504e-09
1877,2.72131899237138e-08,1.1132669008873108e-08
1878,3.01954443671093e-08,3.0195443923020093e-09
1879,4.7652736867576095e-08,6.720257683667796e-09
1880,3.8507078414795615e-08,3.2089231272180996e-09
1881,4.9504802035471585e-08,0.0
1882,5.457415852561098e-08,1.9966155395678697e-09
1883,4.2339571848515334e-08,3.791603475633565e-09
1884,3.498899303622238e-08,1.2543224237049344e-08
1885,5.607703101873085e-08,7.090199094506033e-09
1886,3.355801325710672e-08,1.0325542199041138e-08
1887,2.285123557044244e-08,1.9586774424595887e-09
1888,2.4094335415725254e-08,4.4384300679212174e-09
1889,3.069916942877171e-08,1.2530273485467092e-09
1890,4.8502460714416884e-08,6.554386478008212e-10
1891,2.677172439291553e-08,1.9122659011827636e-09
1892,5.2655504845233736e-08,1.2537024751679837e-09
1893,5.234653954744317e-08,1.847525021858587e-09
1894,4.7261544011689693e-08,4.411077725308132e-09
1895,2.467631965430428e-08,1.2639090662958097e-08
1896,4.2458609073037223e-08,2.358811590497112e-09
1897,3.204692333724779e-08,1.1653427112179315e-09
1898,3.847681284696591e-08,3.3950129374460403e-09
1899,3.8693048765026106e-08,2.7637891975018647e-09
1900,5.087231969014283e-08,6.748368974740515e-09
1901,4.918090112937534e-08,2.235495566438317e-09
1902,3.388095848322337e-08,7.365425602756659e-09
1903,5.778235845355084e-08,6.480264325148255e-09
1904,3.708491291831706e-08,2.1498500757388683e-09
1905,5.1091515018697464e-08,1.5482277682110634e-09
1906,3.961022088105892e-08,1.5432553013283723e-09
1907,2.7257069490360664e-08,6.685696440911215e-09
1908,2.89771957540097e-08,3.929111258571538e-09
1909,4.455796798197298e-08,4.400786846048277e-09
1910,4.3287620599130605e-08,5.34415089958884e-09
1911,2.606983251496331e-08,1.0640748282497725e-09
1912,3.125652625612929e-08,5.209421227725386e-10
1913,4.666630815108874e-08,1.060597942803554e-09
1914,6.49584137590864e-08,6.696743604095445e-09
1915,1.6493066468115103e-08,0.0
1916,4.2851102222130066e-08,2.197492410260793e-09
1917,4.7155623406069935e-08,1.4256351654751143e-08
1918,2.6418664589300533e-08,1.1486376294556067e-09
1919,3.591060959706738e-08,4.603924352863942e-09
1920,3.8618381381638756e-08,7.572231730534895e-10
1921,7.497020249047637e-08,5.300923255902035e-09
1922,5.5334517412575224e-08,1.4755870969551665e-09
1923,4.458698299458774e-08,2.1231896241147297e-09
1924,4.2542360745301266e-08,0.0
1925,3.299453510408057e-08,0.0
1926,4.0126099776216506e-08,0.0
1927,2.5643217327342427e-08,0.0
1928,5.713020456710183e-08,1.1426041224282812e-09
1929,5.013182757807044e-08,2.2280812750352652e-09
1930,3.676261073337628e-08,1.0503603542488804e-09
1931,3.649714130915527e-08,2.2810713318222042e-09
1932,4.383814555808385e-08,0.0
1933,3.211785326584504e-08,0.0
1934,4.7926320689839486e-08,0.0
1935,3.351119559624749e-08,0.0
1936,5.577368611398015e-08,1.2124714565686645e-09
1937,3.651424407280501e-08,1.0072894518486919e-08
1938,4.2785206488815675e-08,2.5930428915188486e-09
1939,4.129393715857077e-08,1.5294050470515685e-09
1940,4.81798743123818e-08,0.0
1941,5.60785480274717e-08,1.1806010391524069e-08
1942,5.158160121254696e-08,6.068423541449874e-09
1943,3.774205836748479e-08,0.0
1944,3.213186161588055e-08,1.6065930807940276e-08
1945,5.010559434026618e-08,2.178504043826024e-09
1946,3.7586982415405146e-08,1.2528993842408909e-08
1947,5.722018059373113e-08,1.1920870957027319e-09
1948,5.6533817627268945e-08,3.2615663503321457e-09
1949,3.141442661558358e-08,7.853606653895895e-09
1950,3.722376362702562e-08,1.4889506516624351e-08
1951,5.224086763178093e-08,8.529121409139861e-09
1952,5.483298082253896e-08,2.1089607837865287e-09
1953,6.141081598798337e-08,3.232148326759443e-09
1954,5.2771696346098906e-08,0.0
1955,4.5050917663047585e-08,3.754243138587299e-09
1956,4.098936656760088e-08,3.488456634670456e-09
1957,3.8874166108371355e-08,1.7670075402875796e-09
1958,3.4743422361316334e-08,3.3088973783179654e-09
1959,3.8753739772801055e-08,4.650448914844674e-09
1960,3.5988332314218496e-08,5.536666680683311e-09
1961,4.238377115939329e-08,6.94815938118154e-09
1962,3.4880759613997725e-08,4.43936931660005e-09
1963,4.6555584276575246e-08,2.5864212993553792e-09
1964,4.6846555079582686e-08,1.2167936658258327e-09
1965,3.173785145804686e-08,1.6416130677043839e-09
1966,3.711179985543822e-08,4.985167390003653e-09
1967,3.845661922241561e-08,2.465167847631733e-09
1968,3.233819256820425e-08,5.3896989093971115e-09
1969,3.860494146579185e-08,2.2708788183223305e-09
1970,4.230826888829142e-08,2.2993624781975086e-09
