year,auraient_VERB ôté_VERB,auraient_VERB voté_VERB
1800,0.0,1.5720821977538435e-08
1801,0.0,4.7623650800687756e-08
1802,1.1189200677108602e-08,7.608656460433849e-08
1803,9.751696339321825e-09,5.851017448321727e-09
1804,7.4155526164076946e-09,0.0
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,2.881669125542885e-09,2.881669125542885e-08
1807,1.1387820464392462e-08,3.131650672116848e-08
1808,2.2660739951163578e-09,9.064295980465431e-09
1809,2.25903047379461e-08,9.036122072814123e-09
1810,0.0,7.020380277111826e-09
1811,0.0,7.521229861140455e-09
1812,0.0,2.1337665856435706e-08
1813,5.751483289628823e-09,1.1502966579257645e-08
1814,2.2026739543434815e-08,2.2026739543434815e-08
1815,2.966945977789237e-08,6.203614333344376e-08
1816,1.1588019432906549e-08,9.270415546325239e-09
1817,3.113746815941454e-09,6.227493631882908e-09
1818,1.668964877410417e-08,4.887682791832049e-08
1819,1.035105001712111e-09,1.2421260464634543e-08
1820,3.322614716694261e-08,2.0173018810965004e-08
1821,7.88919063410276e-09,1.8736827200882544e-08
1822,1.7043547018147365e-08,4.010246357211145e-09
1823,2.2730180404550993e-08,2.7671523739059012e-08
1824,2.0210670470532932e-08,9.263223965660927e-09
1825,9.68598712347557e-09,6.163809906922779e-09
1826,9.688783109140786e-09,1.3211976401805714e-08
1827,8.295545583791863e-09,1.1982455028203276e-08
1828,2.2013523448549677e-08,2.4765213879618386e-08
1829,6.858540846366168e-09,1.457439946506156e-08
1830,1.461157062010443e-08,2.0873670791843324e-08
1831,3.1182412207897414e-09,2.3386808933878456e-08
1832,1.6235963684607668e-08,6.3590853471851e-08
1833,1.1583628500844156e-09,9.151066393542351e-08
1834,5.600718555598405e-09,3.547121707470069e-08
1835,8.31939672707449e-09,4.235329242874286e-08
1836,1.2769425516978572e-08,2.5538851033957144e-08
1837,1.3219993100221927e-08,4.5226290268374214e-08
1838,2.1461350030449466e-08,2.840472923537618e-08
1839,1.8177836125232716e-08,3.076248944466897e-08
1840,3.248541347034006e-08,3.503328827036967e-08
1841,3.017657945747487e-08,1.1556987367100646e-08
1842,1.1404051036834062e-08,2.0124794275488966e-08
1843,1.3585895075607368e-08,3.5441466650354414e-08
1844,5.488561161115513e-09,3.0735943568060975e-08
1845,1.5066614622583074e-08,2.9017185099178278e-08
1846,4.6836010625384006e-09,3.571245699163228e-08
1847,1.6718992412734224e-08,3.613459753637471e-08
1848,1.287235473768078e-08,7.803865287314693e-08
1849,2.9327951622803994e-08,9.552532986845108e-08
1850,2.3761487000228954e-08,6.924776130290411e-08
1851,8.384270167027807e-09,3.1602251482354404e-08
1852,7.161600201754936e-09,6.510545347282459e-08
1853,8.360704129017904e-09,1.6124216628554677e-08
1854,8.832629738719788e-09,3.065441944727354e-08
1855,3.1841622671890946e-09,1.1675261646360013e-08
1856,4.141751386299575e-09,1.1907535402144731e-08
1857,7.322263684272912e-09,2.245494101771328e-08
1858,1.6149130033227266e-08,3.9149409047922745e-08
1859,1.2221216039165483e-08,2.800695320104296e-08
1860,6.408057640072684e-09,2.8836257826014844e-08
1861,2.357981809808507e-09,3.3483342321005694e-08
1862,8.132375661773494e-09,6.370360949858878e-08
1863,2.4973103585068657e-09,1.748117206545885e-08
1864,1.4863656971897399e-08,3.3563097190381086e-08
1865,1.4591217123438582e-08,3.671338433264282e-08
1866,5.352174259343201e-09,3.989802621617855e-08
1867,3.88224918879132e-09,3.396968040192405e-08
1868,1.0867722721741302e-08,4.989272639477349e-08
1869,1.12320943657096e-08,5.274200631788517e-08
1870,6.307453670473251e-09,5.390005952676802e-08
1871,5.3105884134652115e-09,3.823623728749226e-08
1872,1.8142017887967654e-09,3.62840353318461e-08
1873,1.1972008939764578e-09,3.052862140862089e-08
1874,2.9873046258899194e-09,4.301718448118663e-08
1875,9.7265964171811e-09,3.6045619822289154e-08
1876,3.4462285469771814e-08,7.376137745040978e-08
1877,7.421779191219002e-09,7.174386240649255e-08
1878,1.8117265465633636e-09,6.401433694236403e-08
1879,7.331190321480108e-09,3.5434087664043545e-08
1880,3.2089231272180996e-09,5.904418642899145e-08
1881,4.8807553554297556e-09,4.671580100534811e-08
1882,1.6638463051776853e-08,3.128031167420886e-08
1883,1.8958017378167824e-09,3.5388296737437486e-08
1884,2.6406787867472303e-09,2.970763546272792e-08
1885,9.023890079618013e-09,4.3185760745245716e-08
1886,5.162771099520569e-09,3.9366128135043255e-08
1887,4.570247291724172e-09,3.982643903555072e-08
1888,9.510921827882157e-09,3.7409627395845746e-08
1889,0.0,3.195219733242993e-08
1890,0.0,3.9326319978272295e-08
1891,6.3742202627281586e-09,3.824532157636895e-08
1892,5.014809900671935e-09,4.199903358426127e-08
1893,6.15841644346915e-09,5.665743074700913e-08
1894,4.411077725308132e-09,3.0247388593807045e-08
1895,6.018614495673091e-10,2.4074457982692365e-08
1896,5.307326134129653e-09,4.1279204054944785e-08
1897,7.574727511894253e-09,4.1952336715667116e-08
1898,2.26334195829736e-09,5.375436984422777e-08
1899,5.527578395003729e-09,3.6482017407024614e-08
1900,1.5573159428683425e-09,4.3085741197046445e-08
1901,0.0,3.856229824350521e-08
1902,1.4730852093691738e-09,5.155797921929661e-08
1903,5.400220270956879e-09,4.5361851164216205e-08
1904,3.2247751136083025e-09,3.33226779503093e-08
1905,2.0643036169332163e-09,4.076999715607599e-08
1906,6.173021205313489e-09,5.96725371337925e-08
1907,3.0857059130084963e-09,3.394276504309346e-08
1908,0.0,4.813161424976897e-08
1909,5.500983557560346e-10,3.5206294768386215e-08
1910,2.67207544979442e-09,5.183825990684454e-08
1911,5.852411444351446e-09,3.405039450399272e-08
1912,3.646594803896619e-09,3.9070659596518453e-08
1913,3.71209285532359e-09,2.5454351515463713e-08
1914,1.2723813114234872e-08,2.343860217024485e-08
1915,0.0,4.005459075528961e-08
1916,1.0987462051303964e-09,1.0987461607214755e-08
1917,0.0,3.5092558192673096e-08
1918,0.0,3.2161853624756986e-08
1919,1.1049418269237776e-08,2.2098836538475553e-08
1920,3.786115865267448e-09,5.6791737534922504e-08
1921,7.572747429129834e-10,4.013556065274315e-08
1922,2.2133805899215986e-09,1.770704471937279e-08
1923,0.0,4.352538596208433e-08
1924,2.578324886925998e-09,3.609654797287476e-08
1925,8.798542339150117e-09,2.969508017258704e-08
1926,7.802296586589819e-09,2.452150482668003e-08
1927,2.2298449753321847e-09,4.3481975353643065e-08
1928,2.2852082448565625e-09,2.8565102283550914e-08
1929,5.570202965543558e-09,3.4535258208734376e-08
1930,1.0503603542488804e-09,1.995684684175103e-08
1931,1.1405356659111021e-09,1.2545892325022123e-08
1932,5.4797681947604815e-09,2.4110979879310435e-08
1933,3.4411986593596566e-09,1.605892663292252e-08
1934,1.1981580172459871e-09,2.3963160344919743e-08
1935,1.196828414151696e-09,2.0346082152400413e-08
