year,tout_DET if_NOUN,tout_DET vif_NOUN
1800,0.0,1.2891074163690064e-07
1801,0.0,1.3096504858367553e-07
1802,2.2378401354217203e-09,1.320325679898815e-07
1803,0.0,1.0921899473714802e-07
1804,0.0,1.3100809326260787e-07
1805,0.0,1.1087222873129576e-07
1806,0.0,1.0085842205853623e-07
1807,0.0,1.9643989901396708e-07
1808,0.0,9.744118045773575e-08
1809,0.0,1.784634093837667e-07
1810,0.0,2.223120389999167e-07
1811,0.0,1.855236746450828e-07
1812,0.0,1.1468995353425271e-07
1813,2.8757416448144113e-09,1.121539270343419e-07
1814,0.0,1.604805390797992e-07
1815,2.697223555614414e-09,7.282503844407984e-08
1816,0.0,7.648093003354006e-08
1817,0.0,1.71256075987003e-07
1818,1.1921177378582115e-09,2.1577331210664852e-07
1819,0.0,1.3249344021915022e-07
1820,1.1866481131050932e-09,7.119888323359191e-08
1821,0.0,2.1892503809795016e-07
1822,1.0025615893027862e-09,2.0051231786055723e-07
1823,0.0,2.3421968364800705e-07
1824,0.0,1.6505380528997193e-07
1825,8.805443041381977e-10,3.4781498925440246e-07
1826,8.807984341885344e-10,1.409277530228792e-07
1827,0.0,1.1613764172579977e-07
1828,0.0,1.2107437896702322e-07
1829,0.0,1.1402324417986165e-07
1830,3.1310507520032616e-09,1.0645572245948642e-07
1831,1.5591206103948707e-09,8.886987501455224e-08
1832,0.0,1.420646782435142e-07
1833,0.0,1.042526562855528e-07
1834,0.0,9.614566920390644e-08
1835,0.0,2.533634528845141e-07
1836,6.720750067579218e-10,2.0699910407984135e-07
1837,6.957890930081589e-10,2.623124828460277e-07
1838,0.0,1.8179025573772378e-07
1839,0.0,1.1046530801195331e-07
1840,0.0,1.1911318154034234e-07
1841,0.0,1.6500810318120784e-07
1842,0.0,1.583150606165873e-07
1843,1.1813822142769936e-09,1.2936135362906498e-07
1844,0.0,2.2009130873357208e-07
1845,0.0,1.5345626991347672e-07
1846,0.0,1.844167911713157e-07
1847,0.0,1.2350481881640007e-07
1848,0.0,1.689496542667257e-07
1849,8.379414939696517e-10,6.703531596485846e-08
1850,6.788996032014438e-10,1.1677073530336202e-07
1851,6.449438760824933e-10,1.212494424862598e-07
1852,6.510545436100301e-10,1.3802356590986165e-07
1853,0.0,1.2660495940508554e-07
1854,0.0,1.776917173401671e-07
1855,1.0613874223963649e-09,1.4010313975632016e-07
1856,1.0354378465748937e-09,1.4444357532283902e-07
1857,0.0,2.2650202424756571e-07
1858,0.0,1.893852612511182e-07
1859,5.092173349652285e-10,1.675325052019616e-07
1860,0.0,1.3914639396261919e-07
1861,4.715963730639317e-10,1.367629494097855e-07
1862,0.0,1.6987628725928516e-07
1863,4.994620828036034e-10,1.3485475847119233e-07
1864,0.0,1.2418345818332455e-07
1865,0.0,1.3791053277145693e-07
1866,4.865612912574591e-10,1.1580159053892203e-07
1867,0.0,1.3781985330751922e-07
1868,0.0,1.2843672436702036e-07
1869,0.0,8.594993516908289e-08
1870,0.0,1.381905718744747e-07
1871,0.0,1.0939812256083314e-07
1872,0.0,1.2699412366146134e-07
1873,1.1972008939764578e-09,1.0295927665993077e-07
1874,0.0,7.82673765797881e-08
1875,0.0,1.3045081459495123e-07
1876,0.0,1.3301232115736639e-07
1877,6.184815992682502e-10,1.224593546567121e-07
1878,0.0,1.1715832215486444e-07
1879,0.0,1.5334406100464548e-07
1880,0.0,1.2322264808517502e-07
1881,0.0,9.203709794292081e-08
1882,0.0,1.2179354769159545e-07
1883,1.8958017378167824e-09,9.03665480223026e-08
1884,0.0,1.0166613151341153e-07
1885,0.0,9.21725913372029e-08
1886,6.453463874400711e-10,9.16391869054678e-08
1887,1.9586774424595887e-09,1.1947932421207952e-07
1888,6.340614699951175e-10,1.1096075525074411e-07
1889,6.265136742733546e-10,1.2906181723337795e-07
1890,6.554386478008212e-10,1.0290386853739619e-07
1891,0.0,6.501704774564132e-08
1892,0.0,7.020733505669341e-08
1893,6.158416554491453e-10,9.730297989563041e-08
1894,0.0,6.868678070759415e-08
1895,0.0,8.185315891751088e-08
1896,0.0,5.955999426987546e-08
1897,1.1653427112179315e-09,5.5936450138460714e-08
1898,0.0,8.544115814856923e-08
1899,5.527578395003729e-10,7.849160965633928e-08
1900,0.0,6.384995288044593e-08
1901,5.588738916095792e-10,5.9240633731860726e-08
1902,0.0,6.03964878109764e-08
1903,5.400220270956879e-10,4.860198288270112e-08
1904,0.0,6.772027916213119e-08
1905,0.0,9.805442147126087e-08
1906,1.0288369045596824e-09,9.156648417274482e-08
1907,0.0,7.662836765121028e-08
1908,4.911389073214423e-10,9.086069496788696e-08
1909,0.0,7.206288188399412e-08
1910,0.0,8.22999197680474e-08
1911,0.0,5.7992078694724114e-08
1912,0.0,8.335074141996301e-08
1913,0.0,6.310557409960893e-08
