year,petit_ADJ âne_NOUN,petit_ADJ van_NOUN,petit_ADJ ane_NOUN
1800,2.2009151834367913e-08,9.432493897065797e-09,0.0
1801,2.3811825400343878e-08,0.0,0.0
1802,1.1189200677108602e-08,0.0,0.0
1803,4.095712213825209e-08,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,1.730295728918918e-08,0.0
1805,2.2743021688143017e-08,0.0,0.0
1806,2.0171682990621775e-08,8.645007376628655e-09,0.0
1807,5.4092147649953404e-08,0.0,0.0
1808,1.5862517965814504e-08,2.945896104833423e-08,2.2660739951163578e-09
1809,1.3554183553310395e-08,0.0,2.259030518203531e-09
1810,5.8503168531842675e-08,4.680253518074551e-09,2.3401267590372754e-09
1811,2.5070767684098882e-09,0.0,0.0
1812,6.668020802180763e-08,5.3344164641089264e-09,0.0
1813,3.738464116054274e-08,6.614205716459765e-08,0.0
1814,6.293354282149721e-09,2.2026739543434815e-08,0.0
1815,5.394447111228828e-09,9.170560133497929e-08,0.0
1816,8.806894413737609e-08,4.6352077731626196e-09,0.0
1817,4.0478710161551135e-08,3.113746815941454e-09,1.0898113522728181e-08
1818,2.384235475716423e-09,3.5763532135746345e-09,1.1921177378582115e-09
1819,9.315945348475907e-09,9.315945015409e-09,0.0
1820,2.1359666035891678e-08,1.1866481131050932e-09,0.0
1821,2.070912508145284e-08,1.1833786284221048e-08,0.0
1822,1.5038423839541792e-08,5.012807946513931e-09,0.0
1823,2.075364236020505e-08,5.929612134636386e-09,0.0
1824,5.810567671460376e-08,8.421112696055388e-10,0.0
1825,3.8743949160036095e-08,1.4088708866211164e-08,0.0
1826,4.403992281964975e-09,6.1655891503420435e-09,0.0
1827,5.530363722527909e-09,1.8434546111834038e-09,9.217273055917019e-10
1828,2.109629271274116e-08,4.586150625929264e-09,0.0
1829,4.2865881511033876e-08,8.57317605795771e-10,0.0
1830,1.7742621594152297e-08,0.0,7.30578508800761e-09
1831,2.182768810143898e-08,1.5591206103948707e-09,0.0
1832,2.4353944638733083e-08,8.117981731281532e-09,1.6235963684607668e-08
1833,5.791814139399776e-09,2.085053130151948e-08,1.1583628500844156e-09
1834,1.9602515832772838e-08,3.733812370398937e-09,9.334530925997342e-10
1835,2.4958190181223472e-08,9.075705520444899e-09,7.563087933704082e-10
1836,3.3603751947719473e-08,1.8146025126952736e-08,0.0
1837,2.7135775293452014e-08,2.0873671680021744e-09,4.87052354003481e-09
1838,2.1461350030449466e-08,3.1560809521380406e-09,1.0099459268886335e-08
1839,1.7478688718597368e-08,3.4957374772659477e-09,0.0
1840,4.1402977046800515e-08,5.095750932326837e-09,0.0
1841,3.5955071808757566e-08,1.2841097074556274e-09,2.5682194149112547e-09
1842,3.354132394051135e-08,3.3541325272778977e-09,0.0
1843,3.9576305843613824e-08,5.906911015873817e-09,0.0
1844,3.1833653935109396e-08,3.348022492577485e-08,0.0
1845,2.8459162138005922e-08,3.9061593959388574e-09,0.0
1846,4.9763260401292086e-08,9.367202569166011e-09,0.0
1847,1.3483059113639229e-08,2.1572894581822766e-09,5.3932236454556914e-09
1848,4.585776380849893e-08,4.022610855525244e-09,0.0
1849,2.4300303991253713e-08,1.3407063681469822e-08,0.0
1850,2.4440386603430397e-08,1.3577992064028876e-09,6.788996032014438e-10
1851,2.8377531435808123e-08,0.0,0.0
1852,2.929745468449596e-08,8.463708844885787e-09,0.0
1853,2.20961471342207e-08,1.7915795513800958e-09,0.0
1854,1.2469595134234623e-08,3.1173986725363534e-09,0.0
1855,5.041590256382733e-08,5.306937111981824e-09,6.368324534378189e-09
