year,tant_ADV eu_VERB,tant_ADV vu_VERB
1800,5.973912209356058e-08,1.980823611802407e-07
1801,9.762848662830947e-08,1.9049460320275102e-07
1802,3.3567602031325805e-08,1.1860552717735118e-07
1803,7.606323038089613e-08,1.677291692203653e-07
1804,9.145848167690929e-08,2.447132487759518e-07
1805,1.0802935435094696e-07,7.391481915419718e-08
1806,9.797675204481493e-08,2.7087691023552907e-07
1807,1.537355700520493e-07,1.2526602688467392e-07
1808,7.024829073998262e-08,1.0423940466353088e-07
1809,6.777091243748146e-08,1.1069249694628525e-07
1810,9.828532654410083e-08,1.7550951270095538e-07
1811,6.016983888912364e-08,1.2033967777824728e-07
1812,4.000812481308458e-08,1.5469807124190993e-07
1813,1.7254450312975678e-07,1.1502966401621961e-07
1814,3.1466772298927026e-08,1.321604372606089e-07
1815,5.1247248222807684e-08,1.1867783911156948e-07
1816,8.343373991692715e-08,1.7382029682266875e-07
1817,8.874178547557676e-08,2.3041727104100573e-07
1818,6.914282835168706e-08,2.8610824642782973e-07
1819,8.384350280721264e-08,1.749327509514842e-07
1820,1.2459804565878585e-07,1.578242034838695e-07
1821,1.0255947557880063e-07,2.4850950808286143e-07
1822,8.321261191213125e-08,1.6040985428844579e-07
1823,8.499110748516614e-08,2.3817275973669894e-07
1824,1.3894836570216285e-07,1.6336959163254505e-07
1825,1.0478477463493618e-07,2.4214969585045765e-07
1826,9.336463335785083e-08,2.281267938997189e-07
1827,7.92685455053288e-08,1.1521591147811705e-07
1828,1.0181254594954225e-07,1.3299836609803606e-07
1829,1.2602568233432976e-07,1.7489279002802505e-07
1830,4.174734158368665e-08,2.4735300030442886e-07
1831,5.3010101197514814e-08,2.182768810143898e-07
1832,1.1500473817704915e-07,2.4353946059818554e-07
1833,5.3284690437749305e-08,2.316725726814184e-07
1834,8.214387037241977e-08,1.9975895781954023e-07
1835,6.277362984974388e-08,2.2235478525090002e-07
1836,1.2702217588866915e-07,1.9086930080902675e-07
1837,8.071153700939249e-08,1.6420622728219314e-07
1838,9.531364497661343e-08,1.8242147348246363e-07
1839,9.29866175169991e-08,1.3982950974877895e-07
1840,5.286841542329057e-08,1.2102408675218612e-07
1841,5.072233477676491e-08,1.861959049165307e-07
1842,6.641182181965632e-08,1.1135720257016146e-07
1843,5.316219997553162e-08,1.1164061675117409e-07
1844,6.586273570974299e-08,1.2349262590305443e-07
1845,6.138250796539069e-08,1.7856729073173483e-07
1846,1.0245377524142896e-07,1.4167893880312477e-07
1847,6.094342808182773e-08,9.761734531821276e-08
1848,5.229394162142853e-08,9.895622810063287e-08
1849,6.619738002200393e-08,1.4915359258793615e-07
1850,8.825694663983086e-08,1.3849552260580822e-07
1851,5.482023013314574e-08,9.480675089434953e-08
1852,6.901178295493082e-08,1.490914911528307e-07
1853,6.449686651421871e-08,1.4272917780999705e-07
1854,7.741540031247496e-08,1.4288077920809883e-07
1855,7.323573214534917e-08,2.006022157274856e-07
1856,9.111852961041222e-08,1.454790208299528e-07
1857,1.2301403273795586e-07,1.732935714926498e-07
1858,8.514996352460003e-08,2.0259818711565458e-07
1859,6.110607841947058e-08,2.0521459020983457e-07
1860,7.598125506547149e-08,1.8079876440424414e-07
1861,8.630213699234446e-08,1.9524090077993606e-07
1862,5.963742211179124e-08,2.186705359008556e-07
1863,5.6439215967429845e-08,1.7081603687074676e-07
1864,6.472883029573495e-08,1.3233449180916068e-07
1865,6.777855787731824e-08,2.480506964275264e-07
1866,8.174230003987759e-08,1.60078670319308e-07
1867,5.046923945428716e-08,1.6451031115138903e-07
1868,6.026646559575966e-08,2.0055888683145895e-07
1869,5.567211758261692e-08,1.7043481648215675e-07
1870,4.4152177025580386e-08,1.7947573383025883e-07
1871,5.2043770182308435e-08,1.614418891904279e-07
1872,3.930770375859538e-08,1.7355863235479774e-07
1873,5.6268440573603584e-08,1.4426271377487865e-07
1874,4.600449088343339e-08,1.4339062204271613e-07
1875,4.63443683429432e-08,1.499040109820271e-07
1876,4.836811839936672e-08,1.8561264880645467e-07
1877,4.7004601100297805e-08,1.5523887952895166e-07
1878,3.0799352401800206e-08,1.0447623566278708e-07
1879,6.659164597522249e-08,1.9244374982463341e-07
1880,5.455169471701993e-08,1.6172973005268432e-07
1881,4.741305303923582e-08,1.6803743108084745e-07
1882,4.9249848643739824e-08,1.2778339453234366e-07
1883,4.3603439081607576e-08,1.5861540703099308e-07
1884,4.8192386969958534e-08,1.7824581277636753e-07
1885,5.0920522909336796e-08,1.637191502368296e-07
1886,5.549978965291302e-08,1.6004590008833475e-07
1887,4.6355363991779086e-08,1.4559502403699298e-07
1888,5.389522428345117e-08,1.6992846951779939e-07
1889,4.322944491264025e-08,1.8858061423543404e-07
1890,4.3258950199742685e-08,1.8680000835047395e-07
1891,4.52569608455633e-08,1.217476039983012e-07
1892,5.2655504845233736e-08,1.4668319181510014e-07
1893,4.187723234849727e-08,1.662772461941131e-07
1894,5.608369946230596e-08,1.8463509832145064e-07
1895,4.634333095054899e-08,1.0953878160080421e-07
1896,4.776593343081004e-08,1.881152229543659e-07
1897,4.836172351474488e-08,1.75966746951417e-07
1898,4.866185321361627e-08,1.7597483292774996e-07
1899,4.753717419703207e-08,2.2497243890029495e-07
1900,3.114631752509922e-08,1.349673794948103e-07
1901,4.191554126009578e-08,1.5760244309603877e-07
1902,3.780918689244572e-08,1.4190720776241506e-07
1903,4.050165358648883e-08,1.468859949227408e-07
1904,2.6335662539622717e-08,1.3705293611110392e-07
1905,3.612531429553201e-08,1.4346909438245348e-07
1906,5.452835694086389e-08,1.3323437997314613e-07
1907,4.6285588695127444e-08,1.4862817465655098e-07
1908,4.174680867663483e-08,1.7042519573351456e-07
1909,5.721022944271681e-08,1.6447940254238347e-07
1910,3.954671612405036e-08,1.8490761988232407e-07
1911,3.8838731342139e-08,1.9046939314648625e-07
