year,ait_VERB eu_VERB,ait_VERB vu_VERB
1800,7.168694992287783e-06,1.3991532341606217e-06
1801,6.9173352130746935e-06,1.3191751122576534e-06
1802,8.550787242711522e-06,1.3785095234197797e-06
1803,7.360580184467835e-06,1.0902396070378018e-06
1804,1.0811875654326286e-05,1.6487246057295124e-06
1805,8.804392564343289e-06,1.026278823701432e-06
1806,7.581671525258571e-06,9.912942005030345e-07
1807,1.0436937373015098e-05,1.1160063877468929e-06
1808,9.567364031681791e-06,1.0990459031745559e-06
1809,9.293651601183228e-06,8.087329206318827e-07
1810,8.87142050487455e-06,1.1934646408917615e-06
1811,8.579217137594242e-06,8.097857744360226e-07
1812,9.951353604265023e-06,1.3282697182148695e-06
1813,9.596349627827294e-06,9.37491790864442e-07
1814,8.184507350961212e-06,9.628831776353763e-07
1815,8.304751645482611e-06,8.118643108900869e-07
1816,7.801054380252026e-06,1.1448963732618722e-06
1817,8.460049684799742e-06,1.3607074151877896e-06
1818,8.406814231420867e-06,1.3006005019633449e-06
1819,9.881112418952398e-06,1.2369504247544683e-06
1820,8.422828614129685e-06,1.3978715287521482e-06
1821,9.136669177678414e-06,1.3470793192027486e-06
1822,8.544832780899014e-06,1.2582147519424325e-06
1823,7.736167390248738e-06,1.183945869343006e-06
1824,8.135636562656146e-06,1.0492706223885762e-06
1825,8.215478374040686e-06,1.3437106645142194e-06
1826,7.460362667188747e-06,1.0983555966959102e-06
1827,9.523286280455068e-06,1.0304911484126933e-06
1828,9.241093721357174e-06,9.832706382439937e-07
1829,9.407345714862458e-06,1.1350884960847907e-06
1830,1.0187395673710853e-05,1.1668382740026573e-06
1831,9.518431397737004e-06,9.152037705462135e-07
1832,9.77134368440602e-06,1.1202814675925765e-06
1833,7.853700481064152e-06,9.591244634066243e-07
1834,8.939679901232012e-06,9.81992684501165e-07
1835,8.488053936162032e-06,9.907645335260895e-07
1836,8.428492947132327e-06,9.852619768935256e-07
1837,8.50950073072454e-06,9.817583759286208e-07
1838,9.004298590298276e-06,8.925396741688019e-07
1839,8.649153642181773e-06,8.445701951131923e-07
1840,8.313080797961447e-06,7.732801918791665e-07
1841,9.380421033711173e-06,8.969506097855628e-07
1842,8.332335710292682e-06,8.063334462349303e-07
1843,8.844417607178912e-06,9.374267619932652e-07
1844,8.237781912612263e-06,9.143943202616356e-07
1845,8.42056397232227e-06,8.543328817722795e-07
1846,8.502492164552677e-06,8.465609084851167e-07
1847,8.429608897131402e-06,7.124448302420205e-07
1848,8.62447723193327e-06,7.063704856591357e-07
1849,8.87380065250909e-06,7.231435006360698e-07
1850,8.547345714760013e-06,7.556152468168875e-07
1851,9.307829714089166e-06,7.636135705979541e-07
1852,9.215676982421428e-06,7.897291425251751e-07
1853,8.517169590049889e-06,9.668557368058828e-07
1854,7.781027306918986e-06,9.663935998105444e-07
1855,8.204524419852532e-06,8.740525458961201e-07
1856,8.459009222860914e-06,8.500944659317611e-07
1857,8.300517947645858e-06,9.23581524148176e-07
1858,8.307504685944878e-06,7.732008384664368e-07
1859,8.220804375014268e-06,7.938698445286718e-07
1860,7.855820513213985e-06,8.01922624305007e-07
1861,8.150600478984416e-06,7.875659662204271e-07
1862,8.036142389755696e-06,9.207656148646493e-07
1863,8.426924068771768e-06,9.67957475950243e-07
1864,8.583042472309899e-06,8.525026373717992e-07
1865,8.312757927342318e-06,7.9216192716558e-07
1866,8.398047611990478e-06,8.237482802542218e-07
1867,8.341982720594388e-06,8.118753385133459e-07
1868,8.068296665442176e-06,7.913678246040945e-07
1869,8.295145562442485e-06,7.129937671379594e-07
1870,8.36655090097338e-06,7.838444844310288e-07
1871,7.494302735722158e-06,8.613774866716994e-07
1872,8.566660653741565e-06,7.528937544520886e-07
1873,8.701255865162238e-06,7.284967296072864e-07
1874,8.23002392280614e-06,6.500374638562789e-07
1875,8.489029823977035e-06,7.643960202585731e-07
1876,8.442654689133633e-06,7.763082976453006e-07
1877,8.070566764217801e-06,8.139217584357539e-07
1878,8.413054274569731e-06,8.152769623848144e-07
1879,8.369164788746275e-06,8.736334962122783e-07
1880,7.870205081417225e-06,7.547387212980539e-07
1881,8.113210242299829e-06,8.178751613741042e-07
1882,8.176140909199603e-06,7.187816208897857e-07
1883,8.59619649418164e-06,7.172449727477215e-07
1884,7.81178823672235e-06,6.654510684711568e-07
1885,7.832091796444729e-06,7.418926770696999e-07
1886,7.824824933777563e-06,6.472824338743521e-07
1887,8.3237264334457e-06,6.319999101833673e-07
1888,8.231386345869396e-06,6.175758926474373e-07
1889,8.121496648527682e-06,7.724913757556351e-07
1890,7.900657692516688e-06,6.469179538726166e-07
1891,8.08633558335714e-06,6.476207659034117e-07
1892,7.98420387582155e-06,6.29985493105778e-07
1893,8.17652926343726e-06,6.977485895731661e-07
1894,8.180658369383309e-06,6.427570156120055e-07
1895,7.69359485275345e-06,5.940372602708521e-07
1896,7.833024028514046e-06,5.926514177190256e-07
1897,7.804300366842654e-06,6.455998686760722e-07
1898,8.244788659794722e-06,6.81265930779773e-07
1899,8.057550985540729e-06,6.577818112418754e-07
1900,7.57322732169996e-06,6.706840736114827e-07
