year,aient_VERB eu_VERB,aient_VERB vu_VERB
1800,1.7292904885835014e-06,7.860410988769218e-08
1801,1.4263283674154081e-06,2.0478169915350009e-07
1802,1.6403367908424116e-06,5.818384352096473e-08
1803,1.6948447409959044e-06,1.9503391968100914e-07
1804,1.3273839840621804e-06,1.6314216111368296e-07
1805,1.7682699535725988e-06,1.1371511021707192e-07
1806,1.685776396698202e-06,1.671368039524168e-07
1807,1.4889575368215446e-06,1.3095993267597805e-07
1808,1.5658571328458493e-06,1.4276265858370607e-07
1809,1.6061707128756098e-06,1.6716825257390155e-07
1810,1.4110964912106283e-06,1.3572734758326988e-07
1811,1.4290337730926694e-06,1.0279014617253779e-07
1812,1.6803411426735693e-06,2.9339290108509886e-07
1813,1.6794331259006867e-06,2.3005932803243923e-07
1814,1.5922186094030621e-06,9.44003133440674e-08
1815,2.0121287889196537e-06,1.1328339155625144e-07
1816,1.5018073327155435e-06,1.5296186006708012e-07
1817,1.7795063058656524e-06,1.9927979622025305e-07
1818,1.633201350159652e-06,1.7166495069886878e-07
1819,1.928400706674438e-06,1.7182742340082768e-07
1820,1.561628891977307e-06,1.6731738128328288e-07
1821,1.9308793071104446e-06,2.2484192641059053e-07
1822,1.6191369240914355e-06,1.7043547018147365e-07
1823,1.298585061704216e-06,1.5713472123479733e-07
1824,1.5292740727090859e-06,1.364220310051678e-07
1825,1.6369318700526492e-06,2.086890020791543e-07
1826,1.4709333981954842e-06,1.8937166146315576e-07
1827,1.6286921891150996e-06,1.7236300209333422e-07
1828,1.709716912046133e-06,1.990389364436851e-07
1829,1.7334962194581749e-06,2.4090624606287747e-07
1830,1.974649421754293e-06,1.9412514973282669e-07
1831,1.7165917824968346e-06,1.5279381671007286e-07
1832,1.6168313550224411e-06,1.7588959622116818e-07
1833,1.4583788470190484e-06,2.2008893552083464e-07
1834,1.7511580381324166e-06,2.2309528446839977e-07
1835,1.5723659316790872e-06,1.4445498663917533e-07
1836,1.5256102869898314e-06,1.7137912777798192e-07
1837,1.723469608805317e-06,1.5794412888681109e-07
1838,1.6329562413375243e-06,1.5275432474481931e-07
1839,1.6548822259210283e-06,1.9016812302652397e-07
1840,1.546560383758333e-06,1.5860524626987171e-07
1841,1.8401292436465155e-06,1.861959049165307e-07
1842,1.6750537952248123e-06,1.885022413716797e-07
1843,1.8606770026963204e-06,2.002442869297738e-07
1844,1.6624852605673368e-06,1.51484286448067e-07
1845,1.6629079482299858e-06,1.4620196964187926e-07
1846,1.8359716023041983e-06,1.533879299131513e-07
1847,1.5386866607514094e-06,1.623360361691084e-07
1848,1.6380071201638202e-06,1.3918233321419393e-07
1849,1.6767208990131621e-06,1.3155681699572597e-07
1850,1.7176159872178687e-06,1.3917441776811756e-07
1851,1.6555709407839458e-06,1.5801124675363099e-07
1852,1.7265966789636877e-06,2.298222483432255e-07
1853,1.7324574628219125e-06,1.594505789626055e-07
1854,1.6407908560722717e-06,1.5535036368419242e-07
1855,1.5406038755827467e-06,1.995408354105166e-07
1856,1.5697237358835991e-06,2.0864072780568677e-07
1857,1.6118742678372655e-06,1.8500919907182833e-07
1858,1.6095300452434458e-06,2.0993870464280917e-07
1859,1.4522878473144374e-06,2.1743579736721586e-07
1860,1.5837056253076298e-06,1.70728952753052e-07
1861,1.624649485165719e-06,1.6835990379604482e-07
1862,1.5826506114535732e-06,1.7846045352598594e-07
1863,1.808552156035148e-06,1.428461615660126e-07
1864,1.6028775462473277e-06,1.361702715030333e-07
1865,1.6031511904657236e-06,2.4240247853413166e-07
1866,1.6489561858179513e-06,1.7224269299731532e-07
1867,1.5038863239169586e-06,1.4849602791855432e-07
1868,1.6375682889702148e-06,2.050047669399646e-07
1869,1.5920272744551767e-06,1.797135098513536e-07
1870,1.6623007468297146e-06,1.6800763091850968e-07
