year,eurent_VERB ôté_VERB,eurent_VERB voté_VERB
1800,3.144164395507687e-08,0.0
1801,1.6668277424969347e-08,7.143547975374531e-09
1802,1.3427040812530322e-08,0.0
1803,9.751696339321825e-09,3.900678446910888e-09
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,1.7081731584767113e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,2.8081521108447305e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,1.4305412854298538e-08,1.1921176934492905e-08
1819,7.24573512300708e-09,5.175524897538253e-09
1820,3.5599443393152796e-09,0.0
1821,9.86148829262845e-10,0.0
1822,2.0051231786055723e-09,7.017931125119503e-09
1823,1.1859224713361982e-08,0.0
1824,7.57900142644985e-09,0.0
1825,7.044354433105582e-09,1.0566531649658373e-08
1826,2.290075862276808e-08,3.5231937367541377e-09
1827,8.295545583791863e-09,1.8434546111834038e-09
1828,1.4675682002973645e-08,0.0
1829,1.2002446148073886e-08,0.0
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,0.0,0.0
1832,1.0823975493678972e-08,1.3529969367098715e-09
1833,3.4750886612755494e-09,5.791814139399776e-09
1834,5.600718555598405e-09,6.534171426153534e-09
1835,7.563087933704082e-09,2.2689263801112247e-09
1836,1.5457725766054864e-08,8.736974699274924e-09
1837,1.87863058442872e-08,3.478945576063097e-09
1838,1.0730675015224733e-08,0.0
1839,7.690622361167243e-09,1.5381244722334486e-08
1840,9.554533164646273e-09,6.369688665408546e-10
1841,1.219904177673925e-08,1.2841097074556274e-09
1842,8.049918065466954e-09,6.708265054555795e-10
1843,2.3627644285539873e-09,1.0041748765843295e-08
1844,7.1351298203126134e-09,3.841992946007622e-09
1845,7.254296274794569e-09,6.138250796539069e-09
1846,1.1709002656346001e-09,4.0981511517657054e-09
1847,2.1572894581822766e-09,1.6179670936367074e-09
1848,5.63165514222419e-09,8.045221711050488e-10
1849,7.54147322368226e-09,5.865590679832167e-09
1850,5.431196825611551e-09,6.1100964288129944e-09
1851,7.094382858952031e-09,0.0
1852,5.859490670445666e-09,4.557382027314816e-09
1853,2.388772735173461e-09,9.555090940693844e-09
1854,7.27393034694046e-09,3.63696517347023e-09
1855,4.776243400783642e-09,3.1841622671890946e-09
1856,1.1389816201301528e-08,3.1063134287023786e-09
