year,veulent_VERB ôter_VERB,veulent_VERB oter_VERB,veulent_VERB voter_VERB
1800,9.432493897065797e-09,0.0,0.0
1801,5.000483582762172e-08,0.0,0.0
1802,2.2378401354217203e-09,0.0,0.0
1803,9.751696339321825e-09,0.0,0.0
1804,3.213406074564773e-08,0.0,0.0
1805,0.0,0.0,0.0
1806,2.305335300434308e-08,0.0,0.0
1807,1.1387820464392462e-08,0.0,0.0
1808,9.064295980465431e-09,0.0,0.0
1809,1.129515236897305e-08,0.0,0.0
1810,4.680253518074551e-09,0.0,4.680253518074551e-09
1811,1.7549536934780008e-08,0.0,0.0
1812,5.3344164641089264e-09,0.0,0.0
1813,0.0,0.0,0.0
1814,3.1466771410748606e-09,0.0,0.0
1815,2.697223555614414e-09,0.0,0.0
1816,6.952811659743929e-09,2.3176038865813098e-09,0.0
1817,1.2454987263765815e-08,0.0,0.0
1818,5.960588467246453e-09,0.0,5.960588467246453e-09
1819,3.3123360054787554e-08,0.0,2.070210003424222e-09
1820,2.4919611263385377e-08,0.0,5.933240565525466e-09
1821,2.9584464655840748e-08,9.86148829262845e-10,0.0
1822,5.012807946513931e-09,0.0,2.0051231786055723e-09
1823,3.162459805139406e-08,0.0,0.0
1824,2.5263338088166165e-09,0.0,0.0
1825,1.1447076175841175e-08,0.0,8.805443041381977e-10
1826,2.1139161532346407e-08,0.0,8.807984341885344e-10
1827,1.1060727445055818e-08,0.0,9.217273055917019e-10
1828,7.337841001486822e-09,0.0,9.172301140836225e-09
1829,2.1432940755516938e-08,0.0,0.0
1830,5.218417697960831e-09,0.0,7.305785310052215e-09
1831,1.5591206103948707e-09,0.0,1.091384405071949e-08
1832,1.3529969367098715e-09,0.0,2.705993873419743e-09
1833,1.1583628278799551e-08,1.1583628500844156e-09,3.4750886612755494e-09
1834,9.334531370086552e-09,0.0,7.467624740797874e-09
1835,2.7227116561334697e-08,0.0,0.0
1836,1.68018754465038e-08,0.0,1.3441500135158435e-09
1837,1.461157062010443e-08,0.0,0.0
1838,1.009945904684173e-08,0.0,8.2058102535143e-09
1839,6.9914751765765e-10,0.0,1.3982950353153e-09
1840,7.0066574764382494e-09,0.0,0.0
1841,1.0272877659645019e-08,0.0,5.1364388298225094e-09
1842,5.366612043644636e-09,0.0,0.0
1843,7.678984559333912e-09,0.0,8.860366662588604e-09
1844,1.1525978393933656e-08,5.488561272137815e-10,1.097712254427563e-09
1845,8.37034175305007e-09,0.0,5.022205318283568e-09
1846,1.6978054517835517e-08,5.854501328173001e-10,2.9272506640865004e-09
1847,1.294373674909366e-08,0.0,6.47186837454683e-09
1848,1.6090443422100975e-09,0.0,2.252662056889676e-08
1849,1.6758828991214614e-08,0.0,5.53041381579078e-08
1850,1.3577992064028876e-08,0.0,2.5798184921654865e-08
1851,1.2898877521649865e-09,0.0,1.3543821175687754e-08
1852,7.161600201754936e-09,0.0,3.2552727180501506e-09
1853,8.957897534855874e-09,1.1943863675867306e-09,5.971931837933653e-09
1854,8.313063126763609e-09,5.195664454227256e-10,4.1565315633818045e-09
1855,2.3350523292720027e-08,0.0,0.0
1856,2.7439103433835044e-08,0.0,6.73034605824796e-09
1857,2.245494101771328e-08,0.0,7.810414537345878e-09
1858,1.0766087576996597e-08,0.0,1.468102750479261e-09
1859,3.5645213447565993e-09,0.0,0.0
1860,1.1442959468865865e-08,0.0,9.154367819341758e-10
1861,1.226150558863992e-08,0.0,1.0375120318428799e-08
1862,1.445755604123633e-08,9.035972525772706e-10,1.671654992208005e-08
1863,1.2486552236623538e-08,0.0,1.048870412745373e-08
1864,1.726102105692462e-08,0.0,8.63051052846231e-09
1865,1.4120533187167439e-08,0.0,4.706844247692743e-09
1866,9.731225603104576e-09,0.0,0.0
1867,4.85281148598915e-09,4.85281148598915e-10,5.82337378318698e-09
1868,3.951899252285784e-09,0.0,3.951899252285784e-09
1869,1.1720445947105418e-08,0.0,5.371870948067681e-09
1870,1.7202146374017957e-09,0.0,5.734048791339319e-09
1871,1.3807530230280918e-08,0.0,9.559059321873065e-09
1872,9.071008832961525e-09,0.0,1.269941218851045e-08
1873,1.1972008939764578e-09,0.0,5.9860045809045914e-09
1874,7.766991494406739e-09,0.0,4.779687312606029e-09
1875,4.577221712764867e-09,5.721527140956084e-10,1.602027666081085e-08
1876,3.02300739996042e-09,6.04601479992084e-10,6.650616057868319e-09
1877,8.040260901509555e-09,0.0,8.040260901509555e-09
1878,2.4156354694326865e-09,0.0,7.850815109122777e-09
1879,3.665595160740054e-09,1.832797580370027e-09,2.443730107160036e-09
1880,3.8507077526617195e-09,0.0,8.343199908722454e-09
1881,8.367009307619355e-09,0.0,8.367009307619355e-09
1882,1.9966155395678697e-09,0.0,3.3276925659464496e-09
1883,1.8958017378167824e-09,0.0,3.159669414998234e-09
1884,5.281357573494461e-09,0.0,7.2618666635548834e-09
1885,5.156508553483263e-09,0.0,7.7347630522695e-09
1886,5.808117542471791e-09,0.0,9.680196200179125e-09
1887,6.528924512139156e-09,0.0,1.697520346510828e-08
1888,8.242799331981132e-09,0.0,1.3949351895803375e-08
1889,0.0,0.0,1.50363277384713e-08
1890,1.3108772956016423e-09,0.0,9.176140736144589e-09
1891,1.7210394887001712e-08,0.0,7.649063604731055e-09
1892,4.387958441043338e-09,0.0,9.402768341715273e-09
