year,tout_ADV eu_VERB,tout_ADV vu_VERB
1800,2.829748035892976e-08,6.4140954236791e-07
1801,7.381665767525192e-08,6.572063853127474e-07
1802,6.265952379180817e-08,4.788977889802482e-07
1803,3.90067853572873e-08,3.9201819390655146e-07
1804,4.9437020477327565e-08,4.053835596096178e-07
1805,8.24434520652062e-08,7.476768359993002e-07
1806,7.204172813857213e-08,5.676888008565584e-07
1807,9.394952016350544e-08,3.558693890681752e-07
1808,8.837688403318111e-08,5.234630862105405e-07
1809,9.262025146838937e-08,5.692756985808956e-07
1810,8.658469141664682e-08,2.8081521463718673e-07
1811,7.521230349638586e-08,5.665993398906721e-07
1812,7.468183138570339e-08,6.13457871168066e-07
1813,1.5241430517676235e-07,4.4286420575190277e-07
1814,9.440031245588898e-08,7.080023465277918e-07
1815,9.170560044680087e-08,5.475363877849304e-07
1816,8.111613780670268e-08,3.916750586085982e-07
1817,1.1987925141454525e-07,5.884981533199607e-07
1818,9.65615352122029e-08,5.459899057314033e-07
1819,1.0247539350416446e-07,5.227280439612514e-07
1820,1.079849791807419e-07,5.684044595000159e-07
1821,9.17118416765561e-08,5.97606174324028e-07
1822,9.524335098376469e-08,6.37629170796572e-07
1823,8.696764552951208e-08,5.178528112992353e-07
1824,1.1284290923896378e-07,5.827409950143192e-07
1825,1.0038205200402217e-07,6.137393597782648e-07
1826,9.336463513420767e-08,4.756311682285741e-07
1827,1.0231173064312316e-07,4.746895569951448e-07
1828,9.630916242286958e-08,4.356843135155941e-07
1829,9.773420917014164e-08,4.938149231747957e-07
1830,1.0541203909752994e-07,5.802880878036376e-07
1831,1.3252525299378703e-07,4.537041036201117e-07
1832,1.244757150686837e-07,4.7625491106373374e-07
1833,1.0656937909914177e-07,6.185657639434794e-07
1834,1.092140120562135e-07,5.99276859247766e-07
1835,1.3916081087472776e-07,5.127773761159915e-07
1836,1.1694104973258845e-07,5.54461905721837e-07
1837,1.1897993701381893e-07,4.933144737151451e-07
1838,1.2056229614643144e-07,4.1092172864409804e-07
1839,1.0557127616550588e-07,5.670086125064699e-07
1840,1.1146955358753985e-07,4.5161092998569075e-07
1841,1.1364370866573381e-07,5.219906142883701e-07
1842,1.495943084961482e-07,4.829950626117352e-07
1843,1.4885416543819474e-07,5.10357097027736e-07
1844,1.5367972050484013e-07,4.692719812737778e-07
1845,1.5289823895869858e-07,5.702992780243221e-07
1846,1.586569808864624e-07,4.783127565133327e-07
1847,1.5586416779456158e-07,4.95097935981903e-07
1848,1.198738033281188e-07,4.054791702401417e-07
1849,1.2904298873905873e-07,5.471757731356774e-07
1850,1.5614690607179682e-07,4.2091775753760885e-07
1851,1.896134946832717e-07,4.3211238676121866e-07
1852,1.5690415011704317e-07,4.0300275827576115e-07
1853,1.8453268779694554e-07,4.867124516749755e-07
1854,1.8600479201325015e-07,5.019011837248399e-07
1855,2.250141406534567e-07,5.816402790514985e-07
1856,2.0708756842680032e-07,5.565478318203532e-07
1857,2.0355893148860105e-07,5.643024678647635e-07
1858,1.575763679539932e-07,5.573896828536817e-07
1859,1.751707632280386e-07,6.441599111894902e-07
1860,1.6157458482268794e-07,5.414808583736885e-07
1861,1.9476930468442788e-07,6.465586466219975e-07
1862,1.6671369174048323e-07,6.135425110187498e-07
1863,2.002842993675813e-07,6.547948032675777e-07
1864,1.7117178341408135e-07,6.257120048758225e-07
1865,1.8921514310932253e-07,6.754321475455072e-07
1866,2.1797945670698482e-07,5.590589466919482e-07
1867,2.149795506056762e-07,6.163070338516263e-07
1868,1.60051925490734e-07,5.27578549736063e-07
1869,1.49435682494925e-07,6.197186053213954e-07
1870,1.3876398696766046e-07,4.891143703389389e-07
1871,1.5825554111614792e-07,4.344061608207994e-07
1872,1.2638938784448328e-07,6.035244837221398e-07
1873,1.4605850395810194e-07,5.153949587111128e-07
1874,1.6728905194440813e-07,4.994773235011962e-07
1875,1.447546420507706e-07,6.030489885233692e-07
1876,1.5961479427062386e-07,5.979508728159999e-07
1877,1.3853987823608804e-07,5.683845643034147e-07
1878,1.50977216506476e-07,4.5232775391923496e-07
1879,1.3623795247497128e-07,5.35787819444522e-07
1880,1.5723723478799911e-07,4.3063747057203727e-07
1881,1.9174395227139485e-07,4.357817147138121e-07
1882,1.7902985760542833e-07,5.324308176568593e-07
1883,1.819969668304111e-07,5.510463552127476e-07
1884,1.6636276622961077e-07,5.103111675452965e-07
1885,2.1270598349332204e-07,5.111389214107476e-07
1886,1.8456906758501646e-07,4.814284011445125e-07
1887,2.441817752441011e-07,5.373304929889855e-07
1888,1.864140664054048e-07,4.387705416775134e-07
1889,1.6602611996319183e-07,4.974518788003479e-07
1890,1.8548914226812485e-07,4.896126597486727e-07
1891,1.9441370646688938e-07,4.563941615742806e-07
1892,1.5545910869718682e-07,4.3440789454507467e-07
1893,1.8352081276873378e-07,4.803565047950542e-07
1894,1.512369420808568e-07,5.091643515697797e-07
1895,1.4745605447785692e-07,3.9482111446886847e-07
1896,1.9519166372106156e-07,4.835563913729857e-07
1897,1.613999600635907e-07,4.3758618062383903e-07
1898,1.7314565603498977e-07,3.7118809359526495e-07
1899,1.9014869856448513e-07,4.0019668290369736e-07
1900,1.5209785964032108e-07,4.521407390711829e-07
1901,1.4642495393957233e-07,3.7444550571308355e-07
1902,1.3797897135958692e-07,2.9707217663599295e-07
1903,1.5336625036610485e-07,3.564145458767598e-07
1904,1.429650371420621e-07,3.16565433422511e-07
1905,1.5224239469091572e-07,3.416422487134696e-07
1906,1.3580646651689676e-07,4.2336637307016645e-07
1907,1.4039962081824342e-07,3.857132639950578e-07
1908,1.5618217297230785e-07,4.0518960986446473e-07
1909,1.2872301802246966e-07,3.8781934108556015e-07
1910,1.106239206905002e-07,4.6814759002700157e-07
1911,1.0534340955103971e-07,4.165852942605852e-07
1912,1.0939784367280936e-07,3.7143172448850237e-07
1913,1.081809903880071e-07,4.152240933308349e-07
1914,1.1250529485806737e-07,4.044833303851192e-07
1915,1.2251992309586512e-07,3.404640267490322e-07
1916,1.27454559795126e-07,3.131426637992263e-07
1917,1.5352993898432032e-07,3.9040472188389685e-07
1918,1.3898515849319892e-07,4.6634687578261946e-07
1919,1.197020296217488e-07,3.176707821239688e-07
1920,1.1964126045427292e-07,4.0662885680831096e-07
1921,1.1889213347160421e-07,3.491036579816864e-07
1922,1.5050987833831186e-07,4.471028773878061e-07
1923,1.475616784318845e-07,4.246379319283733e-07
1924,1.2118126768712045e-07,4.2542359324215795e-07
1925,1.3747722338308677e-07,4.4432638901525934e-07
1926,1.1257600007752444e-07,4.436163010268501e-07
