year,pouvant_VERB ôter_VERB,pouvant_VERB voter_VERB
1800,9.432493897065797e-09,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,2.4718509461507665e-09,1.9774807569206132e-08
1805,3.695740957709859e-08,0.0
1806,2.0171682990621775e-08,5.76333825108577e-09
1807,1.4234775136401367e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,4.518061036407062e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,2.2563691359778204e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,3.4508900625951355e-08,0.0
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,3.0128852301913867e-08,0.0
1817,4.670620334934483e-09,1.556873407970727e-09
1818,8.344824387052086e-09,1.1921177378582115e-09
1819,1.0351049795076506e-08,3.1053151161586356e-09
1820,1.4239777357261119e-08,0.0
1821,8.875339574387908e-09,2.9584463767662328e-09
1822,7.017931125119503e-09,2.0051231786055723e-09
1823,1.9765373782121287e-09,0.0
1824,0.0,3.3684450784221553e-09
1825,1.3208164340028361e-08,9.68598712347557e-09
1826,7.0463874735082754e-09,1.7615968683770689e-09
1827,9.217273055917019e-10,1.8434546111834038e-09
1828,0.0,4.586150570418113e-09
1829,6.001223074036943e-09,0.0
1830,1.1480519646056564e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,3.3824925083081325e-08,1.3529969367098715e-09
1833,0.0,1.1583628500844156e-09
1834,1.6802156110884425e-08,1.8669061851994684e-09
1835,2.117664621437143e-08,6.050470346963266e-09
1836,6.72075017860152e-09,1.3441500135158435e-09
1837,4.174734336004349e-09,0.0
1838,6.943378316748294e-09,6.312161904276081e-10
1839,1.0487212875887053e-08,0.0
1840,2.5478754661634184e-09,7.0066574764382494e-09
1841,9.630822361827995e-09,1.2841097074556274e-09
1842,6.708265054555795e-09,0.0
1843,2.3627644285539873e-09,4.7255288571079745e-09
1844,4.9397050894128824e-09,0.0
1845,4.464182357111213e-09,5.022205318283568e-09
1846,4.6836010625384006e-09,0.0
1847,4.853901280910122e-09,5.9325460100012606e-09
1848,1.6090443422100975e-09,2.413566457803995e-09
1849,5.865590679832167e-09,1.6758829879393033e-09
1850,2.0366988096043315e-09,0.0
1851,5.159551008659946e-09,5.8044946626978344e-09
1852,0.0,1.3021090872200602e-09
1853,7.166318205520383e-09,0.0
1854,7.27393034694046e-09,1.558699391779328e-09
1855,9.021793090369101e-09,0.0
1856,8.28350277259915e-09,4.659470143053568e-09
1857,9.763018171682347e-10,9.763018171682347e-10
