year,avaient_VERB ôté_VERB,avaient_VERB oté_VERB,avaient_VERB voté_VERB
1800,4.4018303668735825e-08,0.0,8.489244152087849e-08
1801,1.3572740442668874e-07,0.0,1.976381582835529e-07
1802,1.7902721083373763e-08,0.0,7.608656460433849e-08
1803,4.095712213825209e-08,1.950339223455444e-09,8.386458461018265e-08
1804,1.1864884186252311e-07,2.4718509461507665e-09,6.673997887673977e-08
1805,6.822906328807221e-08,0.0,3.1271653710973624e-08
1806,5.4751712497136396e-08,0.0,5.4751712497136396e-08
1807,5.693910054560547e-08,0.0,2.6761378535411495e-07
1808,6.118399653587403e-08,0.0,4.5321478125970316e-08
1809,6.551188391767937e-08,0.0,2.25903047379461e-08
1810,7.254392642153107e-08,0.0,1.6380887757350138e-08
1811,5.264861258069686e-08,0.0,6.518399686683551e-08
1812,4.000812481308458e-08,2.6672082320544632e-09,7.734903562095496e-08
1813,4.3136125782439194e-08,2.8757416448144113e-09,5.176335093892703e-08
1814,2.5173417128598885e-08,0.0,1.7936059748535627e-07
1815,8.631115377966125e-08,0.0,3.37152954443809e-07
1816,6.025770460382773e-08,0.0,1.5527946573001827e-07
1817,5.1376822796100896e-08,0.0,1.8838167648027593e-07
1818,9.417730240102173e-08,0.0,1.096748292184202e-07
1819,9.315944993204539e-08,2.070210003424222e-09,1.500902300222151e-07
1820,1.4002448267547152e-07,2.3732962262101864e-09,1.7087732828713342e-07
1821,1.1735171057125626e-07,0.0,2.337172730904058e-07
1822,8.120748873352568e-08,0.0,1.4637399203820678e-07
1823,1.2452186126665765e-07,9.882686891060644e-10,2.431141012948501e-07
1824,7.831634718513669e-08,1.6842225392110777e-09,4.6989808311082015e-07
1825,1.1535130539641614e-07,1.7610886082763955e-09,2.94101795361712e-07
1826,1.0657660709512129e-07,0.0,1.559013185215008e-07
1827,1.0968555130830282e-07,1.8434546111834038e-09,3.806733843703114e-07
1828,7.429564163885516e-08,0.0,2.2380415032330347e-07
1829,1.2516836989107105e-07,0.0,1.997550072019294e-07
1830,9.393152566872232e-08,1.0436835840010872e-09,2.1395513272182143e-07
1831,7.795603096383275e-08,0.0,2.5413666548956826e-07
1832,5.682587200794842e-08,4.058990921151917e-09,4.1401705175303505e-07
1833,8.571885246055899e-08,0.0,3.1507468634117686e-07
1834,1.4375177670444828e-07,9.334530925997342e-10,3.369765693150839e-07
1835,1.2705987728622858e-07,0.0,2.0798492528228962e-07
1836,1.2567802798457706e-07,1.3441500135158435e-09,2.9840128945579636e-07
1837,1.14805203565993e-07,1.3915781860163179e-09,2.8805669671783107e-07
1838,1.04781889831429e-07,6.312161904276081e-10,2.2218810613594542e-07
1839,7.061390050466798e-08,0.0,2.3840929941343347e-07
1840,1.0828470919932442e-07,0.0,2.949165889276628e-07
1841,1.0208672307499e-07,0.0,2.439808497456397e-07
1842,7.647422251011449e-08,6.708265054555795e-10,3.46817301988267e-07
1843,7.856191786004274e-08,1.1813822142769936e-09,2.5281579496549966e-07
1844,1.0153838303494922e-07,5.488561272137815e-10,3.485236277356307e-07
1845,1.1272060618239266e-07,1.1160455892778032e-09,4.0121838651430153e-07
1846,8.957387365171599e-08,0.0,3.0033592679501453e-07
1847,1.0786447290911383e-07,1.0786447290911383e-09,3.176608629473776e-07
1848,8.447482713336285e-08,1.6090443422100975e-09,3.161772212934011e-07
1849,7.709061833338637e-08,8.379414939696517e-10,4.2483634388190694e-07
1850,7.060555873295016e-08,6.788996032014438e-10,3.9511957083959715e-07
1851,3.8696633453128015e-08,6.449438760824933e-10,3.4762476275318477e-07
1852,7.356916142953196e-08,1.3021090872200602e-09,2.806044960834697e-07
1853,9.137055911878633e-08,1.7915795513800958e-09,2.974022095258988e-07
1854,6.442623856628416e-08,1.0391328908454511e-09,2.1146354356460506e-07
1855,8.331890910540096e-08,5.306937111981824e-10,2.3934285309223924e-07
1856,1.0716781417841048e-07,0.0,2.2003054311880987e-07
1857,8.005675056210748e-08,9.763018171682347e-10,2.836156909324927e-07
1858,7.09583005686909e-08,1.468102750479261e-09,3.366849057329091e-07
1859,9.114990007219603e-08,1.5276520048956854e-09,2.6021007215604186e-07
1860,6.682688535875059e-08,4.577183909670879e-10,3.6983647078159265e-07
1861,6.272231445336729e-08,0.0,4.150048198425793e-07
1862,6.776979688538631e-08,1.8071945051545413e-09,3.1309645009969245e-07
1863,7.342092800399769e-08,9.989241656072068e-10,2.816966286900424e-07
1864,6.041356925834407e-08,9.589455896019672e-10,2.7473791419652116e-07
1865,6.165966226490127e-08,1.882737743486018e-09,2.9041228799542296e-07
1866,5.498142741089396e-08,4.865612912574591e-10,3.7319250623113476e-07
1867,5.483676801532056e-08,4.85281148598915e-10,3.003890185482305e-07
1868,3.951899429921468e-08,4.93987406535723e-10,3.3640543506407994e-07
1869,5.9578933786497146e-08,4.883519144627257e-10,3.833562516319944e-07
1870,5.3326655091723296e-08,0.0,3.3314822189822735e-07
1871,3.611200227737754e-08,1.0621177271019633e-09,5.576118269345898e-07
1872,7.438227100919903e-08,6.047339295989218e-10,4.1968533537328767e-07
1873,3.292302608315367e-08,5.986004469882289e-10,3.100750234352745e-07
1874,2.8080663128093875e-08,5.974609140757536e-10,2.682599529180152e-07
1875,3.833423178889461e-08,5.721527140956084e-10,3.0781816917624383e-07
1876,5.3204928462946555e-08,0.0,3.2346179068554193e-07
1877,5.690030846494665e-08,0.0,2.1152071383312432e-07
1878,3.5026715750063886e-08,0.0,3.8589777773267997e-07
1879,7.758843167948726e-08,1.221865053580018e-09,2.9935694101368426e-07
1880,5.711883233061599e-08,0.0,3.35653368210842e-07
1881,2.8587281875047665e-08,0.0,3.256160994169477e-07
1882,4.592215674392719e-08,0.0,2.575634141521732e-07
1883,3.5388296737437486e-08,6.319338941018771e-10,2.812105890370731e-07
1884,2.442627788923346e-08,1.3203393933736152e-09,3.010373745837569e-07
1885,4.18966337178972e-08,1.2891271383708158e-09,3.5579910218075383e-07
1886,4.7755634113855194e-08,6.453463874400711e-10,3.336440954626596e-07
1887,3.4603299781110763e-08,0.0,2.722561589507677e-07
1888,2.6630582183884144e-08,6.340614699951175e-10,2.85961732515716e-07
1889,3.57112810434046e-08,6.265136742733546e-10,2.9696747105845134e-07
1890,2.6217545467943637e-08,0.0,3.6573476336343447e-07
1891,2.995883363610119e-08,1.2748440081367107e-09,2.613430183373566e-07
1892,2.6954603882245465e-08,6.268512375839919e-10,2.7644139777294185e-07
1893,2.894455697344256e-08,0.0,4.052238011809095e-07
1894,2.3945849747519787e-08,1.8904617871129403e-09,2.690757412437961e-07
1895,2.046328972937772e-08,3.0093072478365457e-09,3.6773735700990073e-07
1896,2.8305738197786923e-08,5.89702897624278e-10,3.402585662115598e-07
1897,2.5637540090883704e-08,0.0,3.6650027368523297e-07
1898,2.2633418694795182e-08,1.13167097914868e-09,3.157362016281695e-07
1899,1.9346524382513053e-08,0.0,2.8743409075104864e-07
1900,2.3359739032002835e-08,5.191053142894475e-10,3.706412030624051e-07
1901,1.900171220370339e-08,5.588738916095792e-10,3.420308303248021e-07
1902,1.8659077838378835e-08,4.910283846193408e-10,2.509154910512734e-07
1903,2.5381035939631147e-08,5.400220270956879e-10,3.3427363632654306e-07
1904,2.364835083312755e-08,5.374625189347171e-10,3.2086512646856136e-07
1905,5.676835002077496e-09,0.0,3.56608438778494e-07
1906,1.5432553013283723e-08,0.0,3.477468624168978e-07
1907,2.1599941391059474e-08,0.0,2.7514212774804037e-07
1908,2.2592390180875555e-08,2.4556945366072114e-09,2.858428445051686e-07
1909,2.3654228797909127e-08,1.1001967115120692e-09,2.722986778280756e-07
