year,aurait_VERB eu_VERB,aurait_VERB vu_VERB
1800,3.53718496626243e-06,5.093546633361257e-07
1801,2.471667585268733e-06,4.381375902084983e-07
1802,2.9651382646989077e-06,4.0057338424048794e-07
1803,2.5939511942851823e-06,4.076208881542698e-07
1804,4.884377631242387e-06,5.80885000545095e-07
1805,2.948064093288849e-06,4.3780318037534016e-07
1806,2.6972422801918583e-06,5.359904662327608e-07
1807,5.3892858886683825e-06,6.747283691765915e-07
1808,4.2171636778221e-06,4.894719722869922e-07
1809,3.969116733060218e-06,4.992457434127573e-07
1810,5.131897978571942e-06,7.347998121076671e-07
1811,4.926405836158665e-06,5.114436589792604e-07
1812,5.355754183256067e-06,7.494855367440323e-07
1813,5.9154003793082666e-06,1.055397206073394e-06
1814,4.4399612306733616e-06,8.842162628752703e-07
1815,5.09775236423593e-06,1.0276421562593896e-06
1816,4.4822459130955394e-06,9.571704140398651e-07
1817,5.403907380241435e-06,8.734060088499973e-07
1818,5.50519962416729e-06,1.1348961379553657e-06
1819,5.575075647357153e-06,1.0454560879225028e-06
1820,5.8976411310140975e-06,1.2139410046074772e-06
1821,7.275806183315581e-06,1.0453177310409956e-06
1822,6.234930424398044e-06,1.138909965447965e-06
1823,5.98890846958966e-06,8.805474180917372e-07
1824,6.224886419659015e-06,8.404270488426846e-07
1825,6.570621735590976e-06,1.2133900781918783e-06
1826,5.636229161609663e-06,1.026130121317692e-06
1827,8.250381142715923e-06,1.2332711776252836e-06
1828,8.260574759333394e-06,1.1327791753501515e-06
1829,8.75321256899042e-06,1.2182483715150738e-06
1830,7.963305506564211e-06,1.1198725360372919e-06
1831,8.020116183615755e-06,1.280038077311474e-06
1832,8.709241228643805e-06,1.0309836397937033e-06
1833,7.476073733414523e-06,1.2823077213397482e-06
1834,7.4246859185223e-06,1.2088217999917106e-06
1835,7.616785751451971e-06,1.0800089285112335e-06
1836,7.358549282798776e-06,1.0034079878096236e-06
1837,7.2487309807911515e-06,1.0541205028857803e-06
1838,7.16051636118209e-06,8.748656341595051e-07
1839,7.069779712765012e-06,1.0277468618369312e-06
1840,7.965933036757633e-06,1.0841209814316244e-06
1841,8.280581823782995e-06,1.2115575600546435e-06
1842,8.053943020058796e-06,1.2497497436925187e-06
1843,7.586836545669939e-06,1.1996936564173666e-06
1844,7.66806897445349e-06,1.0406312185295974e-06
1845,7.73810188547941e-06,9.960706393030705e-07
1846,7.709207238804083e-06,1.195489176097908e-06
1847,8.27913754619658e-06,1.147677949120407e-06
1848,7.916498361737467e-06,1.1432259725552285e-06
1849,8.578845154261217e-06,1.155521317741659e-06
1850,7.881345482019242e-06,1.1154320418427233e-06
1851,8.248187441495247e-06,1.0996293440257432e-06
1852,7.470850960089592e-06,9.92207105809939e-07
1853,7.129292043828173e-06,1.1884144441864919e-06
1854,7.1861236392578576e-06,9.10799997200229e-07
1855,7.843122148187831e-06,1.0624488595567527e-06
1856,7.891071618360002e-06,9.463901733397506e-07
1857,8.0046984294313e-06,1.1984104730800027e-06
1858,7.648815881111659e-06,1.104502644011518e-06
1859,7.919857125671115e-06,1.030655880640552e-06
1860,7.5230595939501654e-06,1.2124960449000355e-06
1861,7.613923571625492e-06,9.639429663366172e-07
1862,7.51566994949826e-06,1.135821776188095e-06
1863,7.112339972081827e-06,1.245158955498482e-06
1864,7.369496870524017e-06,1.2010793852823554e-06
1865,7.443403774232138e-06,1.1334080909364275e-06
1866,7.872561582189519e-06,1.2733308949464117e-06
1867,7.799438208166976e-06,1.153513267126982e-06
1868,7.29224211681867e-06,1.133701061917236e-06
1869,7.920579264464322e-06,1.1241861557209631e-06
1870,7.660115443286486e-06,1.0258213478664402e-06
1871,7.939330316730775e-06,9.686514204076957e-07
1872,7.604528946103528e-06,1.1749980330932885e-06
1873,7.910504791652784e-06,1.0625158211041708e-06
1874,7.687529432587326e-06,1.0222556738881394e-06
1875,7.534679298260016e-06,1.3806045444653137e-06
1876,7.784849003655836e-06,1.2188766049803235e-06
1877,7.122433999029454e-06,1.0483263395144604e-06
1878,7.70164933783235e-06,1.0749578223112621e-06
1879,7.68553127272753e-06,1.111286223931529e-06
1880,6.998019671300426e-06,1.1346752444296726e-06
