year,eut_VERB ôté_VERB,eut_VERB oté_VERB,eut_VERB voté_VERB
1800,3.144164395507687e-08,0.0,9.432493897065797e-09
1801,1.904946067554647e-08,0.0,0.0
1802,7.832440473976021e-08,0.0,0.0
1803,8.581492494386112e-08,0.0,1.950339223455444e-09
1804,8.157108055684148e-08,2.4718509461507665e-09,2.4718509461507665e-09
1805,6.254330742194725e-08,0.0,0.0
1806,4.3225035994964855e-08,0.0,0.0
1807,8.540865792383556e-09,0.0,8.540865792383556e-09
1808,5.211970233176544e-08,0.0,0.0
1809,3.6144488291256494e-08,4.518061036407062e-09,0.0
1810,3.510190182964834e-08,0.0,1.6380887757350138e-08
1811,6.769107585569145e-08,0.0,7.521229861140455e-09
1812,1.1468995353425271e-07,0.0,0.0
1813,5.176335093892703e-08,0.0,0.0
1814,2.8320094713762956e-08,3.1466771410748606e-09,3.1466771410748606e-09
1815,7.012781111370714e-08,0.0,0.0
1816,1.622322720606917e-08,0.0,1.3905623319487859e-08
1817,2.0239355080775567e-08,1.556873407970727e-09,0.0
1818,2.6226590676969863e-08,0.0,0.0
1819,3.519356894798875e-08,0.0,2.173720581311045e-08
1820,3.559944161679596e-08,0.0,1.898636980968149e-08
1821,7.100271659510327e-08,0.0,2.9584463767662328e-09
1822,7.21844344298006e-08,1.0025615893027862e-09,1.7043547018147365e-08
1823,5.435477845594505e-08,0.0,4.249555374258307e-08
1824,2.5263338088166165e-08,0.0,8.421112696055388e-10
1825,1.2767893053933221e-07,1.7610886082763955e-09,7.924898959288385e-09
1826,2.7304752237000685e-08,0.0,4.403992281964975e-09
1827,4.055600300034712e-08,9.217273055917019e-10,2.3964910056406552e-08
1828,6.420610532131832e-08,0.0,2.7516904310687096e-09
1829,3.8579290873030914e-08,0.0,0.0
1830,3.965997663613052e-08,0.0,1.0436835840010872e-09
1831,1.7150327380477393e-08,0.0,1.5591206548037917e-08
1832,2.570694235259907e-08,1.3529969367098715e-09,4.058990921151917e-09
1833,7.761030929032131e-08,0.0,4.170106393530659e-08
1834,3.547121707470069e-08,0.0,1.5868701908061666e-08
1835,3.100866052818674e-08,0.0,2.193295500774184e-08
1836,6.51912728244497e-08,0.0,1.3441500135158435e-09
1837,5.287997240088771e-08,1.3915781860163179e-09,1.1132625488130543e-08
1838,5.680945847075236e-08,1.8936485712828244e-09,6.943378316748294e-09
1839,4.61437359433603e-08,1.3982950353153e-09,4.894032734625853e-09
1840,5.350538501147639e-08,6.369688665408546e-10,1.2739377552861697e-08
1841,4.8154113585496816e-08,6.420548537278137e-10,1.1556987367100646e-08
1842,6.507016792056675e-08,0.0,1.6770663080478698e-08
1843,5.729703644874462e-08,5.906911071384968e-10,6.497602011990011e-09
1844,3.1833653935109396e-08,0.0,1.2074834465636286e-08
1845,3.1807299905040054e-08,2.2320911785556063e-09,1.0044410636567136e-08
1846,2.751615646445771e-08,2.9272506640865004e-09,7.610851504580296e-09
1847,2.9123407685460734e-08,0.0,8.629157832729106e-09
1848,9.65426583121598e-09,0.0,8.04522137798358e-09
1849,1.1731181359664333e-08,2.513824481908955e-09,1.0893239199560867e-08
1850,4.073397619208663e-08,0.0,5.431196825611551e-09
1851,1.870337307252612e-08,6.449438760824933e-10,2.0638204034639784e-08
1852,2.799534470909748e-08,0.0,2.6042181744401205e-09
1853,2.8068079416243563e-08,0.0,1.4332636411040767e-08
1854,3.16935526711859e-08,0.0,4.1565315633818045e-09
1855,1.4328730202350926e-08,0.0,1.539011762474729e-08
1856,2.329735160344626e-08,4.659470143053568e-09,4.141751386299575e-09
1857,3.905207179855097e-08,1.4644527812635033e-09,1.7085282522089074e-08
1858,3.572383633354548e-08,4.893676019968041e-10,1.2234189661342043e-08
1859,4.0228169240208445e-08,0.0,1.171199848215565e-08
