year,peut_VERB ôter_VERB,peut_VERB oter_VERB,peut_VERB voter_VERB
1800,2.7354229814591235e-07,9.432493897065797e-09,8.489244152087849e-08
1801,2.333558910549982e-07,0.0,4.524246932646747e-08
1802,3.8043282302169246e-07,4.475680270843441e-09,7.832440473976021e-08
1803,2.2428901047533145e-07,1.950339223455444e-09,7.801356893821776e-09
1804,3.9549615848955e-07,9.887403784603066e-09,3.9549615138412264e-08
1805,3.2693094453861704e-07,5.685755422035754e-09,1.421438877713399e-08
1806,3.7749865100522584e-07,5.76333825108577e-09,5.76333825108577e-09
1807,2.619198653519561e-07,2.8469551160981155e-09,1.4234775136401367e-08
1808,3.2404858529844205e-07,6.798221985349073e-09,2.039466551195801e-08
1809,2.3042110797177884e-07,0.0,6.7770917766551975e-09
1810,2.7145469516653975e-07,0.0,7.020380277111826e-09
1811,1.9555199060050654e-07,2.5070767684098882e-09,3.760615285841595e-08
1812,2.053750307595692e-07,5.3344164641089264e-09,1.0668832928217853e-08
1813,4.02603831162196e-07,0.0,8.627225156487839e-09
1814,1.8250727862323401e-07,0.0,2.8320094713762956e-08
1815,1.4834729711310501e-07,5.394447111228828e-09,8.091670622434322e-08
1816,3.939926500606816e-07,0.0,3.244645441213834e-08
1817,3.331709024223528e-07,4.670620334934483e-09,5.4490570278176165e-08
1818,3.4094566103703983e-07,3.5763532135746345e-09,1.1682753608965868e-07
1819,2.4428479150628846e-07,1.035105001712111e-09,1.3145833577254962e-07
1820,3.666742713903659e-07,0.0,1.4358441546846734e-07
1821,3.0767844805268396e-07,9.86148829262845e-10,1.5383922402634198e-07
1822,2.3560197348615475e-07,0.0,1.0025615893027862e-07
1823,3.8740131458325777e-07,2.9648061783404955e-09,4.743689885344793e-08
1824,2.6779139261634555e-07,0.0,7.242157096243318e-08
1825,2.9057960659883975e-07,4.4027217427355936e-09,2.8177417732422327e-08
1826,2.71285927055942e-07,7.92718590769681e-09,4.932471142637951e-08
1827,3.198393869752181e-07,9.217273055917019e-10,3.041700225026034e-08
1828,2.1738354405442806e-07,1.8344602503717056e-09,7.33784091266898e-08
1829,2.8291481157793896e-07,8.57317605795771e-10,4.9724420136953995e-08
1830,3.0893033908796497e-07,1.0436835840010872e-09,8.662573947049168e-08
1831,2.3386809289149824e-07,1.5591206103948707e-09,7.795603096383275e-08
1832,1.826545883432118e-07,4.058990921151917e-09,6.629684889958298e-08
1833,1.586957125709887e-07,1.1583628500844156e-09,5.79181431703546e-08
1834,2.184280276651407e-07,2.8003592777992026e-09,6.067445212920575e-08
1835,2.064722934846941e-07,3.025235173481633e-09,6.504255622985511e-08
1836,3.19235624601788e-07,5.376600220596828e-09,5.645430078971003e-08
1837,2.2891461526342027e-07,1.3915781860163179e-09,3.896418832027848e-08
