year,devaient_VERB ôter_VERB,devaient_VERB voter_VERB
1800,6.288328968651058e-09,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,1.421438877713399e-08
1806,0.0,0.0
1807,0.0,1.1387820464392462e-08
1808,6.798221985349073e-09,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,0.0,7.521229861140455e-09
1812,2.6672082320544632e-09,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,1.8880564667256294e-08,2.697223555614414e-09
1816,0.0,1.1588019432906549e-08
1817,3.113746815941454e-09,1.2454987263765815e-08
1818,0.0,2.384235475716423e-09
1819,2.070210003424222e-09,5.175524897538253e-09
1820,8.306536791735653e-09,8.306536791735653e-09
1821,5.9168927535324656e-09,6.903041693817613e-09
1822,0.0,8.02049271442229e-09
1823,6.917880934764753e-09,1.680056804787e-08
1824,8.421112696055388e-10,2.0210670470532932e-08
1825,3.522177216552791e-09,1.584979791857677e-08
1826,9.688783109140786e-09,1.145037931138404e-08
1827,7.373818444733615e-09,2.3964910056406552e-08
1828,2.7516904310687096e-09,4.586150570418113e-09
1829,0.0,1.457439946506156e-08
1830,2.0873671680021744e-09,9.39315203396518e-09
1831,0.0,6.236482441579483e-09
1832,1.3529969367098715e-09,4.329590197471589e-08
1833,9.266902800675325e-09,4.6334514003376626e-09
1834,9.334530925997342e-10,9.334531370086552e-09
1835,0.0,3.025235173481633e-09
1836,4.032449929525228e-09,9.409050427677812e-09
1837,2.5048407792382932e-08,9.045257876039159e-09
1838,1.4517972601879592e-08,1.5149188570262595e-08
1839,4.194885327990505e-09,1.3283802502428443e-08
1840,4.458782232319436e-09,9.554533164646273e-09
1841,4.494383976094696e-09,1.4125206782011901e-08
1842,8.049918065466954e-09,6.708265054555795e-09
1843,5.31621990873532e-09,1.4767278067040479e-08
1844,3.2931368743049916e-09,1.0977122322231025e-08
1845,3.9061593959388574e-09,2.6785095030845696e-08
1846,5.854501328173001e-10,2.517435504501009e-08
1847,9.707802561820245e-09,1.5101026207275936e-08
1848,8.045221711050488e-10,2.574470947536156e-08
1849,1.0893239199560867e-08,3.603148357456121e-08
1850,2.7155984128057753e-09,3.93761752093269e-08
1851,3.2247193804124663e-09,3.1602251482354404e-08
1852,5.208436348880241e-09,1.2370036550635177e-08
1853,1.0749477752369785e-08,1.3735443005202796e-08
1854,4.676098175337984e-09,1.2989160858012383e-08
1855,1.0613874223963649e-09,3.237231638308913e-08
1856,4.504154560436291e-08,1.1389816201301528e-08
1857,1.513267733344037e-08,1.757343248698362e-08
1858,2.936205500958522e-09,4.893676130990343e-09
1859,3.5645213447565993e-09,1.476730293603623e-08
1860,4.57718396518203e-09,3.020941363729435e-08
1861,1.4147891747029462e-09,4.715963619617014e-09
1862,9.035972525772706e-10,1.0391368654438793e-08
1863,1.4983863039219614e-09,7.991393324857654e-09
1864,2.8768367688059016e-09,1.1986819536957682e-08
1865,5.177528628053096e-09,1.9298061815220535e-08
1866,4.379051787850585e-09,2.2868380966656332e-08
1867,7.279217228983725e-09,1.94112459439566e-08
1868,1.0867722721741302e-08,1.531360993567432e-08
1869,4.883519144627257e-10,2.7347706321734222e-08
1870,1.1468097582678638e-09,1.6055336615750093e-08
1871,7.434824311758348e-09,1.3807530230280918e-08
1872,4.23313739617015e-09,1.7537283625301825e-08
1873,1.7958012854535355e-09,1.97538145840781e-08
1874,3.5847653734322193e-09,1.9716210886144836e-08
1875,7.437985338754061e-09,2.345826111138649e-08
1876,1.1487427897804992e-08,1.874264654588842e-08
1877,0.0,2.4120781816350245e-08
1878,4.831270938865373e-09,1.8117265909722846e-08
1879,2.443730107160036e-09,1.710611030603104e-08
1880,3.8507077526617195e-09,1.7969970400599777e-08
1881,0.0,2.091752193678076e-08
1882,1.9966155395678697e-09,2.5290463057103807e-08
1883,6.319338941018771e-10,1.7062214752172622e-08
1884,4.621187876807653e-09,3.498899303622238e-08
1885,2.5782542767416317e-09,4.1252068427866107e-08
1886,5.162771099520569e-09,2.5813855941692054e-08
1887,1.9586774424595887e-09,3.133883907935342e-08
1888,1.268122939990235e-09,1.1413106904001324e-08
1889,4.385595886446936e-09,1.9421923624918236e-08
1890,1.3108772956016423e-09,2.1629475099871343e-08
1891,9.561330394092238e-09,9.561330394092238e-09
1892,7.522214851007902e-09,1.8805536683430546e-08
1893,2.463366621796581e-09,2.155445777418663e-08
1894,1.2603078580752936e-09,2.520615716150587e-08
1895,1.2037228991346183e-09,3.189865793729041e-08
1896,2.358811590497112e-09,1.533227589334274e-08
1897,1.1653427112179315e-09,1.2236098356765979e-08
1898,2.26334195829736e-09,2.772593887812036e-08
1899,0.0,1.492446166651007e-08
1900,2.07642125715779e-09,1.661137005726232e-08
1901,5.588738916095792e-10,1.2854099118442264e-08
1902,0.0,1.1293653123800595e-08
1903,1.0800440541913758e-09,2.2680925582108102e-08
1904,1.0749250378694342e-09,2.2573425795258117e-08
1905,1.0321518084666081e-09,1.0837593933388234e-08
1906,5.658602919567102e-09,2.36632491379396e-08
1907,3.0857059130084963e-09,1.5942815068115124e-08
1908,3.437972351250096e-09,1.7189861978295085e-08
1909,1.6502950117569526e-09,9.351672325408344e-09
1910,1.6032452032632705e-09,1.4963621453034648e-08
1911,3.7242617878519013e-09,3.1390207766435196e-08
1912,2.0837684910901544e-09,2.1879568379290504e-08
1913,0.0,2.0151361468379037e-08
1914,2.0090231700464756e-09,1.0714789944188396e-08
1915,0.0,1.0602685840410686e-08
1916,1.0987462051303964e-09,9.888715624128963e-09
1917,2.1932848870420685e-09,1.2063066989753679e-08
1918,0.0,8.040463406189247e-09
1919,9.207848372660976e-10,3.6831394822911534e-08
1920,0.0,1.2872794385998532e-08
1921,3.7863738810983705e-09,1.2873671018098776e-08
1922,2.2133805899215986e-09,1.4018077365562931e-08
1923,0.0,8.492758496458919e-09
1924,0.0,2.1915761649893284e-08
1925,0.0,9.898360353588487e-09
1926,1.1146138456652466e-09,1.0031524944054127e-08
1927,1.1149224876660924e-09,1.5608915049369898e-08
1928,0.0,1.1426041446327417e-08
1929,0.0,1.6710609784809094e-08
1930,0.0,1.7856125467119455e-08
1931,0.0,1.3686427990933225e-08
1932,1.0959536611565568e-09,1.753525857850491e-08
1933,2.2941324395731044e-09,5.735331320977366e-09
1934,0.0,5.990790086229936e-09
1935,1.196828414151696e-09,1.3165112555668657e-08
1936,3.6374143697059935e-09,4.849885826274658e-09
1937,0.0,1.7627565185307503e-08
1938,0.0,1.1668692678767911e-08
1939,0.0,1.5294050470515685e-08
1940,2.5357829169792012e-09,1.2678914806940611e-08
1941,0.0,1.4757512545315876e-08
1942,0.0,0.0
1943,0.0,1.4516175816936538e-08
1944,0.0,2.8918675454292497e-08
1945,6.535512131478072e-09,3.0499055725385915e-08
1946,0.0,1.8097434661967782e-08
1947,1.1920870957027319e-09,1.549713246618012e-08
1948,0.0,3.4790041070209554e-08
1949,0.0,1.7670615193310368e-08
1950,2.1270722960764488e-09,1.2762433776458693e-08
