year,petit_ADJ air_NOUN,petit_ADJ ver_NOUN
1800,3.5529058095562505e-07,9.432493541794429e-08
1801,3.119349116786907e-07,7.143547975374531e-09
1802,1.4769744893783354e-07,5.147032311469957e-08
1803,1.8138155155611457e-07,7.801356893821776e-09
1804,3.6583392670763715e-07,1.038177401824214e-07
1805,2.75759134638065e-07,4.5486043376286034e-08
1806,3.4580028795971884e-07,3.1698359492793315e-08
1807,2.8469551693888207e-07,4.270432896191778e-08
1808,2.01680592226694e-07,4.5321479902327155e-09
1809,1.6942729530455836e-07,4.066255088197579e-08
1810,4.7504573785772664e-07,9.360507036149102e-09
1811,3.685402987230191e-07,3.5099075645916855e-08
1812,3.040617286842462e-07,8.00162425207418e-09
1813,4.256097554389271e-07,3.450890040390675e-08
1814,2.454408161156607e-07,4.405347819869121e-08
1815,1.3755840200246894e-07,0.0
1816,1.9004352225238108e-07,6.721051448721482e-08
1817,2.2574664626517915e-07,4.514932749888345e-08
1818,2.8253191430849256e-07,2.2650237241350624e-08
1819,1.72862542058283e-07,2.2772310259711048e-08
1820,3.2395493576586887e-07,1.6613073583471305e-08
1821,3.885426451688545e-07,1.7750678149575094e-08
1822,4.541603857433074e-07,2.606660132187244e-08
1823,4.733807088541653e-07,4.3483822431689134e-08
1824,3.023179431238532e-07,2.105278085196005e-08
1825,3.96244928424494e-07,1.496925317034936e-08
1826,1.7263648999232828e-07,4.1397527184017235e-08
1827,1.5485018423078145e-07,1.566936447261469e-08
1828,1.8894940012614825e-07,2.201352222730435e-08
1829,1.997550072019294e-07,2.914879893012312e-08
1830,2.3065406651312514e-07,2.817945699007396e-08
1831,2.463410453401593e-07,3.430065276255334e-08
1832,3.0577731990888424e-07,5.411987746839486e-09
1833,3.0349107760230254e-07,1.1583628278799551e-08
1834,2.529657763261639e-07,3.9205030333278046e-08
1835,3.910116390670737e-07,3.932805725526123e-08
1836,2.2380098130270198e-07,2.4866775305554256e-08
1837,2.539630088449485e-07,1.948209416013924e-08
1838,1.944145822108112e-07,4.039783618736692e-08
1839,2.663751956788474e-07,6.082583503541628e-08
1840,2.2039122882233642e-07,1.0191502031187127e-08
1841,2.7544152203518024e-07,3.4028907691663335e-08
1842,4.534787194643286e-07,3.3541325716868187e-08
1843,3.177918017627235e-07,4.31204498774207e-08
1844,2.848563269708393e-07,5.9276462183177614e-08
1845,2.7454720452624315e-07,4.631589156645077e-08
1846,2.3418004957420635e-07,3.1614307616223414e-08
1847,1.623360361691084e-07,1.833696039454935e-08
1848,1.7860392631519062e-07,4.344419757273954e-08
1849,1.893747736403384e-07,2.3462361831150247e-08
1850,2.3489926093134272e-07,3.8018378667459274e-08
1851,1.683303452182372e-07,4.127640806927957e-08
1852,2.897192814543814e-07,1.0286661833447397e-07
1853,2.9441625315485e-07,3.404001147622182e-08
1854,2.8472240387600323e-07,4.260444957937537e-08
1855,4.410064775584033e-07,3.237231638308913e-08
1856,3.753462181066425e-07,2.174419400091665e-08
1857,3.7148285514376767e-07,4.3445431752164865e-08
1858,4.507075743731548e-07,2.495774775734816e-08
1859,3.966802921695489e-07,3.666364811749645e-08
1860,4.0004587731345964e-07,4.485640303641958e-08
1861,3.5605526704785007e-07,3.725611491534053e-08
1862,3.0767486691729573e-07,3.252950109278174e-08
1863,3.2864605259419477e-07,2.9468263607057565e-08
1864,3.332336007133563e-07,3.787834934598777e-08
1865,3.1818268553251983e-07,3.012380389577629e-08
1866,4.0579212168267986e-07,4.7683007764476315e-08
1867,4.67325747877112e-07,4.658699026549584e-08
1868,3.1960985324985813e-07,3.309715557175963e-08
1869,4.6002750764273515e-07,6.690421372468336e-08
1870,4.0826427039064583e-07,3.2110673231500186e-08
1871,3.1651109111408005e-07,2.973929724703339e-08
1872,4.317800232911395e-07,3.507456725060365e-08
1873,3.0229321623664873e-07,3.95076291681562e-08
1874,4.463032894364005e-07,2.5690820137924675e-08
1875,3.7704865007981425e-07,2.803548326824057e-08
1876,4.927501890961139e-07,3.3253081177520016e-08
1877,5.127212716615759e-07,5.6281824978299255e-08
1878,3.7744302971987054e-07,4.287752974896364e-08
1879,5.34565970156109e-07,3.054662645052275e-08
1880,4.0239896748062165e-07,6.289489395960857e-08
1881,4.176532115707232e-07,7.181682626367092e-08
1882,4.944951115248841e-07,4.326000402343766e-08
1883,4.278192591300467e-07,2.780509089639338e-08
1884,4.984281076758634e-07,2.77271263726675e-08
1885,4.350804090336169e-07,3.867381437316908e-08
1886,3.872078195854556e-07,4.90463251123785e-08
1887,4.563718221106683e-07,3.003305365512077e-08
1888,4.894954486189818e-07,3.4873381515865276e-08
1889,4.335474557137786e-07,3.2578710396080623e-08
1890,4.679831988596561e-07,2.8839301613459156e-08
1891,4.066752410381014e-07,4.5894385181100006e-08
1892,3.87394067047353e-07,5.3909206654267905e-08
1893,3.1777429398971435e-07,3.8182182082735494e-08
1894,4.26614207071907e-07,2.457600389860204e-08
1895,4.122750851820456e-07,4.9954500092042053e-08
1896,4.3107280589538277e-07,2.0639601139293973e-08
1897,3.8689378811795905e-07,2.7968224181051937e-08
1898,4.3173247377126245e-07,4.866185321361627e-08
1899,4.3778419467344065e-07,4.145683796252797e-08
1900,3.763513518606487e-07,2.2321529069557755e-08
1901,4.06301325028835e-07,1.7325090251318898e-08
1902,3.928226988136885e-07,1.8659078393490347e-08
1903,4.3039756292273523e-07,3.5101432205308924e-08
1904,3.568751196780795e-07,3.332267617395246e-08
1905,3.27192111626573e-07,2.6835947519732173e-08
1906,3.600929119329521e-07,3.035068790735451e-08
1907,4.253131464793114e-07,2.314279556880905e-08
1908,4.204148922326567e-07,3.094175005102784e-08
1909,4.2962682300640154e-07,2.0903738018329676e-08
1910,4.3661711401909997e-07,2.084218786446712e-08
1911,3.692339589633775e-07,2.3409645777405785e-08
1912,4.573871876800695e-07,3.0735585521135533e-08
1913,4.6613280346718966e-07,1.9090762859441668e-08
1914,3.6631189459512825e-07,2.611730104407073e-08
1915,4.3117589143548685e-07,2.2383447428886427e-08
1916,3.230313723179279e-07,3.0764893965695705e-08
1917,3.728584374584898e-07,2.5222776423028392e-08
1918,3.9742860735714203e-07,2.5270026959844927e-08
1919,4.649963329939055e-07,1.2890987832747669e-08
1920,4.5054778752273705e-07,1.741613298023026e-08
1921,4.657239571770333e-07,2.3475517085813635e-08
1922,5.016996169615595e-07,1.3280284205663406e-08
1923,5.881234983462491e-07,2.9724654737606215e-08
1924,5.504723503690911e-07,1.6759111876041288e-08
1925,6.092990361139528e-07,2.4195991654707427e-08
1926,6.409029538190225e-07,4.012609799985967e-08
1927,6.834474675088131e-07,2.118352704361115e-08
1928,5.107440301799215e-07,1.713906150335731e-08
1929,5.837572985001316e-07,2.0052731919406597e-08
1930,5.272809175949078e-07,1.3654684716257748e-08
1931,4.790250045516586e-07,2.0529642874578258e-08
1932,4.975629508408019e-07,4.383814644626227e-09
1933,4.680030087911291e-07,2.982372215853957e-08
1934,4.00184774207446e-07,1.3179738189705859e-08
1935,4.595821110342513e-07,1.795242621227544e-08
1936,4.4861442916044325e-07,3.758661470953939e-08
1937,4.1298866904071474e-07,1.3850229851897211e-08
1938,4.0710773419050383e-07,2.2040864244843306e-08
1939,3.93057092651361e-07,2.141167065872196e-08
1940,5.375860041567648e-07,7.607348528892999e-09
1941,4.810949008060561e-07,4.427253941230447e-08
1942,6.341502398754528e-07,1.8205270180260413e-08
1943,5.05162915942492e-07,4.3548528783077245e-08
1944,4.884042823505297e-07,1.6065930807940276e-08
1945,6.949427984181966e-07,2.178504132643866e-08
1946,5.763337185271666e-07,2.227376683094917e-08
1947,6.067723461455898e-07,4.649139806467417e-08
1948,5.490303465194302e-07,1.956939832403748e-08
1949,5.340452275959251e-07,1.7670614194109646e-08
1950,5.860084115738573e-07,2.6588403034821795e-08
1951,4.925567509417306e-07,2.2388944032059044e-08
1952,6.284703317760432e-07,2.1089607726842985e-08
1953,5.45155671716202e-07,2.26250382873161e-08
