year,tout_DET antre_NOUN,tout_DET ventre_NOUN
1800,5.345079623353399e-08,2.2009151834367913e-08
1801,5.000483449535409e-08,4.7623651688866175e-09
1802,7.161088433349505e-08,1.3427040812530322e-08
1803,6.241085515057421e-08,2.5354409016742352e-08
1804,5.9324420931261557e-08,3.460591457837836e-08
1805,5.4014676953428875e-08,0.0
1806,9.509508203109363e-08,2.881669125542885e-09
1807,9.394952105168386e-08,2.8469551160981155e-09
1808,7.931259293769699e-08,9.064295980465431e-09
1809,9.487928398499434e-08,2.259030518203531e-09
1810,1.3104709584155216e-07,9.360507036149102e-09
1811,1.1281845502253418e-07,1.2535383397960231e-08
1812,9.068507722531649e-08,0.0
1813,1.2365688917270745e-07,2.8757416448144113e-09
1814,7.237357380063258e-08,0.0
1815,1.1058616422587875e-07,0.0
1816,1.1819780176836048e-07,1.1588019432906549e-08
1817,9.185553295765203e-08,0.0
1818,1.1086694939876907e-07,1.5497530370112145e-08
1819,6.831692955788782e-08,1.9666995143552413e-08
1820,8.66253122566718e-08,1.1866481131050932e-09
1821,8.67810940885505e-08,6.903041693817613e-09
1822,7.920236555492011e-08,0.0
1823,7.609668595254249e-08,3.95307486744656e-09
1824,7.57900142644985e-08,1.0105335235266466e-08
1825,8.893497494000258e-08,8.805443263426582e-09
1826,7.046387195952519e-08,3.5231937367541377e-09
1827,7.097300414038443e-08,8.295545750325317e-09
1828,7.613009717077901e-08,2.7516904310687096e-09
1829,8.573175913628717e-08,8.57317605795771e-10
1830,7.30578506580315e-08,6.262101504006523e-09
1831,8.575163490398552e-08,1.5591206103948707e-09
1832,8.794479811058409e-08,0.0
1833,1.042526562855528e-07,1.0425265983826648e-08
1834,9.42787645730192e-08,2.7070139907436896e-08
1835,6.882410019670715e-08,3.025235173481633e-09
1836,8.199315110202221e-08,3.3603749782784575e-09
1837,8.697363695908678e-08,5.5663127440652715e-09
1838,6.690891440896962e-08,0.0
1839,6.571986688186371e-08,2.7965900706306e-09
1840,5.987507306626227e-08,1.2739377330817092e-09
1841,7.704658555596211e-08,3.852329122366882e-09
1842,8.04991833192048e-08,1.341653010911159e-09
1843,8.269675788596942e-08,1.1223130980120288e-08
1844,6.860701895483601e-08,2.7442805805577564e-09
1845,8.593550920865667e-08,1.0602432709561072e-08
1846,6.849766620575792e-08,2.9272506640865004e-09
1847,8.737022216820378e-08,7.550513103637968e-09
1848,6.918891010121442e-08,4.82713291560799e-09
1849,5.9493846293889874e-08,0.0
1850,7.535785506718184e-08,1.3577992064028876e-09
1851,9.029214242950445e-08,1.0319102017319892e-08
1852,7.552232506036205e-08,6.510545436100301e-09
1853,7.644073085621983e-08,1.015228412448721e-08
1854,7.429800030767097e-08,5.195664343204953e-09
1855,8.650307492530374e-08,8.491099379170919e-09
1856,7.765783571755946e-08,4.141751386299575e-09
1857,7.419894143545491e-08,4.881509085841174e-10
