year,pourrait_VERB ôter_VERB,pourrait_VERB oter_VERB,pourrait_VERB voter_VERB
1800,4.087413785214267e-08,0.0,1.8864987794131594e-08
1801,2.8574191901498125e-08,0.0,2.3811825400343878e-08
1802,1.3427040812530322e-08,0.0,0.0
1803,3.1205427575287104e-08,0.0,9.751696339321825e-09
1804,2.7190360185613827e-08,0.0,1.9774807569206132e-08
1805,2.842877711017877e-09,0.0,0.0
1806,5.76333825108577e-09,0.0,5.76333825108577e-09
1807,1.1387820464392462e-08,0.0,1.4234775136401367e-08
1808,1.3596443970698147e-08,0.0,0.0
1809,2.710836710662079e-08,0.0,2.0331274441787173e-08
1810,1.1700633351097167e-08,0.0,0.0
1811,7.521229861140455e-09,0.0,0.0
1812,1.0668832928217853e-08,0.0,2.6672082320544632e-09
1813,1.7254450312975678e-08,0.0,1.1502966579257645e-08
1814,0.0,0.0,3.1466771410748606e-09
1815,5.394447111228828e-09,0.0,8.091670444798638e-09
1816,0.0,0.0,2.3176038865813098e-09
1817,4.3592454090912724e-08,1.556873407970727e-09,3.580808893843823e-08
1818,2.8610825708597076e-08,1.1921177378582115e-09,1.5497530370112145e-08
1819,2.173720581311045e-08,5.175524897538253e-09,1.0351049795076506e-08
1820,3.322614716694261e-08,0.0,1.4239777357261119e-08
1821,4.043210211079895e-08,0.0,4.930744257336528e-09
1822,1.0025615893027862e-08,0.0,1.1028177482330648e-08
1823,1.8777104315859106e-08,0.0,7.906149512848515e-09
1824,2.105278085196005e-08,8.421112696055388e-10,8.421112696055388e-09
1825,2.905796137042671e-08,0.0,3.522177216552791e-09
1826,4.4039921931471326e-08,0.0,9.688783109140786e-09
1827,2.5808365222701468e-08,3.6869092223668076e-09,1.013900075008678e-08
1828,1.1923991571904935e-08,0.0,2.7516904310687096e-09
1829,3.8579290873030914e-08,1.714635211591542e-09,4.286587973467704e-09
1830,9.39315203396518e-09,0.0,6.262101504006523e-09
1831,1.7150327380477393e-08,1.5591206103948707e-09,1.870944643656003e-08
1832,2.1647950987357945e-08,0.0,2.705993829010822e-08
1833,9.266902800675325e-09,0.0,1.0425265983826648e-08
1834,3.9205030333278046e-08,0.0,1.0267983796552471e-08
