year,auraient_VERB eu_VERB,auraient_VERB vu_VERB
1800,7.48311151710368e-07,2.263798393187244e-07
1801,5.357661052585172e-07,2.214499801311831e-07
1802,7.541520972154103e-07,1.4545960880241182e-07
1803,8.327948535225005e-07,1.501761204281138e-07
1804,1.1815448033303255e-06,1.60670310833666e-07
1805,8.69920597779128e-07,1.3645812657614442e-07
1806,8.78909077073331e-07,2.305335300434308e-07
1807,1.412089773111802e-06,1.708173016368164e-07
1808,1.0355958011132316e-06,1.9261628381173068e-07
1809,1.04819014268287e-06,1.0391540428145163e-07
1810,1.4742798839506577e-06,1.6848912309797015e-07
1811,1.3262435913929949e-06,1.353821517113829e-07
1812,1.0028702490672003e-06,2.5871921138787e-07
1813,1.1761783298425144e-06,2.243078540686838e-07
1814,1.0037899755843682e-06,1.7936059748535627e-07
1815,1.2245394600540749e-06,2.6702514333010186e-07
1816,1.0753682317954372e-06,3.314173682156252e-07
1817,1.2813068224204471e-06,3.6275150705478154e-07
1818,1.3494773156708106e-06,2.6941862074636447e-07
1819,1.538166088721482e-06,2.2047736081276526e-07
1820,1.7253863688893034e-06,3.868472902013309e-07
1821,1.5640320043530664e-06,3.0471997547465435e-07
1822,1.4025836208020337e-06,2.4161732881111675e-07
1823,1.6434908047813224e-06,2.3817275973669894e-07
1824,1.5065370462252758e-06,2.0800148092803283e-07
1825,1.463464627704525e-06,2.3334423815413174e-07
1826,1.4039926554687554e-06,2.71285927055942e-07
1827,1.944844598256168e-06,2.3227528345159953e-07
1828,2.1995178940414917e-06,3.1185822990664747e-07
1829,1.9949779925809707e-06,3.334965583690064e-07
1830,1.8441888869347167e-06,2.3691617911936191e-07
1831,1.8023433767666575e-06,2.9311468097148463e-07
1832,1.692599198577227e-06,2.448924476539105e-07
1833,1.813996277633123e-06,2.942241508208099e-07
1834,1.6923504517762922e-06,3.1644060527469264e-07
1835,1.8121158973372076e-06,2.5790129143388185e-07
1836,1.6143242191901663e-06,2.7622283482742205e-07
1837,1.6128391280290089e-06,3.179756049576099e-07
1838,1.8463073274688213e-06,2.5059281938411004e-07
1839,1.6800514686110546e-06,2.6917180662167084e-07
1840,1.8351073549638386e-06,2.713487390337832e-07
1841,1.968540118468809e-06,2.7929385737479606e-07
1842,1.7421364191250177e-06,3.0053027444409963e-07
1843,1.9073415842285613e-06,2.179650238076647e-07
1844,1.7267013845412293e-06,2.6454864610059303e-07
1845,1.829198708946933e-06,2.5222630029020365e-07
1846,1.8236771666124696e-06,2.59939866964487e-07
1847,1.9458750557532767e-06,3.0094187764007074e-07
1848,1.955793322849786e-06,3.869751594720583e-07
1849,2.066363776975777e-06,3.360145512942836e-07
1850,2.0027537175337784e-06,2.437249690956378e-07
1851,1.917418103403179e-06,3.340809371366049e-07
1852,1.759149427016382e-06,2.6042181389129837e-07
1853,1.6834875395943527e-06,2.2872498561810062e-07
1854,1.7436649386581848e-06,2.566658281466516e-07
1855,1.777823968041048e-06,2.3456661324416928e-07
1856,1.7705987147564883e-06,2.355621120386786e-07
1857,1.7182911733470974e-06,3.1241657438840775e-07
1858,1.7034885786415543e-06,2.6230102889712725e-07
1859,1.709951789052866e-06,2.4493354544574686e-07
1860,1.7178170992337982e-06,2.7920822276428225e-07
1861,1.7519805624033324e-06,2.1882071621348587e-07
1862,1.661715373302286e-06,2.557180209805665e-07
1863,1.6871829302544938e-06,2.5172889195346215e-07
1864,1.559724978505983e-06,2.584358469448489e-07
1865,1.7796578504203353e-06,2.7864518870046595e-07
1866,1.8786131477099843e-06,2.719877727486164e-07
1867,1.621809587959433e-06,2.07700338705763e-07
1868,1.5975552969393902e-06,2.1735445443482604e-07
1869,1.7595319832253153e-06,2.456410186368885e-07
