year,aurait_VERB omis_VERB,aurait_VERB vomi_VERB
1800,4.7162465932615305e-08,0.0
1801,3.5717739876872656e-08,0.0
1802,3.5805442166747525e-08,0.0
1803,3.90067853572873e-08,9.751696339321825e-09
1804,1.2853624298259092e-07,1.9774807569206132e-08
1805,1.3361525930122298e-07,0.0
1806,4.610670600868616e-08,2.881669125542885e-09
1807,1.9643989901396708e-07,0.0
1808,2.1527702642742952e-07,0.0
1809,2.3042110797177884e-07,0.0
1810,2.0125089861267043e-07,0.0
1811,9.27618373225414e-08,0.0
1812,2.2671270016871858e-07,0.0
1813,1.1502966401621961e-07,0.0
1814,2.8320094713762956e-08,2.5173417128598885e-08
1815,7.821948599939788e-08,0.0
1816,7.879853569647821e-08,0.0
1817,4.981994905506326e-08,0.0
1818,4.410835785506606e-08,4.768470951432846e-09
1819,7.349245834120666e-08,0.0
1820,4.865257352548724e-08,0.0
1821,4.6348993976153e-08,0.0
1822,9.624591257306747e-08,0.0
1823,5.5343047478118024e-08,0.0
1824,7.326367779114662e-08,4.210556348027694e-09
1825,1.1799293986314296e-07,8.805443041381977e-10
1826,1.2595417331340286e-07,3.5231937367541377e-09
1827,1.8065854590076924e-07,0.0
1828,1.6785311629519128e-07,0.0
1829,1.4402935732960032e-07,0.0
1830,1.3463518655498774e-07,0.0
1831,1.4499821077151864e-07,1.5591206103948707e-09
1832,1.8400758960979147e-07,0.0
1833,2.0039676940086792e-07,0.0
1834,1.456186851100938e-07,0.0
1835,1.1117739262545001e-07,1.5126175867408165e-09
1836,1.1895727425326186e-07,6.720750067579218e-10
1837,7.444943150858307e-08,0.0
1838,1.2750567179864447e-07,0.0
1839,1.3913034990764572e-07,0.0
1840,1.4586586871701002e-07,0.0
1841,1.155698754473633e-07,6.420548537278137e-10
1842,1.5026513722204982e-07,6.708265054555795e-10
1843,1.1636614516419286e-07,5.906911071384968e-10
1844,9.714753446132818e-08,0.0
1845,1.2388106540583976e-07,5.580227946389016e-10
1846,1.2177362407328474e-07,0.0
1847,2.03324532321858e-07,2.6966118227278457e-09
1848,1.9791245620126574e-07,0.0
1849,1.4915359258793615e-07,6.703531951757213e-09
1850,1.3238542351245997e-07,0.0
1851,1.7348990866139502e-07,1.9348316282474798e-09
1852,1.7838894450505904e-07,3.2552727180501506e-09
1853,8.121827477225452e-08,0.0
1854,1.5586992674343492e-07,0.0
1855,9.552486801567284e-08,4.2455496895854594e-09
1856,1.2062851340033376e-07,1.5531567143511893e-09
1857,1.039761414745044e-07,5.369659827891837e-09
1858,1.409378711514364e-07,0.0
1859,9.726051075631403e-08,3.055304009791371e-09
1860,8.238931314963338e-08,0.0
1861,8.913171711810719e-08,9.431927461278633e-10
1862,1.2379283020891307e-07,0.0
1863,1.1787304998733816e-07,0.0
1864,9.54150891629979e-08,1.4384183844029508e-09
1865,8.84886759422443e-08,3.294791106611683e-09
1866,1.449952691245926e-07,1.4596839292835284e-09
1867,1.0190903765305848e-07,6.79393608038481e-09
1868,9.138766898786344e-08,9.87974813071446e-10
