year,petit_ADJ antre_NOUN,petit_ADJ ventre_NOUN
1800,1.2576657937302116e-08,1.5720821977538435e-08
1801,2.3811825844433088e-09,9.52473055981784e-09
1802,4.475680270843441e-09,1.3427040812530322e-08
1803,3.900678446910888e-09,5.851017803593095e-08
1804,0.0,3.9549615138412264e-08
1805,0.0,7.391481915419718e-08
1806,0.0,0.0
1807,0.0,1.9928686256776018e-08
1808,1.8128591960930862e-08,1.5862518409903714e-08
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,2.3401267590372754e-09,9.360507036149102e-09
1811,0.0,7.019814773912003e-08
1812,0.0,1.0668832928217853e-08
1813,0.0,2.8757416448144113e-08
1814,0.0,1.0069366851439554e-07
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,4.670620334934483e-09,2.490997452753163e-08
1818,3.5763532135746345e-09,3.2187177367859476e-08
1819,0.0,7.556266723440785e-08
1820,1.1866481131050932e-09,1.4358441546846734e-07
1821,2.465372084259343e-08,2.5639868894700157e-08
1822,4.010246357211145e-09,2.2056354964661296e-08
1823,6.917880934764753e-09,1.1068609495623605e-07
1824,0.0,1.4905369027928828e-07
1825,7.924898959288385e-09,8.277116303467835e-08
1826,0.0,2.1139161532346407e-08
1827,1.8434546111834038e-09,1.1982455028203276e-08
1828,8.255071293206129e-09,2.568244400480424e-08
1829,8.57317605795771e-10,4.029392641768936e-08
1830,1.0436835840010872e-09,2.817945699007396e-08
1831,1.5591206103948707e-09,2.6505050598757407e-08
1832,4.058990921151917e-09,1.3529969256076413e-08
1833,0.0,1.0425265317692833e-08
1834,1.213489042584115e-08,5.880754372356023e-08
1835,7.563087933704082e-09,4.764745398233572e-08
1836,3.36037508930076e-09,1.5457725055512128e-07
1837,1.3915781860163179e-09,1.1202204752702727e-07
1838,7.574594285131298e-09,1.1866864468856875e-07
1839,4.194885327990505e-09,3.0063343925412767e-08
1840,0.0,6.879263736436769e-08
1841,1.2841097074556274e-09,4.55858959469424e-08
1842,0.0,2.2137275124123335e-08
1843,5.906911071384968e-10,5.316219997553162e-08
1844,2.7442805805577564e-09,2.140538946093784e-08
1845,5.580227946389016e-10,3.627148004170522e-08
1846,1.1709002656346001e-09,1.4050803187615202e-08
1847,0.0,1.0247124926365814e-08
1848,0.0,5.148941895072312e-08
1849,0.0,1.1731181359664333e-08
1850,1.3577992064028876e-09,4.2091777174846357e-08
1851,0.0,1.9993260380601896e-08
1852,6.510545436100301e-10,4.492276417522589e-08
1853,5.971931837933653e-09,1.970737528722566e-08
1854,4.1565315633818045e-09,5.923057599943604e-08
1855,2.1227748447927297e-09,2.7596072982305486e-08
1856,1.5531567143511893e-09,2.3815070804289462e-08
1857,2.4407544874094356e-09,6.345961622855611e-08
1858,8.31924928945682e-09,2.6915218498402282e-08
1859,9.675129142294736e-09,3.208069188076479e-08
1860,1.373155145145688e-09,3.4328881071132855e-08
1861,4.715963730639317e-10,1.6034276129062164e-08
1862,4.066187830886747e-09,1.445755604123633e-08
1863,3.496234635136375e-09,2.3974180418662172e-08
1864,1.4384183844029508e-09,2.685047562067666e-08
1865,0.0,2.8241066374334878e-08
1866,4.865612912574591e-10,2.092213513549268e-08
1867,0.0,3.299911810472622e-08
1868,6.421836395986702e-09,1.9265508299781686e-08
1869,3.906815315701806e-09,3.90681549333749e-08
1870,3.4404292748035914e-09,3.4977698959437475e-08
1871,5.3105884134652115e-09,1.0621176826930423e-08
1872,0.0,3.62840353318461e-08
1873,1.1972008939764578e-09,2.573981916498269e-08
1874,0.0,6.094101223652615e-08
1875,0.0,2.0597497041308088e-08
1876,6.04601479992084e-10,4.413590914964516e-08
1877,1.2369631985365004e-09,2.1646856751544874e-08
1878,6.039088784604019e-09,2.3552445327368332e-08
1879,4.887460214320072e-09,5.131833169524924e-08
1880,1.9253538763308597e-09,3.914886193001621e-08
1881,2.7890030285249168e-09,2.1614773970668466e-08
1882,1.3976308999019693e-08,2.5290463057103807e-08
1883,0.0,4.92908434068795e-08
1884,2.6406787867472303e-09,3.1027976632458376e-08
1885,0.0,3.93183761104865e-08
1886,3.2267319927115068e-09,1.7424351739236954e-08
1887,6.528924623161458e-10,3.0685946228459215e-08
1888,4.4384300679212174e-09,6.721051448721482e-08
1889,0.0,2.0674951528576457e-08
1890,0.0,3.998175657216052e-08
1891,6.374220040683554e-10,2.6134301833735663e-08
1892,1.2537024751679837e-09,2.4447198043731078e-08
1893,0.0,3.387129021703572e-08
1894,0.0,2.5836311756677333e-08
1895,0.0,4.754705296150519e-08
1896,5.89702897624278e-10,4.009979548413867e-08
1897,0.0,1.806281169081103e-08
1898,1.6975064687230201e-09,3.734514397724098e-08
1899,5.527578395003729e-10,2.819064981451902e-08
1900,3.114631885736685e-09,1.764958135197503e-08
1901,5.588738916095792e-10,3.073806453812722e-08
1902,0.0,1.767702145771821e-08
1903,5.400220270956879e-10,1.3500550677392198e-08
1904,1.0749250378694342e-09,1.9886112312406112e-08
1905,1.0321518084666081e-09,1.9610883583709438e-08
1906,2.0576738091193647e-09,2.4692084821253957e-08
1907,4.114274698707732e-09,2.4171363577352167e-08
1908,1.4734167219643268e-09,4.272908427083166e-08
1909,0.0,3.3555998590895086e-08
1910,2.67207544979442e-09,5.611358133705835e-08
1911,2.128149656499545e-09,3.405039450399272e-08
1912,5.209421227725386e-10,3.542406606937831e-08
