year,avait_VERB eu_VERB,avait_VERB vu_VERB
1800,1.2391152267809957e-05,4.593624453264056e-06
1801,1.138919651566539e-05,4.533771516435081e-06
1802,7.617607934662374e-06,2.6473649086256046e-06
1803,1.0118359568878077e-05,3.3584840366529534e-06
1804,1.3528439922083635e-05,5.576495823333971e-06
1805,1.1561983228602912e-05,3.843570539174834e-06
1806,1.0907117939495947e-05,3.864318387059029e-06
1807,1.8698801795835607e-05,4.532352704700315e-06
1808,1.3834382116328925e-05,4.081199222127907e-06
1809,1.7141523130703717e-05,4.409627763379831e-06
1810,1.453920776839368e-05,4.570267719827825e-06
1811,2.3466238417313434e-05,5.460413376567885e-06
1812,2.3106025764718652e-05,6.425304491131101e-06
1813,2.3678856450715102e-05,7.169223863456864e-06
1814,1.9320597857586108e-05,6.220980594662251e-06
1815,1.9770648577832617e-05,5.8179111874778755e-06
1816,1.8334563719690777e-05,5.5460259318351746e-06
1817,2.0687733922386542e-05,6.7630580815603025e-06
1818,2.3510945538873784e-05,6.815337201260263e-06
1819,2.3209124265122227e-05,7.251945589814568e-06
1820,2.4361885152757168e-05,8.128539775498211e-06
1821,2.5530407583573833e-05,7.524315606133314e-06
1822,2.5793904569582082e-05,8.147818334691692e-06
1823,2.578294152044691e-05,7.340859610849293e-06
1824,2.5482286218903027e-05,8.017741492949426e-06
1825,2.6175059247179888e-05,8.95777702680789e-06
1826,2.7164704079041258e-05,8.583380804338958e-06
1827,2.9689757866435684e-05,8.090000847005285e-06
1828,2.8421292881830595e-05,7.77902823756449e-06
1829,3.514916534186341e-05,1.042155327013461e-05
1830,3.099426976405084e-05,9.474559192312881e-06
1831,2.8018956072628498e-05,8.55021698953351e-06
1832,2.9910703233326785e-05,9.603571925254073e-06
1833,2.7746265914174728e-05,9.554176358506083e-06
1834,2.833496910170652e-05,9.593097274773754e-06
1835,2.9176881071180105e-05,9.58697000896791e-06
1836,2.799259527819231e-05,9.28202825889457e-06
1837,2.9207138140918687e-05,9.224771929439157e-06
1838,3.0011173294042237e-05,1.0059692613140214e-05
1839,2.968230728583876e-05,9.581117410562001e-06
1840,3.34848155034706e-05,1.0829107850440778e-05
1841,2.7531312298378907e-05,9.761160072230268e-06
1842,3.311266846139915e-05,1.1367826118657831e-05
1843,2.855932507372927e-05,1.0390256647951901e-05
1844,3.128260505036451e-05,1.1118727343273349e-05
1845,3.197637852281332e-05,1.1553862350410782e-05
1846,3.0318120479932986e-05,1.1053884009015746e-05
1847,3.148024552501738e-05,1.0656470294634346e-05
1848,2.7911288270843215e-05,9.352570486953482e-06
1849,3.179652776452713e-05,1.0257242138322908e-05
1850,2.8255801225895993e-05,8.961475032265298e-06
1851,2.934817166533321e-05,9.761870387592353e-06
1852,2.822972419380676e-05,9.46958789427299e-06
1853,2.901283914980013e-05,1.0406090950709768e-05
1854,2.812153434206266e-05,9.661857802711893e-06
1855,3.123928399872966e-05,1.0925391507043969e-05
1856,2.9078200896037742e-05,9.734150808071718e-06
1857,2.884093191823922e-05,1.029754366754787e-05
1858,2.979318924190011e-05,1.053608411893947e-05
1859,3.131839548586868e-05,1.0868225217564031e-05
1860,3.206225665053353e-05,1.2001376489934046e-05
1861,2.8915459552081302e-05,1.0802858014358208e-05
1862,3.0668994440929964e-05,1.0908225704042707e-05
1863,2.8671620384557173e-05,1.0510180800338276e-05
1864,2.8052514608134516e-05,1.0098656275658868e-05
1865,2.97373717330629e-05,9.96909602690721e-06
1866,2.990746361319907e-05,1.0276660759700462e-05
1867,3.005491817020811e-05,9.946322279574815e-06
1868,2.825360934366472e-05,9.489992407907266e-06
1869,2.9599497793242335e-05,1.0051258868770674e-05
1870,3.0288965717772953e-05,1.0024264156527352e-05
1871,2.718065479712095e-05,8.781589713180438e-06
1872,2.882766602851916e-05,9.813017641135957e-06
1873,2.7530233637662604e-05,9.096332178160083e-06
1874,2.8935630325577222e-05,9.089770173886791e-06
1875,2.8183671020087786e-05,8.551966857339721e-06
1876,2.71206081379205e-05,8.673612683196552e-06
1877,2.6672018066165037e-05,8.88634349394124e-06
1878,2.8108937840443105e-05,8.841830094752368e-06
1879,2.8256239602342248e-05,8.730225999897812e-06
1880,2.6748941309051588e-05,8.608899406681303e-06
1881,2.6584777515381575e-05,8.460440767521504e-06
1882,2.6939002054859884e-05,8.846337550494354e-06
1883,2.6016086849267595e-05,8.352270015166141e-06
1884,2.7030648197978735e-05,8.66076607053401e-06
1885,2.6017163690994494e-05,7.850139809306711e-06
1886,2.609458169899881e-05,7.8519296948798e-06
1887,2.5163128157146275e-05,7.843196726753376e-06
1888,2.5867171643767506e-05,8.405118933296762e-06
1889,2.4682758521521464e-05,8.098942089418415e-06
1890,2.495844819350168e-05,7.574249138997402e-06
1891,2.3974078430910595e-05,7.047337476251414e-06
1892,2.399774530204013e-05,7.183715297287563e-06
1893,2.501179369573947e-05,7.3051137405855116e-06
1894,2.503160430933349e-05,7.365239071077667e-06
1895,2.4995908461278304e-05,7.37821937946137e-06
1896,2.4695578758837655e-05,7.595373517688131e-06
1897,2.355973447265569e-05,6.581855814147275e-06
1898,2.411986861261539e-05,7.366612408077344e-06
1899,2.3905671696411446e-05,7.43293458072003e-06
1900,2.3063848857418634e-05,7.196356818894856e-06
1901,2.3524678908870555e-05,6.64109848003136e-06
1902,1.994851845665835e-05,5.851094101672061e-06
1903,2.2519458070746623e-05,6.55694748274982e-06
1904,2.202628820668906e-05,6.405478416127153e-06
1905,2.1992058464093134e-05,6.602158919122303e-06
1906,2.25958301598439e-05,6.805756129324436e-06
1907,2.129600034095347e-05,6.459411451942287e-06
1908,2.1656769604305737e-05,6.438830951083219e-06
1909,2.2620593881583773e-05,6.999451670708368e-06
