year,doivent_VERB ôter_VERB,doivent_VERB voter_VERB
1800,1.2576657937302116e-08,1.2576657937302116e-08
1801,4.7623651688866175e-09,2.6193008650921e-08
1802,5.370816325012129e-08,6.713520406265161e-09
1803,7.801356893821776e-09,0.0
1804,2.7190360185613827e-08,1.9774807569206132e-08
1805,1.421438877713399e-08,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,0.0,2.2660739951163578e-09
1809,9.036122072814123e-09,2.259030518203531e-09
1810,0.0,2.3401267590372754e-09
1811,0.0,7.521229861140455e-09
1812,0.0,0.0
1813,1.7254450312975678e-08,8.627225156487839e-09
1814,9.440030979135372e-09,3.1466771410748606e-09
1815,3.776112933451259e-08,7.552225866902518e-08
1816,1.1588019432906549e-08,2.3176038865813098e-08
1817,1.2454987263765815e-08,1.8682481339737933e-08
1818,7.152706427149269e-09,2.384235386898581e-08
1819,1.0351049795076506e-08,6.210630232317271e-08
1820,2.3732962262101864e-09,3.20394981656591e-08
1821,1.1833785507064931e-08,3.35290586406245e-08
1822,2.5064039732569654e-08,3.5089655625597516e-08
1823,2.569498569471307e-08,2.4706716672540097e-08
1824,1.0947446504872005e-08,2.6947560627377243e-08
1825,1.7610886082763955e-09,7.044354433105582e-09
1826,2.3781558056157337e-08,1.145037931138404e-08
1827,8.295545583791863e-09,2.3964910056406552e-08
1828,1.4675682002973645e-08,2.8434133270138773e-08
1829,9.430493719264632e-09,2.1432940755516938e-08
1830,8.349468672008697e-09,1.878630406793036e-08
1831,1.5591206548037917e-08,5.456922025359745e-08
1832,5.411987746839486e-09,1.488296597074168e-08
1833,1.1583628500844156e-09,1.3900354645102198e-08
1834,1.120143711119681e-08,1.4935249481595747e-08
1835,2.949604294144592e-08,1.3613558280667348e-08
1836,1.8818100855355624e-08,2.2178475944656384e-08
1837,6.262101948095733e-09,1.1828414692161004e-08
1838,7.574594285131298e-09,2.4617431648721322e-08
1839,9.088918062616358e-09,1.957613093850341e-08
1840,1.7835128929277744e-08,2.993753511759678e-08
1841,8.988767952189392e-09,2.760835826620678e-08
1842,6.708265054555795e-09,3.152884531232303e-08
1843,7.088293507706567e-09,3.071593823733565e-08
1844,1.1525978393933656e-08,1.811225303072206e-08
1845,6.696273757711424e-09,4.1293688468613254e-08
1846,1.1709002656346001e-08,2.8101606375230404e-08
1847,8.089835468183537e-09,2.1572894581822766e-08
