year,grand_ADJ an_NOUN,grand_ADJ vent_NOUN
1800,1.2576658381391326e-08,5.43940442021551e-07
1801,2.1430642593855964e-08,4.190881286447734e-07
1802,1.7902721083373763e-08,6.198817175118165e-07
1803,5.851017670366332e-09,4.5052834707348666e-07
1804,9.887403784603066e-09,4.918983478319205e-07
1805,2.842877711017877e-09,2.786020123490829e-07
1806,8.645007376628655e-09,3.774986438997985e-07
1807,2.8469551160981155e-09,5.608501467690985e-07
1808,6.798221985349073e-09,4.03361184453388e-07
1809,6.7770915546105925e-09,4.359928915675937e-07
1810,4.680253518074551e-09,4.2122282017942325e-07
1811,2.5070767684098882e-09,5.139507202045479e-07
1812,2.6672082320544632e-09,2.5605197606637375e-07
1813,2.0130190847567064e-08,3.9685234298758587e-07
1814,6.293354282149721e-09,1.7306724764409864e-07
1815,2.697223555614414e-09,2.2386954867670283e-07
1816,1.3905623319487859e-08,4.658383829792001e-07
1817,7.784366928831332e-09,2.4442911694677605e-07
1818,1.549753059215675e-08,2.968373280509695e-07
1819,3.1053151161586356e-09,3.9230480197716133e-07
1820,5.933240565525466e-09,3.7023420063064805e-07
1821,7.88919063410276e-09,2.6428788491017485e-07
1822,4.010246357211145e-09,2.6267113639733e-07
1823,9.882686669016039e-09,4.4669744170278136e-07
1824,0.0,3.2589705245555933e-07
1825,7.044354433105582e-09,4.6756903193667654e-07
1826,3.5231936257318353e-09,3.118026374870908e-07
1827,7.373818333711313e-09,2.9587445149470426e-07
1828,7.337841112509125e-09,2.6874841313473397e-07
1829,1.714635211591542e-09,2.297611132462407e-07
1830,1.0436835840010872e-09,3.5485241345334373e-07
1831,1.5591206103948707e-09,6.376803491914274e-07
1832,1.3529969367098715e-09,3.5719118152144347e-07
1833,4.633451511359965e-09,3.336084907212822e-07
1834,4.667265685043276e-09,2.529657763261639e-07
1835,3.781543966852041e-09,4.552979078198405e-07
1836,1.881810018922181e-08,3.4208618265862967e-07
1837,6.957891152126194e-09,2.706619568471069e-07
1838,5.049729523420865e-09,3.6610537934578247e-07
1839,0.0,2.2582464298537275e-07
1840,1.2739377552861697e-08,2.8345114910788283e-07
1841,1.926164561183441e-09,3.4542552374006164e-07
1842,2.0124795163667386e-09,2.824179494709256e-07
1843,1.7720733769266417e-09,2.551785567295184e-07
