year,eut_VERB eu_VERB,eut_VERB vu_VERB
1800,3.961647223604814e-07,5.942470693298674e-07
1801,2.7383600809116615e-07,3.3812793276410957e-07
1802,3.110597788236191e-07,4.3637882640723547e-07
1803,2.6134546260436764e-07,3.393590191080875e-07
1804,3.0898135605639254e-07,6.179627121127851e-07
1805,1.648869130121966e-07,4.776034643327876e-07
1806,2.795219131712656e-07,4.870020688940713e-07
1807,2.5053205376934784e-07,4.868293217441533e-07
1808,2.923235342677799e-07,3.6257182500776253e-07
1809,3.2530039106859476e-07,3.637039185377944e-07
1810,2.2933242860290193e-07,5.335489277058514e-07
1811,2.7577843297876825e-07,6.016984457346553e-07
1812,2.2937990706850542e-07,3.947468201204174e-07
1813,2.933256553205865e-07,2.3581081620704936e-07
1814,2.73760917934851e-07,2.800542517888971e-07
1815,2.400528842372296e-07,3.0478625490104605e-07
1816,3.314173682156252e-07,3.5922860774917353e-07
1817,1.6814232139950036e-07,4.4993640813117963e-07
1818,2.193496584368404e-07,3.8863038298586616e-07
1819,2.794783426907088e-07,4.0679626067685604e-07
1820,7.618280619681173e-07,5.233118258729519e-07
1821,2.376618652988327e-07,4.053071620546689e-07
1822,2.526455205043021e-07,5.704575301024306e-07
1823,3.053750390336063e-07,6.285388849391893e-07
1824,7.309525926757487e-07,8.850589665598818e-07
1825,4.2706398062364315e-07,7.880871635279618e-07
1826,5.434526428871322e-07,3.62888954441587e-07
1827,1.9540618723112857e-07,4.4427255829759815e-07
1828,2.302247565921789e-07,3.127754837350949e-07
1829,2.1175745246182487e-07,4.5437832341121975e-07
1830,1.8995041273228708e-07,3.1936718869474134e-07
1831,2.2919073217053665e-07,2.2763160245631298e-07
1832,1.6371262745451531e-07,3.788391325088014e-07
1833,1.8649642186119308e-07,2.6989854973180627e-07
1834,1.698884659617761e-07,4.2845496750487655e-07
1835,1.973965879642492e-07,4.1370091707904066e-07
1836,4.1198197209268983e-07,4.590272340010415e-07
1837,3.9938294094099547e-07,4.1051555399462814e-07
1838,3.023525607659394e-07,6.444717541853606e-07
1839,3.083240471823956e-07,4.593399296481948e-07
1840,1.9172762222297024e-07,5.395126549956331e-07
1841,2.0995193494854902e-07,3.197433215973433e-07
1842,2.0661455835124798e-07,3.796878047523933e-07
1843,2.2150916834107193e-07,3.3137771993096976e-07
1844,1.8496452014460374e-07,4.335963410539989e-07
1845,1.7856729073173483e-07,4.213072202219337e-07
1846,1.7329324464299134e-07,3.9517883010375954e-07
1847,1.65032645327301e-07,3.888514186201064e-07
1848,1.97107937083274e-07,4.312238957027148e-07
1849,1.7177801225898293e-07,2.957933418201719e-07
1850,2.0638547937323892e-07,3.625323756750731e-07
1851,1.9090339264948852e-07,3.7213260384305613e-07
1852,1.490914911528307e-07,3.5091841255052714e-07
1853,1.8632427156717313e-07,4.35951022836889e-07
1854,2.909572174303321e-07,3.465508200406475e-07
1855,2.0272500478313304e-07,3.576875542421476e-07
1856,1.9310915888581803e-07,4.3643706248985836e-07
1857,2.499332651950681e-07,4.3201356447752914e-07
1858,1.903639912370636e-07,4.4434577262109087e-07
1859,1.9604867418365757e-07,3.9260655171347025e-07
1860,1.835450689213758e-07,4.224740735025989e-07
1861,1.650587364565581e-07,3.348334303154843e-07
1862,1.8297843951131654e-07,4.1881733636728313e-07
1863,1.6781926603925967e-07,3.381358339993312e-07
1864,2.1576275344159512e-07,4.3727919774028123e-07
1865,1.6426886872977775e-07,3.332445714931964e-07
1866,1.8051423467113636e-07,3.4351228350715246e-07
1867,1.7712761746224714e-07,3.421232008804509e-07
1868,1.783294578672212e-07,4.203832872917701e-07
1869,1.919222967217138e-07,3.4379974067633157e-07
1870,2.2420130108002922e-07,3.039045850528055e-07
1871,1.8268424639700243e-07,2.697778995752742e-07
1872,1.608592299362499e-07,2.539882473229227e-07
1873,2.1370036051848729e-07,2.603912037102418e-07
1874,1.8640780297118908e-07,2.5750566123861063e-07
1875,1.5219262650134624e-07,2.3000539783879503e-07
1876,1.6989301343528496e-07,3.295077988241246e-07
1877,1.7255636919344397e-07,2.7336886887496803e-07
1878,1.437303041029736e-07,1.998938330416422e-07
1879,1.7778135941171058e-07,2.2909969743523106e-07
1880,1.6622222176465584e-07,2.0216215546042804e-07
1881,1.624594290206005e-07,2.3427625706062827e-07
1882,1.6039477657159296e-07,2.18962171061321e-07
1883,1.7125408646734286e-07,2.4455840730297496e-07
1884,1.3797546216665069e-07,2.4096195261336106e-07
1885,1.3858117142717674e-07,1.6565283544878184e-07
1886,1.7811559871461213e-07,1.903771789102393e-07
1887,1.5995865965123812e-07,1.9586774158142362e-07
1888,1.5217474924611452e-07,2.3650493119475868e-07
