year,puissent_VERB ôter_VERB,puissent_VERB voter_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,1.1905912700171939e-08
1802,0.0,2.9091921760482364e-08
1803,1.950339267864365e-08,1.950339223455444e-09
1804,2.4718509461507665e-09,0.0
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,2.6672082320544632e-09,1.8670457180292033e-08
1813,8.627225156487839e-09,0.0
1814,2.2026739543434815e-08,0.0
1815,0.0,1.8880564667256294e-08
1816,2.0858434979231788e-08,2.3176038865813098e-09
1817,1.556873407970727e-09,0.0
1818,4.768470951432846e-09,4.768470951432846e-09
1819,1.035105001712111e-09,1.2421260464634543e-08
1820,7.119888678630559e-09,1.0679833017945839e-08
1821,9.86148829262845e-10,3.94459531705138e-09
1822,1.1028177482330648e-08,2.0051231786055723e-09
1823,2.9648061783404955e-09,3.9530747564242574e-09
1824,6.736890156844311e-09,8.421112696055388e-10
1825,1.7610886082763955e-09,1.7610886082763955e-09
1826,1.0569580766173203e-08,1.7615968683770689e-09
1827,2.7651818612639545e-09,9.217273166939322e-09
1828,8.255071293206129e-09,8.255071293206129e-09
1829,0.0,3.429270423183084e-09
1830,0.0,0.0
1831,4.677361609140007e-09,6.236482441579483e-09
1832,5.411987746839486e-09,9.470978667991403e-09
1833,1.1583628500844156e-09,4.6334514003376626e-09
1834,3.733812370398937e-09,8.401078055442213e-09
1835,9.832014313815307e-09,8.31939672707449e-09
1836,7.392825018825988e-09,1.8146025126952736e-08
1837,2.1569462660409044e-08,1.0436836284100082e-08
1838,1.8936485712828244e-09,1.009945904684173e-08
1839,8.38977065598101e-09,6.292327547896548e-09
1840,3.821813088222825e-09,8.917564464638872e-09
1841,6.420548537278137e-10,1.6693427085101575e-08
1842,1.341653010911159e-09,1.2074877098200432e-08
1843,1.7720733769266417e-09,1.0041748765843295e-08
1844,3.841992946007622e-09,1.097712254427563e-09
1845,7.812318791877715e-09,5.580227946389016e-10
1846,4.0981511517657054e-09,8.196302303531411e-09
1847,7.550513103637968e-09,1.941560512364049e-08
1848,4.82713291560799e-09,4.183515400768556e-08
1849,2.513824481908955e-09,4.1059134758825167e-08
1850,6.788996032014438e-10,2.5798184921654865e-08
1851,0.0,3.8696632564949596e-09
1852,7.812654523320361e-09,6.510545436100301e-10
1853,3.5831591027601917e-09,2.388772735173461e-09
1854,1.0391328908454511e-09,1.3508727469968562e-08
1855,1.0613874223963649e-09,4.2455496895854594e-09
1856,1.5531567143511893e-09,5.177189232874468e-10
1857,1.9526036343364694e-09,1.1715622250108026e-08
1858,6.361778659424999e-09,8.808616946964776e-09
1859,2.036869339860914e-09,7.638259802433822e-09
1860,9.154367819341758e-10,0.0
1861,1.4147891747029462e-09,2.8295783494058924e-09
1862,0.0,1.7168348520613108e-08
1863,3.496234635136375e-09,1.8480097452311384e-08
1864,0.0,3.3563094525845827e-09
1865,3.765475486972036e-09,1.4120533631256649e-09
