year,petit_ADJ an_NOUN,petit_ADJ vent_NOUN
1800,0.0,3.427139305678395e-07
1801,7.143547975374531e-09,3.1193491345504754e-07
1802,8.951360541686881e-09,2.9091921760482364e-07
1803,0.0,2.0283527213393882e-07
1804,2.4718509461507665e-09,2.0021992952479195e-07
1805,2.842877711017877e-09,1.0802935435094696e-07
1806,0.0,1.6425513749140919e-07
1807,0.0,2.562259737715067e-07
1808,2.2660739951163578e-09,1.6089125498552903e-07
1809,2.259030518203531e-09,1.0617443280125372e-07
1810,7.020380277111826e-09,1.263668423234776e-07
1811,7.521229861140455e-09,2.131015204298592e-07
1812,5.3344164641089264e-09,4.000812481308458e-08
1813,5.751483289628823e-09,4.601186631703058e-08
1814,0.0,6.387754671877133e-07
1815,8.091670444798638e-09,1.0788894022617512e-07
1816,2.3176038865813098e-09,1.0892738089296472e-07
1817,6.227493631882908e-09,2.80237220096069e-08
1818,2.384235475716423e-09,1.1444330016985305e-07
1819,4.140420006848444e-09,1.0868602373648173e-07
1820,0.0,1.2697134366135288e-07
1821,9.86148829262845e-10,1.2622705014564417e-07
1822,3.0076847679083585e-09,5.213320264374488e-08
1823,1.9765373782121287e-09,1.8480624608407936e-07
1824,8.421112696055388e-10,1.51580028528997e-07
1825,8.805443041381977e-10,1.364843740248034e-07
1826,0.0,6.517908246461701e-08
1827,9.217273055917019e-10,5.069500019772022e-08
1828,1.8344602503717056e-09,9.447470006307412e-08
1829,2.571952872898464e-09,1.517452195010094e-07
1830,3.1310507520032616e-09,6.992679857376061e-08
1831,0.0,1.1849316505774254e-07
1832,0.0,2.8683535036044816e-07
1833,2.3167257001688313e-09,1.633291617508803e-07
1834,0.0,7.841005955633307e-08
1835,3.025235173481633e-09,1.2705988439165594e-07
1836,1.3441500135158435e-09,1.1290859758261718e-07
1837,5.566312633042969e-09,1.0993467469688767e-07
1838,1.0099459268886335e-08,1.0162580821315714e-07
1839,3.4957376993105527e-09,1.845749437734412e-07
1840,6.369688665408546e-10,8.79017022503703e-08
1841,0.0,1.1685398249028367e-07
1842,1.341653010911159e-09,7.312009131510422e-08
1843,4.134837805480629e-09,1.0986854720451689e-07
1844,1.6465684371524958e-09,4.9397051782307244e-08
1845,3.9061593959388574e-09,8.481946345284541e-08
1846,2.9272506640865004e-09,6.557041842825129e-08
1847,2.6966118227278457e-09,5.608952768909603e-08
1848,8.045221711050488e-10,4.98803736093123e-08
1849,0.0,3.9383248662261394e-08
1850,2.0366988096043315e-09,5.363306954109248e-08
1851,6.449438760824933e-10,7.481349229010448e-08
1852,0.0,6.510545347282459e-08
1853,4.777545470346922e-09,6.5094056367343e-08
1854,1.0391328908454511e-09,7.221973757909339e-08
1855,5.306937111981824e-10,8.066544410212373e-08
1856,2.0708756931497874e-09,6.316170586551095e-08
1857,1.4644527812635033e-09,8.88434650847536e-08
1858,9.787352039936081e-10,1.2429937612523645e-07
1859,5.092173349652285e-10,6.976277600045933e-08
1860,2.288591982591015e-09,7.003091440083153e-08
1861,1.4147891747029462e-09,8.158617248454902e-08
1862,1.8071945051545413e-09,6.776979688538631e-08
1863,1.4983862484108101e-09,9.140156009834755e-08
1864,3.356309563606885e-09,6.137251906679353e-08
1865,4.706844358715045e-10,8.42525114119752e-08
1866,0.0,6.714545763841784e-08
1867,2.91168689159349e-09,6.890992665375961e-08
1868,2.9639244392143382e-09,7.60740629379697e-08
1869,4.883519144627257e-10,1.1134423516523384e-07
1870,1.1468097582678638e-09,7.110220767714281e-08
1871,2.1242354542039266e-09,8.603153389685758e-08
1872,0.0,6.349705994335153e-08
1873,5.986004469882289e-10,1.1552988610219472e-07
1874,5.974609140757536e-10,6.273339892004515e-08
1875,5.721527140956084e-10,7.094693427189824e-08
1876,1.813804439976252e-09,9.008562207313275e-08
1877,6.184815992682502e-10,6.370360239316142e-08
1878,3.019544336790858e-09,7.488470288308235e-08
1879,0.0,1.2951770145264163e-07
1880,2.5671385017744797e-09,1.4568510664503265e-07
1881,1.3945015142624584e-09,2.028999637193607e-07
1882,3.3276925659464496e-09,5.4574157193343353e-08
1883,3.159669414998234e-09,1.1438003610919623e-07
1884,6.601696966868076e-10,8.120087091612049e-08
1885,6.445635691854079e-10,6.639004412889449e-08
1886,1.2906927748801422e-09,5.420909587883216e-08
1887,6.528924623161458e-10,8.161155795605168e-08
1888,4.438430289965822e-09,1.11594815166427e-07
1889,1.8795409673089125e-09,6.70369633137824e-08
1890,2.6217545912032847e-09,7.013193786820082e-08
1891,6.374220040683554e-10,9.178877036220001e-08
1892,6.268512375839919e-10,6.895363924286357e-08
1893,1.2316833108982905e-09,6.589505829879272e-08
1894,1.8904617871129403e-09,8.192001077489408e-08
1895,1.8055843487019274e-09,6.259359253135699e-08
1896,5.89702897624278e-10,1.0201860334291268e-07
1897,0.0,5.4188436848789934e-08
1898,1.13167097914868e-09,7.751946307088531e-08
1899,5.527578395003729e-10,9.009952606220395e-08
1900,3.6337372000261325e-09,7.267474444461186e-08
1901,5.588738916095792e-10,1.0506828851397643e-07
1902,4.910283846193408e-10,9.28043640269216e-08
1903,5.400220270956879e-10,7.020286130199338e-08
1904,2.6873125946735854e-09,1.042677277851567e-07
1905,1.0321518084666081e-09,1.4914593293724465e-07
1906,2.572092261399206e-09,8.745113405650429e-08
1907,2.057137349353866e-09,5.96569824651283e-08
1908,9.822778146428846e-10,9.724550631418083e-08
1909,3.300590023513905e-09,1.0946957090807174e-07
1910,1.068830135508847e-09,1.0527976879171064e-07
1911,5.320374141248863e-10,9.736284534156425e-08
1912,1.0418842455450772e-09,7.76203782915097e-08
1913,1.590896969716482e-09,9.916590926195568e-08
1914,6.696743715117748e-10,8.973636766995696e-08
1915,2.3561523843085297e-09,4.1232666947443875e-08
1916,1.0987462051303964e-09,8.24059682713596e-08
1917,0.0,7.566833204464274e-08
1918,1.1486376294556067e-09,5.972916028440522e-08
1919,0.0,8.194984918441506e-08
1920,7.572231730534895e-10,1.2645627123220038e-07
1921,6.058197943303867e-09,8.330022105429435e-08
1922,0.0,8.779743154718744e-08
1923,1.0615948120573648e-09,1.0934426342146253e-07
1924,2.578324886925998e-09,9.539802192648494e-08
1925,3.299453377181294e-09,9.898359820681435e-08
