year,premier_ADJ an_NOUN,premier_ADJ camp_NOUN
1800,1.2576658381391326e-08,4.4018304556914245e-08
1801,5.238601819002042e-08,3.809892135109294e-08
1802,4.923248297927785e-08,2.0140561218795483e-08
1803,1.755305234496518e-08,1.5602714031892617e-07
1804,5.6852570651244605e-08,5.6852570651244605e-08
1805,1.1371510844071508e-08,1.1371511021707192e-07
1806,8.645007376628655e-09,1.7290014042714574e-07
1807,8.540865348294346e-09,5.97860605466849e-08
1808,1.8128591960930862e-08,6.118399653587403e-08
1809,2.2590304959990704e-08,6.09938268780752e-08
1810,2.574139479349924e-08,1.1700633706368535e-07
1811,7.521229861140455e-09,9.27618373225414e-08
1812,2.1337665856435706e-08,1.4936365744233626e-07
1813,4.026038169513413e-08,5.176335093892703e-08
1814,1.5733386149463513e-08,3.4613449884091096e-08
1815,4.315557688983063e-08,5.394447111228828e-09
1816,1.3905623319487859e-08,4.1716869958463576e-08
1817,7.784366928831332e-09,4.3592454090912724e-08
1818,1.3113295338484932e-08,6.675859332005984e-08
1819,1.3456364911235141e-08,5.072014630513877e-08
1820,7.238553223487543e-08,5.458581142647745e-08
1821,1.577838115718322e-08,4.043210288795507e-08
1822,2.8071724500478012e-08,6.316138012607553e-08
1823,4.249555285440465e-08,1.8777104315859106e-08
1824,7.242157096243318e-08,1.2631669044083083e-08
1825,1.1447076175841175e-08,4.226612659863349e-08
1826,1.1362299801032094e-07,4.315912249808207e-08
1827,4.7929820112813104e-08,8.848581956044654e-08
1828,3.0268594741755805e-08,1.0731592681167967e-07
1829,6.772809124644397e-08,3.1720752247110795e-08
1830,1.5655253982060913e-08,4.800944353178238e-08
1831,1.4032085493553836e-08,7.639690835503643e-08
1832,1.7588959622116818e-08,3.788391467196561e-08
1833,2.7800709290204395e-08,1.853380560135065e-08
1834,1.4935249481595747e-08,3.4537765314368585e-08
1835,4.9916380362446944e-08,4.235329242874286e-08
1836,7.661655132551459e-08,1.1895727425326186e-07
1837,6.818733033764346e-08,3.478945487245255e-08
1838,4.8603647551104245e-08,4.3553917805638775e-08
1839,2.4470162784950844e-08,5.733009800223954e-08
1840,4.0766007458614695e-08,1.0701077002295278e-07
1841,9.630822361827995e-09,3.531301828729738e-08
1842,3.8237111255057243e-08,4.293289634915709e-08
1843,3.8394921131335025e-08,3.0125246297529884e-08
1844,3.402907916560949e-08,5.2690189988879865e-08
1845,2.566904894196753e-08,3.3481368622023666e-08
1846,2.1076203893244383e-08,5.21050615986951e-08
1847,2.6426795862732888e-08,2.2112217834546755e-08
1848,4.666228597960398e-08,2.091757700384278e-08
1849,5.1952373070207614e-08,4.9438547478075634e-08
1850,3.055048125588655e-08,8.418355434969271e-08
1851,2.257303499675345e-08,1.2189438791665452e-07
1852,2.7344290387532055e-08,3.711010876372711e-08
1853,2.9859659633757474e-08,2.329053394589664e-08
1854,1.1274591571464043e-07,4.156531441257272e-08
1855,3.502578493908004e-08,4.563965916304369e-08
1856,2.1226476576430287e-08,3.675804194358534e-08
1857,5.174399508867111e-08,2.6848300527237967e-08
1858,3.1808895073481835e-08,3.425573069648635e-08
1859,2.8516170758052795e-08,2.1387128512628806e-08
1860,5.53839250017063e-08,2.654766717569146e-08
1861,1.7920662287451705e-08,5.847795137015055e-08
1862,2.8463313594961903e-08,4.111367601922211e-08
1863,2.6471489888990618e-08,2.8968800691586694e-08
1864,2.3014694150447212e-08,4.507044337742627e-08
1865,2.9653119071326728e-08,5.45993934508715e-08
1866,2.8220555337021835e-08,4.962925004292629e-08
1867,6.454239098729886e-08,4.221945992810561e-08
1868,2.321740844024589e-08,1.975949714960734e-08
1869,6.641585770239544e-08,3.2231227464762924e-08
1870,2.6376625328339287e-08,3.268407811063412e-08
1871,4.885741633486873e-08,5.947859449406678e-08
1872,5.1402382683640724e-08,2.2979889990892843e-08
1873,1.9155214303623325e-08,3.71132280463371e-08
1874,5.0784177918483664e-08,2.5093358502203955e-08
1875,2.345826111138649e-08,3.2612703648737806e-08
1876,2.2974857127877613e-08,2.781166830168047e-08
1877,3.277952487223956e-08,2.6594708657512456e-08
1878,7.005343150012777e-08,3.140326043649111e-08
1879,3.848874796652524e-08,3.237942536316041e-08
1880,2.9522093214495726e-08,2.4387816210946767e-08
1881,3.834879080955034e-08,3.2770785196589713e-08
1882,4.4591080827771634e-08,1.5307385581309063e-08
1883,2.0853818505361943e-08,4.044376922252013e-08
1884,2.3766109080725073e-08,4.4891539374702916e-08
1885,4.060750313783501e-08,4.2541195677259225e-08
1886,3.549404986591398e-08,3.1621972595985426e-08
1887,1.958677409152898e-08,3.395040693021656e-08
1888,1.1413106459912115e-08,2.6630582183884144e-08
1889,2.3181005281980305e-08,2.8193115397812107e-08
1890,2.4906668727453507e-08,2.7528423984790606e-08
1891,2.677172439291553e-08,3.1871099537283953e-08
1892,3.384996816180319e-08,3.823792482648969e-08
1893,2.0938616174248637e-08,1.7243566574620672e-08
1894,2.5836310868498913e-08,2.6466465019581165e-08
1895,3.1898657715245804e-08,2.9491211250842753e-08
1896,3.125425251937486e-08,1.1204354777305525e-08
1897,3.088158351260972e-08,3.612562338162206e-08
1898,1.0750873968845553e-08,2.2067583316243145e-08
1899,2.5979618456517528e-08,2.984892333302014e-08
1900,3.166542283938867e-08,3.3741844873702576e-08
1901,1.117747761014698e-08,3.017919070202879e-08
1902,1.178468167495339e-08,2.160524809058373e-08
1903,1.3500550899436803e-08,3.0781254878320397e-08
1904,2.8485513503540005e-08,1.6123874679863093e-08
1905,2.11591113519205e-08,3.251278357652154e-08
