year,dernier_ADJ or_NOUN,dernier_ADJ corps_NOUN
1800,0.0,4.4961552703171037e-07
1801,2.3811825844433088e-09,3.4289028616463213e-07
1802,4.475680270843441e-09,2.0364345232337655e-07
1803,0.0,9.946730017418304e-08
1804,0.0,9.887404028852131e-08
1805,2.842877711017877e-09,2.4164461365216994e-07
1806,2.881669125542885e-09,3.5444531132355905e-07
1807,0.0,2.1921555060089304e-07
1808,4.5321479902327155e-09,1.6995555540688656e-07
1809,0.0,2.0557178004310117e-07
1810,0.0,1.825298880930859e-07
1811,5.0141535368197765e-09,2.933279859007598e-07
1812,0.0,2.800568665861647e-07
1813,1.1502966579257645e-08,6.182844458635373e-07
1814,0.0,5.066150237098554e-07
1815,2.697223555614414e-09,2.4814455468202823e-07
1816,4.6352077731626196e-09,4.357095200191452e-07
1817,0.0,2.319741412293297e-07
1818,1.1921177378582115e-09,2.539210794960667e-07
1819,4.140420006848444e-09,1.9977526211079066e-07
1820,2.3732962262101864e-09,3.061552149574709e-07
1821,9.861488070583846e-09,2.8696931053673325e-07
1822,0.0,2.4963783573639375e-07
1823,6.917880934764753e-09,3.132811778883138e-07
1824,8.421112696055388e-10,2.82107269988785e-07
1825,2.641632912414593e-09,3.74231319710816e-07
1826,1.7615968683770689e-09,3.1884903251011565e-07
1827,9.217273055917019e-10,3.235262791001503e-07
1828,0.0,3.6047143225914624e-07
1829,4.286588028978855e-09,4.097978179018469e-07
1830,1.0436835840010872e-09,2.6718298906658333e-07
1831,3.1182412207897414e-09,3.320926973415794e-07
1832,1.3529969367098715e-09,3.22013279596689e-07
1833,4.6334514003376626e-09,4.019519224129908e-07
1834,9.334530925997342e-10,2.520323472143815e-07
1835,1.5126175867408165e-09,2.7756532006151247e-07
1836,2.016224964762614e-09,3.441023967987178e-07
1837,6.957890930081589e-10,3.1171351544401205e-07
1838,1.8936485712828244e-09,4.1660268523813215e-07
1839,4.894032734625853e-09,4.0690386526875955e-07
1840,1.9109065441114126e-09,2.9236871623705696e-07
1841,6.420548537278137e-09,3.345105765717449e-07
1842,4.024959032733477e-09,4.0853332805568243e-07
1843,5.906911071384968e-10,4.335672656452516e-07
1844,1.097712254427563e-09,5.938623291457112e-07
1845,1.6740683839167048e-09,4.720872846530888e-07
1846,1.2294452567118697e-08,5.034870977915773e-07
1847,1.0786447290911383e-09,4.427836710618749e-07
1848,4.02261068899179e-09,3.732982867266088e-07
1849,2.513824481908955e-09,4.265122299784707e-07
1850,1.425689166723032e-08,4.188810480698635e-07
1851,6.449438760824933e-10,3.7535733099502977e-07
1852,4.557382027314816e-09,2.682344855120533e-07
1853,6.569124799682413e-09,4.419229602259378e-07
1854,3.6369650624479277e-09,4.993033353439813e-07
1855,1.0083180512765466e-08,3.4919646196840404e-07
1856,1.0354378465748937e-09,4.597343945533794e-07
1857,1.4644527812635033e-09,3.7050652679226914e-07
1858,1.468102750479261e-09,3.048760084389812e-07
1859,5.092173349652285e-10,4.888486246912294e-07
1860,1.830873536112776e-09,4.847237624616696e-07
1861,2.357981809808507e-09,6.583485427924529e-07
1862,3.1625904395315985e-09,3.5240292112215243e-07
1863,9.989241656072068e-10,4.0855999294819867e-07
1864,1.102787416940032e-08,4.857059465734892e-07
1865,5.177528850097701e-09,4.287935162494705e-07
1866,1.9462452205409875e-09,3.6978657230735124e-07
1867,4.85281148598915e-10,5.110010761200101e-07
1868,4.93987406535723e-10,5.088070267333933e-07
1869,2.441759683335931e-09,4.6491101457490913e-07
1870,1.7202146374017957e-09,5.372803766334755e-07
1871,5.3105884134652115e-09,5.979722601523463e-07
1872,1.8142017887967654e-09,4.583883175257597e-07
1873,2.3944017879529156e-09,5.531068358877178e-07
1874,3.5847653734322193e-09,6.082152204101021e-07
1875,5.721527140956084e-10,5.446894042471229e-07
1876,0.0,4.5889251243380613e-07
1877,1.2369631985365004e-09,4.032499890671559e-07
1878,4.831270938865373e-09,4.2092449348274386e-07
1879,0.0,4.93633474207833e-07
1880,1.9253538763308597e-09,4.69144553427725e-07
1881,0.0,3.848824117191896e-07
1882,1.9966155395678697e-09,5.490692589482649e-07
1883,1.2638677882037541e-09,5.99073314178078e-07
1884,3.300848483434038e-09,6.456459846759799e-07
1885,6.445635691854079e-10,6.606776744577658e-07
1886,1.2906927748801422e-09,5.543525571916064e-07
1887,2.6115699047757346e-09,4.981569441397937e-07
1888,5.07249175996094e-09,4.2925962517870175e-07
1889,1.2530273485467092e-09,4.2414975887083983e-07
1890,2.6217545912032847e-09,5.571228589573707e-07
1891,0.0,5.437209904535223e-07
1892,1.2537024751679837e-09,5.115105845554524e-07
1893,1.2316833108982905e-09,4.3108914882239446e-07
1894,5.671385361338821e-09,6.21331752492793e-07
1895,7.22233739480771e-09,4.4116444875008654e-07
1896,4.1279202278587945e-09,6.262644938193063e-07
1897,1.7480140668268973e-09,5.063414074690797e-07
1898,1.6975064687230201e-09,4.922769010207162e-07
1899,2.2110313580014918e-09,4.6321108015945356e-07
1900,3.114631885736685e-09,6.073531939598809e-07
1901,5.588738916095792e-10,3.722099999325934e-07
1902,1.9641135384773634e-09,5.224542292125989e-07
1903,1.6200660812870638e-09,5.200412356298756e-07
1904,1.0749250378694342e-09,4.573806018370874e-07
1905,5.676834835544042e-09,4.2782692749598894e-07
1906,2.0576737536082135e-09,3.667803523121904e-07
1907,3.5999904168804164e-09,4.124560510909703e-07
1908,4.911389073214423e-10,3.997870754446353e-07
1909,2.2003934230241384e-09,3.707663038809983e-07
1910,1.6032452032632705e-09,3.585925165694448e-07
1911,3.1922244847493175e-09,3.218826236661698e-07
1912,2.083768435579003e-09,3.073558616506489e-07
1913,1.590896969716482e-09,4.321936712958774e-07
1914,6.6967438816512015e-09,4.379670377474554e-07
1915,0.0,3.5813516774396703e-07
1916,5.493731025651982e-09,3.6588249585634003e-07
1917,1.0966424435210342e-09,1.8204264551346938e-07
1918,2.2972752589112133e-09,3.3540217980743137e-07
1919,0.0,3.360864702095512e-07
1920,7.572231730534895e-10,2.991031502475039e-07
1921,1.5145494858259667e-09,2.7261889545826534e-07
1922,6.6401419362982494e-09,2.862638837086706e-07
1923,0.0,2.866305859328122e-07
1924,1.289162443462999e-09,2.7588077222695517e-07
