year,léger_ADJ anneau_NOUN,léger_ADJ canot_NOUN
1800,9.432493897065797e-09,9.432493897065797e-09
1801,0.0,1.4287095950749062e-08
1802,0.0,2.0140561218795483e-08
1803,0.0,3.900678446910888e-09
1804,0.0,1.2359254952798437e-08
1805,0.0,2.842877711017877e-09
1806,0.0,1.729001475325731e-08
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,3.5599443393152796e-09,8.306536791735653e-09
1821,0.0,7.88919063410276e-09
1822,0.0,9.023054303725075e-09
1823,4.941343334508019e-09,4.941343334508019e-09
1824,0.0,7.57900142644985e-09
1825,0.0,0.0
1826,4.403992281964975e-09,9.688783109140786e-09
1827,9.217273055917019e-10,8.295545583791863e-09
1828,0.0,2.2013523448549677e-08
1829,0.0,1.0287811491593857e-08
1830,0.0,3.1310507520032616e-09
1831,0.0,2.0268567268999504e-08
1832,2.705993873419743e-09,5.411987746839486e-09
1833,0.0,1.6217079235048004e-08
1834,0.0,1.7735608537350345e-08
1835,0.0,1.4369867074037757e-08
1836,0.0,1.9490174807401672e-08
1837,0.0,6.957891152126194e-09
1838,0.0,8.837027110075724e-09
1839,0.0,1.11863602825224e-08
1840,0.0,8.917564464638872e-09
1841,0.0,9.630822361827995e-09
1842,0.0,1.542900918138912e-08
1843,5.906911071384968e-10,7.088293507706567e-09
1844,5.488561272137815e-10,8.781698035420504e-09
1845,1.0044410636567136e-08,3.348136878855712e-09
1846,7.025401593807601e-09,1.4050803187615202e-08
1847,0.0,5.9325460100012606e-09
1848,6.43617736884039e-09,4.82713291560799e-09
1849,0.0,6.703531951757213e-09
1850,1.3577992064028876e-09,1.1541293254424545e-08
1851,9.029214709244116e-09,1.7413483988093503e-08
1852,4.557382027314816e-09,2.408901877970493e-08
1853,1.7915795513800958e-09,1.2541057081705276e-08
1854,7.27393034694046e-09,5.7152309551611324e-09
1855,4.776243400783642e-09,1.1675261646360013e-08
1856,1.0354378465748937e-09,8.801221973442352e-09
1857,0.0,1.4644527368545823e-08
1858,4.404308473482388e-09,2.0553439838977283e-08
1859,5.092173349652285e-10,1.5276519604867644e-08
1860,4.577183909670879e-10,1.0527522853465143e-08
1861,4.2443675241088386e-09,1.4147890858851042e-08
1862,1.8071945051545413e-09,7.680577063240435e-09
1863,4.994620828036034e-10,8.990317823531768e-09
1864,0.0,9.109982990196386e-09
1865,5.177528628053096e-09,1.694463946932956e-08
1866,1.4110277390955162e-08,3.5518972651971126e-08
1867,9.220341823379385e-09,1.358787216076962e-08
1868,2.9639244392143382e-09,8.397785578040384e-09
1869,9.767038289254515e-10,7.813630631403612e-09
1870,0.0,8.601073631098188e-09
1871,1.0621177271019633e-09,5.3105884134652115e-09
1872,4.8378714367913744e-09,1.3908880269752899e-08
1873,2.3944017879529156e-09,2.3944018323618366e-08
1874,4.779687312606029e-09,5.974609251779839e-09
1875,6.865832347102696e-09,2.0025344937835143e-08
1876,6.04601479992084e-10,4.232210137899983e-09
1877,4.329371083855449e-09,2.2265338017746217e-08
