year,dernier_ADJ épi_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,1.2359254952798437e-08
1805,2.842877755426798e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,1.0788894222457657e-08
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,2.9648061783404955e-09
1824,8.421112696055388e-10
1825,4.4027217427355936e-09
1826,3.5231937367541377e-09
1827,6.452091305675367e-09
1828,9.172301251858528e-10
1829,3.429270423183084e-09
1830,0.0
1831,0.0
1832,0.0
1833,2.3167257001688313e-09
1834,5.600718555598405e-09
1835,1.5126175867408165e-09
1836,0.0
1837,6.957890930081589e-10
1838,2.5248647617104325e-09
1839,2.0974426639952526e-09
1840,3.1848443882154243e-09
1841,2.5682194149112547e-09
1842,1.341653010911159e-09
1843,3.5441467538532834e-09
1844,8.781698035420504e-09
1845,4.464182357111213e-09
1846,4.6836010625384006e-09
1847,7.550513103637968e-09
1848,8.045221711050488e-10
1849,3.3517659758786067e-09
1850,3.394498016007219e-09
1851,6.449438760824933e-09
1852,1.9531636308300904e-09
1853,4.180352064508952e-09
1854,5.195664343204953e-09
1855,4.776243400783642e-09
1856,1.5531567143511893e-09
1857,2.9289055625270066e-09
1858,7.34051397444091e-09
1859,6.619825576592575e-09
1860,5.492620580582752e-09
1861,2.357981809808507e-09
1862,0.0
1863,1.4983863039219614e-09
1864,3.3563094525845827e-09
1865,2.8241067262513297e-09
1866,1.9462451650298362e-09
1867,4.367530337390235e-09
1868,3.951899252285784e-09
1869,4.883519366671862e-09
1870,3.4404292748035914e-09
1871,0.0
1872,4.8378714367913744e-09
1873,0.0
1874,2.9873046258899194e-09
1875,4.577221712764867e-09
1876,1.209202959984168e-09
1877,1.2369631985365004e-09
1878,1.0266450800600069e-08
1879,4.27652757650776e-09
1880,3.8507077526617195e-09
1881,4.183504653809678e-09
1882,3.9932310791357395e-09
1883,6.319338829996468e-09
1884,6.601696966868076e-09
1885,0.0
1886,1.2906927748801422e-09
1887,3.264462256069578e-09
1888,2.53624587998047e-09
1889,5.012109394186837e-09
1890,6.554386366985909e-09
1891,6.3742202627281586e-09
1892,2.5074049503359674e-09
1893,9.853466487186324e-09
1894,7.561847148451761e-09
1895,3.0093072478365457e-09
1896,4.717623180994224e-09
1897,6.409385022720926e-09
1898,4.52668391659472e-09
1899,3.3165470370022376e-09
1900,4.15284251431558e-09
1901,5.029864968975062e-09
1902,4.910283846193408e-10
1903,4.320176216765503e-09
1904,0.0
1905,1.5482277682110634e-09
1906,1.6461390472954918e-08
1907,5.142843373384665e-10
1908,3.929111258571538e-09
1909,0.0
1910,3.740905363258662e-09
1911,2.128149656499545e-09
1912,5.730363294986773e-09
1913,2.121195885607108e-09
1914,1.3393487430235496e-09
1915,3.534228465440492e-09
