year,premier_ADJ or_NOUN,premier_ADJ corps_NOUN
1800,2.829747991484055e-08,7.137253472677685e-07
1801,1.4287095284615248e-08,5.667214297844225e-07
1802,1.1189200677108602e-08,4.811356291156699e-07
1803,5.851017448321727e-09,5.987541333851709e-07
1804,7.4155526164076946e-09,5.067294512883791e-07
1805,8.528632911009026e-09,5.714184130312105e-07
1806,2.881669125542885e-08,1.0460458810257478e-06
1807,2.2775641372874134e-08,9.87893429282849e-07
1808,1.1330369975581789e-08,1.133036993561376e-06
1809,1.1295152591017654e-08,1.4322253925058703e-06
1810,3.7442028144596406e-08,7.067182608011535e-07
1811,1.504245972228091e-08,1.0755358985647945e-06
1812,1.0668832928217853e-08,6.561332455135016e-07
1813,2.8757416448144113e-09,1.2940837592623211e-06
1814,3.4613449884091096e-08,3.2347841667501598e-06
1815,4.045835311217161e-08,3.4119878513649837e-06
1816,1.622322720606917e-08,1.7636965310430242e-06
1817,1.8682481339737933e-08,1.6487289098421343e-06
1818,1.3113294894395722e-08,1.7893687136449898e-06
1819,2.0702100145264524e-08,1.1003165898415546e-06
1820,2.4919610375206958e-08,2.544173488772117e-06
1821,1.1833785507064931e-08,1.6064364052326141e-06
1822,2.8071724500478012e-08,1.7805494110234577e-06
1823,2.569498569471307e-08,1.7640595828538608e-06
1824,1.9368560089105813e-08,1.5924324419103186e-06
1825,4.050503643604486e-08,2.032296185561222e-06
1826,8.80798456392995e-09,1.2410450364042092e-06
1827,2.7651818612639545e-08,1.967887692244652e-06
1828,3.760643585426493e-08,1.061235280985784e-06
1829,1.2002446148073886e-08,1.1050823953695499e-06
1830,1.5655253093882493e-08,1.0248972657223021e-06
1831,4.677361831184612e-09,1.6027760256775991e-06
1832,2.705993829010822e-08,6.37261584168769e-07
1833,1.3900354645102198e-08,9.16265018524598e-07
1834,2.9870498963191494e-08,8.634441321930808e-07
1835,4.159698363537245e-08,8.712677157518556e-07
1836,3.2931674442959746e-08,9.805574383570104e-07
1837,1.7394727436226276e-08,9.734089552182468e-07
1838,1.7042836919500814e-08,1.2933619679689201e-06
1839,2.027527834513876e-08,1.038933199470904e-06
1840,7.0066574764382494e-09,1.1236130630365437e-06
1841,1.2841097074556274e-08,8.064208714131382e-07
1842,1.542900918138912e-08,9.150073667640868e-07
1843,1.6539350389255247e-08,8.151537271849918e-07
1844,2.4698525058486354e-08,8.770721073858567e-07
1845,1.7298706467272496e-08,8.693994870689892e-07
1846,2.6345256864956923e-08,7.757214091075326e-07
1847,1.240441438454809e-08,9.017469846384074e-07
1848,1.287235473768078e-08,8.785381981901708e-07
1849,1.1731180693530519e-08,9.32628868355323e-07
1850,9.504594444820214e-09,1.0074869924991958e-06
1851,2.3862924081186065e-08,1.1821821068735971e-06
1852,1.4974254725075298e-08,6.412887048057314e-07
1853,1.5527023000672102e-08,1.9970138929181758e-06
1854,1.922395914677466e-08,8.448150525808273e-07
1855,1.1144567935161831e-08,8.162069100592362e-07
1856,2.640366475459288e-08,7.993580393161892e-07
1857,1.903788510171367e-08,1.5943008211394272e-06
1858,1.9574704523961373e-08,1.0384380839667529e-06
1859,1.0693563812225193e-08,1.4624721362821447e-06
1860,1.739329860694916e-08,1.2170732217597902e-06
1861,1.7920662287451705e-08,1.0186482057861213e-06
1862,1.1746764477793548e-08,8.173037082670476e-07
1863,1.4983863039219614e-08,6.807668402331046e-07
1864,2.349416661218129e-08,8.347621296422858e-07
1865,2.541695881541628e-08,6.716666689499107e-07
