year,dernier_ADJ are_NOUN,dernier_ADJ quart_NOUN
1800,0.0,1.5091990235305275e-07
1801,0.0,2.4288061695187935e-07
1802,0.0,5.035140020481776e-07
1803,0.0,1.3652374342143503e-08
1804,0.0,1.928043786847411e-07
1805,0.0,2.0753007845542015e-07
1806,0.0,3.342736079048336e-07
1807,0.0,9.964342950752325e-08
1808,0.0,1.4049658147996524e-07
1809,0.0,2.213849938925705e-07
1810,2.3401267590372754e-09,2.503935547792935e-07
1811,0.0,2.0558029234507558e-07
1812,0.0,9.868670503010435e-08
1813,0.0,8.627225156487839e-08
1814,0.0,1.1013369771717407e-07
1815,0.0,9.440282155992463e-08
1816,0.0,6.952811304472561e-08
1817,0.0,1.0742426326260102e-07
1818,0.0,2.4676836574144545e-07
1819,1.035105001712111e-09,9.522965882524659e-08
1820,0.0,1.1985146386450651e-07
1821,0.0,1.0354562363090736e-07
1822,0.0,1.0426640528748976e-07
1823,0.0,1.363810753218786e-07
1824,0.0,1.0779024250950897e-07
1825,0.0,1.6113961009978084e-07
1826,0.0,1.3740455528932216e-07
1827,0.0,1.44711179927981e-07
1828,9.172301251858528e-10,1.2841221064263664e-07
1829,8.57317605795771e-10,2.1947330708371737e-07
1830,0.0,2.0978039572128182e-07
1831,0.0,2.603731559247535e-07
1832,0.0,1.7994858581005246e-07
1833,0.0,2.5483981858087645e-07
1834,0.0,1.9975895781954023e-07
1835,7.563087933704082e-10,2.336994100460288e-07
1836,0.0,2.1708022757138679e-07
1837,0.0,2.0873672212928795e-07
1838,0.0,2.5501134359728894e-07
1839,1.3982950353153e-09,2.272229409072679e-07
1840,0.0,2.223021340341802e-07
1841,0.0,1.9454262201179517e-07
1842,6.708265054555795e-10,1.9051472577302775e-07
1843,0.0,2.516344181913155e-07
1844,5.488561272137815e-10,2.727815058278793e-07
1845,0.0,1.9586600785714836e-07
1846,0.0,2.4179090019060823e-07
1847,5.393223645455691e-10,2.491669306436961e-07
1848,8.045221711050488e-10,1.9871697531925747e-07
1849,0.0,2.756827655048255e-07
1850,6.788996032014438e-10,3.0278923190962814e-07
1851,6.449438760824933e-10,3.024786678906821e-07
1852,0.0,2.903703375523037e-07
1853,0.0,2.8247237082723586e-07
1854,0.0,2.5926365765371884e-07
1855,0.0,1.9635666603790014e-07
1856,5.177189232874468e-10,2.5885947252390906e-07
1857,0.0,2.1917975345786544e-07
1858,0.0,2.1678984296613635e-07
1859,0.0,2.520625912438845e-07
1860,0.0,2.9522837508011435e-07
1861,0.0,2.461733004111011e-07
1862,0.0,2.733381734287832e-07
1863,9.989241656072068e-10,2.9068692697364895e-07
1864,0.0,2.996704893121205e-07
1865,0.0,2.847640701020282e-07
1866,4.865612912574591e-10,2.977755002575577e-07
1867,9.7056229719783e-10,3.367851206803607e-07
1868,0.0,2.944164805285254e-07
1869,9.767038289254515e-10,2.8373247573654226e-07
1870,0.0,3.451897327977349e-07
1871,0.0,3.1544897183266585e-07
1872,0.0,3.223231885840505e-07
1873,5.986004469882289e-10,3.603574612043303e-07
1874,5.974609140757536e-10,3.4891718314611353e-07
1875,1.716458086775674e-09,2.9809157808813325e-07
1876,0.0,3.6215629961589e-07
1877,0.0,3.840770830265683e-07
1878,0.0,4.3964564611087553e-07
1879,0.0,3.3967847912208526e-07
1880,0.0,5.070098723081173e-07
1881,0.0,4.0858893157746934e-07
1882,0.0,4.545628087271325e-07
1883,0.0,5.403034606388246e-07
1884,6.601696966868076e-10,3.9346113567262364e-07
1885,0.0,4.847117907047505e-07
1886,0.0,5.375735554480343e-07
1887,0.0,4.0152886526811926e-07
1888,0.0,4.501836485815147e-07
1889,0.0,4.56728457720601e-07
1890,1.3108772956016423e-09,5.282835218167747e-07
1891,6.374220040683554e-10,4.818910497306206e-07
1892,6.268512375839919e-10,5.729420422539988e-07
1893,0.0,5.191545255911478e-07
1894,0.0,6.471680649156042e-07
1895,6.018614495673091e-10,7.10196502495819e-07
1896,0.0,6.952597004783456e-07
