year,dernier_ADJ anneau_NOUN,dernier_ADJ canot_NOUN
1800,7.200136451501749e-07,9.432493897065797e-09
1801,6.691123317636993e-07,0.0
1802,7.183466834703722e-07,0.0
1803,1.8996304333995795e-06,0.0
1804,6.080753109927173e-07,2.4718509461507665e-09
1805,3.8378848898901197e-07,0.0
1806,2.0748018414451508e-07,0.0
1807,2.6761378535411495e-07,2.8469551160981155e-09
1808,4.1922369131697224e-07,9.064295980465431e-09
1809,5.602395845016872e-07,4.518061036407062e-09
1810,1.4508785284306214e-07,6.084329839950442e-08
1811,2.1560860608005328e-07,0.0
1812,1.2802598803318688e-07,0.0
1813,1.35159851311073e-07,0.0
1814,3.366944554272777e-07,0.0
1815,2.1308066777692147e-07,0.0
1816,6.790579618609627e-07,0.0
1817,1.1520862699399004e-06,3.113746815941454e-09
1818,4.49428388726858e-07,0.0
1819,3.6642717304857797e-07,1.035105001712111e-09
1820,1.8393045309039735e-07,5.933240565525466e-09
1821,3.195122246779647e-07,0.0
1822,2.245737960038241e-07,1.0025615893027862e-08
1823,3.073515699725249e-07,1.9765373782121287e-09
1824,1.717907025522436e-07,1.6842225392110777e-09
1825,3.1435431524506896e-07,1.7610886082763955e-09
1826,3.285378227246838e-07,7.927186018719112e-09
1827,3.364304745900881e-07,1.1060727445055818e-08
1828,7.787283493598807e-07,1.3758452155343548e-08
1829,3.5407217069405306e-07,7.715858174606183e-09
1830,5.114049486110162e-07,9.39315203396518e-09
1831,4.1940344974733534e-07,1.091384405071949e-08
1832,1.4937085808242045e-06,5.411987746839486e-09
1833,4.1816897944357834e-07,3.4750886612755494e-09
1834,7.355610227577358e-07,1.3068342852307069e-08
1835,2.6924593043986533e-07,7.563087933704082e-10
1836,3.635925773792792e-07,1.1425274948351216e-08
1837,5.879418001342174e-07,1.7394727436226276e-08
1838,4.437449678817984e-07,1.2624323808552163e-09
1839,4.523484369300945e-07,1.1885507689157748e-08
1840,6.78371836926317e-07,8.917564464638872e-09
1841,3.370787906575856e-07,6.420548537278137e-10
1842,3.045552432467957e-07,9.391571076378114e-09
1843,3.1365698749397097e-07,1.1223130869097986e-08
1844,3.309602454315552e-07,7.683985892015244e-09
1845,3.141668365458372e-07,5.022205318283568e-09
1846,3.8639708677123963e-07,2.9272506640865004e-09
1847,2.432343908509438e-07,7.011190739092399e-09
1848,3.097410399277578e-07,5.63165514222419e-09
1849,3.251213058774738e-07,2.513824526317876e-08
1850,2.9735803241948133e-07,9.504594444820214e-09
1851,3.0054384936306633e-07,9.029214709244116e-09
1852,4.811293179418641e-07,8.463708844885787e-09
1853,3.045685332825343e-07,2.09017620989016e-08
1854,2.8732023338307044e-07,1.0391328908454511e-09
1855,2.30851757265782e-07,2.653468555990912e-09
1856,2.2469001770275554e-07,1.5531567143511893e-09
1857,3.724591515208431e-07,4.393358121745905e-09
1858,1.9232146364345226e-07,8.808616946964776e-09
1859,2.5715474727405763e-07,9.675129142294736e-09
1860,3.3825389045283316e-07,1.5104706818647173e-08
1861,2.952193300931327e-07,1.1789909493131745e-08
1862,1.9156261291120025e-07,2.710791813242963e-09
1863,2.072767710803447e-07,1.9978483312144135e-09
1864,3.102188905756975e-07,2.3973640850272204e-09
1865,3.652511306739825e-07,0.0
1866,3.770850098838707e-07,2.432806400776144e-09
1867,2.9019811975672383e-07,5.82337378318698e-09
1868,3.2701966679038463e-07,1.4819622196071691e-09
1869,2.9740631424246544e-07,3.4184632902167778e-09
1870,3.1250564802576264e-07,1.1468097582678638e-09
1871,1.720630646850907e-07,1.0621177271019633e-09
1872,4.0819539393055493e-07,4.8378714367913744e-09
1873,3.2863165166929775e-07,5.387403856360606e-09
1874,2.9813299295966544e-07,6.572069999322139e-09
1875,1.8709393145854847e-07,2.8607636259891933e-09
1876,2.1886573686735744e-07,6.04601479992084e-10
1877,2.9316027205794626e-07,8.658742167710898e-09
1878,3.3214987915641814e-07,4.831270938865373e-09
1879,2.0344053708321042e-07,6.10932526790009e-10
1880,3.00355200266722e-07,5.134277003548959e-09
1881,2.782030415482417e-07,1.3945015142624584e-09
1882,3.207895751256018e-07,3.9932310791357395e-09
1883,2.3823907879805262e-07,4.423537092179686e-09
1884,3.0961959751607537e-07,4.621187876807653e-09
1885,2.3462114562278202e-07,2.5782542767416317e-09
1886,2.4200489612269394e-07,2.5813855497602844e-09
1887,2.121900530838161e-07,6.528924623161458e-10
1888,2.0924028376612114e-07,6.340614699951175e-10
1889,1.8294198811386053e-07,5.012109394186837e-09
1890,2.7659511836475303e-07,6.554386478008212e-10
1891,1.988756705983974e-07,0.0
1892,2.632775164546075e-07,0.0
1893,2.5619013488409337e-07,4.926733243593162e-09
1894,1.9030648390483407e-07,1.8904617871129403e-09
1895,2.1907757030703578e-07,7.22233739480771e-09
1896,1.4742572140846733e-07,5.89702897624278e-10
