year,premier_ADJ or_NOUN,premier_ADJ cor_NOUN
1800,2.829747991484055e-08,1.8864987794131594e-08
1801,1.4287095284615248e-08,4.7623651688866175e-09
1802,1.1189200677108602e-08,1.7902721083373763e-08
1803,5.851017448321727e-09,7.801356893821776e-09
1804,7.4155526164076946e-09,0.0
1805,8.528632911009026e-09,2.842877711017877e-09
1806,2.881669125542885e-08,5.4751712497136396e-08
1807,2.2775641372874134e-08,5.97860605466849e-08
1808,1.1330369975581789e-08,2.2660739951163578e-09
1809,1.1295152591017654e-08,2.259030518203531e-09
1810,3.7442028144596406e-08,7.020380277111826e-09
1811,1.504245972228091e-08,1.2535384286138651e-08
1812,1.0668832928217853e-08,0.0
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,3.4613449884091096e-08,3.1466771410748606e-09
1815,4.045835311217161e-08,5.394447111228828e-09
1816,1.622322720606917e-08,2.5493642752394408e-08
1817,1.8682481339737933e-08,7.784366928831332e-09
1818,1.3113294894395722e-08,3.5763532135746345e-09
1819,2.0702100145264524e-08,3.1053151161586356e-09
1820,2.4919610375206958e-08,2.1359666035891678e-08
1821,1.1833785507064931e-08,4.930744257336528e-09
1822,2.8071724500478012e-08,1.804610860745015e-08
1823,2.569498569471307e-08,2.9648061783404955e-09
1824,1.9368560089105813e-08,1.431589158329416e-08
1825,4.050503643604486e-08,4.4027217427355936e-09
1826,8.80798456392995e-09,1.2331177856594877e-08
1827,2.7651818612639545e-08,1.566936447261469e-08
1828,3.760643585426493e-08,4.861319524707142e-08
1829,1.2002446148073886e-08,1.7146351560803907e-08
1830,1.5655253093882493e-08,1.6698937788106605e-08
1831,4.677361831184612e-09,1.5591206103948707e-09
1832,2.705993829010822e-08,1.352996914505411e-08
1833,1.3900354645102198e-08,9.266902467608418e-09
1834,2.9870498963191494e-08,0.0
1835,4.159698363537245e-08,2.2689263801112247e-08
1836,3.2931674442959746e-08,1.4785650037651976e-08
1837,1.7394727436226276e-08,4.6617870452791976e-08
1838,1.7042836919500814e-08,1.704283669745621e-08
1839,2.027527834513876e-08,1.957613093850341e-08
1840,7.0066574764382494e-09,1.656119008597301e-08
1841,1.2841097074556274e-08,1.7977535904378783e-08
1842,1.542900918138912e-08,5.366612043644636e-09
1843,1.6539350389255247e-08,5.316219964246471e-09
1844,2.4698525058486354e-08,1.920996517412732e-08
1845,1.7298706467272496e-08,7.2542965523503256e-09
1846,2.6345256864956923e-08,9.367202125076801e-09
1847,1.240441438454809e-08,2.588747349818732e-08
1848,1.287235473768078e-08,3.218088684420195e-09
1849,1.1731180693530519e-08,1.508294644736452e-08
1850,9.504594444820214e-09,7.467895635215882e-09
1851,2.3862924081186065e-08,6.449438760824933e-09
1852,1.4974254725075298e-08,8.463708844885787e-09
1853,1.5527023000672102e-08,1.1346670270029335e-08
1854,1.922395914677466e-08,1.454786069388092e-08
1855,1.1144567935161831e-08,1.751289246954002e-08
1856,2.640366475459288e-08,1.1389815923745772e-08
1857,1.903788510171367e-08,4.881508974818871e-09
1858,1.9574704523961373e-08,9.787352261980686e-09
1859,1.0693563812225193e-08,6.110608019582742e-09
1860,1.739329860694916e-08,2.288591893773173e-08
1861,1.7920662287451705e-08,9.903524222920623e-09
1862,1.1746764477793548e-08,3.252950264709398e-08
1863,1.4983863039219614e-08,8.990317212909105e-09
1864,2.349416661218129e-08,2.6371003158942585e-08
1865,2.541695881541628e-08,6.589582213223366e-09
1866,2.2868380966656332e-08,2.335494225791379e-08
1867,3.1543274658929477e-08,1.3102591012170706e-08
1868,1.778354707937524e-08,1.5807597009143137e-08
1869,2.002242827092715e-08,6.8369265804335555e-09
1870,2.5229815125982213e-08,1.204150201772336e-08
1871,9.559059321873065e-09,7.434824311758348e-09
1872,1.5723082169571967e-08,3.6284036886158333e-09
1873,2.693702005895915e-08,2.274681615288543e-08
1874,1.6131444624534197e-08,2.5690820137924675e-08
1875,1.3731665304828056e-08,8.010138330405425e-09
1876,1.813804395567331e-08,1.3301232559825849e-08
1877,3.2779525871440285e-08,1.60805213589299e-08
1878,1.9928992622819663e-08,5.918306911212312e-08
1879,1.893890888560179e-08,1.7717043832021773e-08
1880,1.1552123257985158e-08,8.984985200299889e-09
1881,1.5339516323820135e-08,4.8807553554297556e-08
1882,2.9283694580328756e-08,7.986462158271479e-09
1883,2.0221884611260066e-08,1.3270612164717477e-08
1884,2.5086449362277108e-08,7.2618666635548834e-09
1885,1.1602144189826191e-08,1.160214413431504e-08
1886,8.38950331427668e-09,3.2267319927115068e-09
1887,1.762809609395788e-08,5.223139698529167e-09
1888,8.242799331981132e-09,1.014498351992188e-08
1889,1.5662842023367318e-08,1.0650732462647028e-08
1890,1.376421138177264e-08,2.0974036729626278e-08
1891,1.4660706204594476e-08,8.286486163910922e-09
1892,1.0656471038927862e-08,2.0686091506405546e-08
1893,1.7243566630131824e-08,6.7742580989182954e-09
1894,2.3315696040526745e-08,6.301539290376468e-09
1895,1.2037228769301578e-08,9.629782971032341e-09
1896,2.0639602027472392e-08,4.717623180994224e-09
1897,1.3401440845939305e-08,1.3984112534615178e-08
1898,2.0370077402631637e-08,4.52668391659472e-09
1899,1.9346524382513053e-08,1.2713430308508578e-08
1900,1.8168686111152965e-08,1.2977633190303095e-08
1901,1.4530721570427119e-08,1.2295225282343836e-08
