year,dernier_ADJ art_NOUN,dernier_ADJ quart_NOUN
1800,7.231578535993322e-08,1.5091990235305275e-07
1801,4.524246932646747e-08,2.4288061695187935e-07
1802,4.699464284385613e-08,5.035140020481776e-07
1803,4.290746247193056e-08,1.3652374342143503e-08
1804,6.673997243744623e-08,1.928043786847411e-07
1805,6.538618890772341e-08,2.0753007845542015e-07
1806,1.123850950079941e-07,3.342736079048336e-07
1807,6.832692633906845e-08,9.964342950752325e-08
1808,7.024829162816104e-08,1.4049658147996524e-07
1809,9.262025457701384e-08,2.213849938925705e-07
1810,8.658468830802235e-08,2.503935547792935e-07
1811,1.178326058948187e-07,2.0558029234507558e-07
1812,2.9339290108509886e-08,9.868670503010435e-08
1813,1.0927818472339368e-07,8.627225156487839e-08
1814,2.8320094713762956e-08,1.1013369771717407e-07
1815,3.5063905334808965e-08,9.440282155992463e-08
1816,3.0128852301913867e-08,6.952811304472561e-08
1817,2.023935474770866e-08,1.0742426326260102e-07
1818,5.841376804482934e-08,2.4676836574144545e-07
1819,3.8298885840504227e-08,9.522965882524659e-08
1820,4.390598107306687e-08,1.1985146386450651e-07
1821,3.254291136567389e-08,1.0354562363090736e-07
1822,6.717162648328667e-08,1.0426640528748976e-07
1823,4.15072847204101e-08,1.363810753218786e-07
1824,5.894779064874456e-08,1.0779024250950897e-07
1825,5.987701134912982e-08,1.6113961009978084e-07
1826,4.4039921931471326e-08,1.3740455528932216e-07
1827,4.792982133405843e-08,1.44711179927981e-07
1828,4.494427674472945e-08,1.2841221064263664e-07
1829,4.8009784592295546e-08,2.1947330708371737e-07
1830,5.114049561605327e-08,2.0978039572128182e-07
1831,9.666548095310645e-08,2.603731559247535e-07
1832,4.329590197471589e-08,1.7994858581005246e-07
1833,2.895907214028881e-08,2.5483981858087645e-07
1834,3.827157613045529e-08,1.9975895781954023e-07
1835,2.7227116561334697e-08,2.336994100460288e-07
1836,4.166865003041309e-08,2.1708022757138679e-07
1837,3.7572609690172953e-08,2.0873672212928795e-07
1838,5.112851297894849e-08,2.5501134359728894e-07
1839,4.055055669027752e-08,2.272229409072679e-07
1840,4.522478957991183e-08,2.223021340341802e-07
1841,4.044945534076305e-08,1.9454262201179517e-07
1842,2.0795621225033756e-08,1.9051472577302775e-07
1843,5.2571508035725856e-08,2.516344181913155e-07
1844,1.920996517412732e-08,2.727815058278793e-07
1845,4.0177642546268544e-08,1.9586600785714836e-07
1846,5.0348710534109387e-08,2.4179090019060823e-07
1847,4.260646768727838e-08,2.491669306436961e-07
1848,1.850401076808339e-08,1.9871697531925747e-07
1849,3.1841775438579134e-08,2.756827655048255e-07
1850,2.3761487000228954e-08,3.0278923190962814e-07
1851,2.7732586449502605e-08,3.024786678906821e-07
1852,3.255272873481374e-08,2.903703375523037e-07
1853,2.7470885788360988e-08,2.8247237082723586e-07
1854,5.4034910601519215e-08,2.5926365765371884e-07
