year,premier_ADJ art_NOUN,premier_ADJ quart_NOUN
1800,1.5091990102078512e-07,2.703981465401739e-07
1801,5.000483449535409e-08,2.7383600809116615e-07
1802,7.161088433349505e-08,8.280008501060365e-08
1803,1.2482170674843474e-07,1.7162984988772223e-07
1804,1.0134588990240445e-07,1.557266102736321e-07
1805,8.528633421711618e-08,1.705726573320021e-07
1806,3.1698359492793315e-08,2.2188851911408847e-07
1807,6.832692145408714e-08,1.9643990345485918e-07
1808,4.305540546312159e-08,2.4020383193601447e-07
1809,6.099382443558454e-08,6.551188391767937e-08
1810,5.3822916346035754e-08,1.4976811257838563e-07
1811,3.259199621297171e-08,3.08370431412186e-07
1812,2.9339290108509886e-08,1.360276229434021e-07
1813,7.189353801173581e-08,2.674439656402683e-07
1814,1.5733386149463513e-08,4.1536137018738373e-07
1815,4.315557688983063e-08,1.4565007688815967e-07
1816,5.7940098940889584e-08,1.9004352225238108e-07
1817,5.60474440192138e-08,3.347277868215315e-07
1818,4.4108355412575406e-08,1.8597036199885508e-07
1819,6.935203400448842e-08,1.863189009743138e-07
1820,6.289235354728362e-08,1.3171793966648693e-07
1821,6.508582273134778e-08,1.1439326641493608e-07
1822,4.912551787583652e-08,1.0727409005539812e-07
1823,3.261286796174545e-08,9.981513926504704e-08
1824,5.9789897477458e-08,1.6505380528997193e-07
1825,5.811592274085342e-08,1.7875049707072321e-07
1826,4.580151724553616e-08,1.3740455528932216e-07
1827,3.0417001140037314e-08,1.456329101756637e-07
1828,3.118582486694166e-08,1.8069433355138997e-07
1829,4.2865879235076676e-08,1.723208384873942e-07
1830,2.609209004411639e-08,2.1917354908751463e-07
1831,2.3386808933878456e-08,2.2919072306670785e-07
1832,6.223786208625626e-08,2.25950486765214e-07
1833,3.243415902520752e-08,2.2472239891158097e-07
1834,5.8807543945604834e-08,1.6242083233919402e-07
1835,3.1764969321557146e-08,3.448768168823335e-07
1836,3.965242673098501e-08,2.1775230363285658e-07
1837,2.0177884252348122e-08,2.2613145644889698e-07
1838,2.4617431870765927e-08,3.648429676150755e-07
1839,5.313521023175838e-08,3.076248935585113e-07
1840,3.567025785855549e-08,2.8472508839527677e-07
1841,2.7608359598474408e-08,2.2086687412326e-07
1842,2.683306021822318e-08,1.8581893668212501e-07
1843,2.7171791094904307e-08,2.79987575790841e-07
1844,4.116421076227894e-08,2.7827005055769405e-07
1845,3.236532108985557e-08,2.271152728106074e-07
1846,4.7421458981844467e-08,3.1380127141211744e-07
1847,5.447156059545932e-08,3.354585054182735e-07
1848,2.976732055293141e-08,2.91237018001933e-07
1849,3.016589378290746e-08,2.865760047043864e-07
1850,4.480737292311687e-08,3.1840390057880086e-07
1851,3.611685728266423e-08,3.9535059048745325e-07
1852,1.3672145193766028e-08,3.1055301707993976e-07
1853,2.7470886232450198e-08,5.225440342648824e-07
1854,2.909572138776184e-08,4.011052991970132e-07
