year,premier_ADJ anneau_NOUN,premier_ADJ canot_NOUN
1800,1.3111165757528909e-06,1.2576657937302116e-08
1801,1.231071429685926e-06,2.3811825400343878e-08
1802,1.2778066889040929e-06,2.6854081625060644e-08
1803,1.8411201796464383e-06,5.851017448321727e-09
1804,1.3372713638659661e-06,0.0
1805,8.642348445775383e-07,5.685755422035754e-09
1806,6.051504897186533e-07,0.0
1807,6.576466562435712e-07,2.8469551160981155e-09
1808,6.095739060185679e-07,0.0
1809,6.754501100658672e-07,1.581321384946932e-08
1810,3.3931837606360205e-07,2.106114038724627e-08
1811,4.863728668702549e-07,0.0
1812,2.480503566992809e-07,1.8670457180292033e-08
1813,3.2208305356107303e-07,0.0
1814,5.726952529983009e-07,9.440030979135372e-09
1815,4.2616133555384295e-07,2.697223555614414e-09
1816,2.013997768557374e-06,4.6352077731626196e-09
1817,1.7016626783217248e-06,3.580808893843823e-08
1818,7.903740879555698e-07,1.668964877410417e-08
1819,5.196227311765611e-07,1.3456364911235141e-08
1820,5.363649355771827e-07,3.20394981656591e-08
1821,4.940605435876932e-07,7.88919063410276e-09
1822,5.53413997295138e-07,1.303330066093622e-08
1823,6.087735187065846e-07,4.941343334508019e-09
1824,6.054780214981292e-07,1.6842225392110777e-09
1825,5.749954183897898e-07,1.1447076175841175e-08
1826,4.527304042767355e-07,1.2331177856594877e-08
1827,5.004979015121869e-07,1.566936447261469e-08
1828,5.989512648629791e-07,1.6510142586412258e-08
1829,6.172687001537724e-07,5.143905745796928e-09
1830,6.877875051714e-07,2.7135772739939057e-08
1831,4.661770662828246e-07,6.236482441579483e-09
1832,1.6235962707611407e-06,5.953186388296672e-08
1833,7.158682482355516e-07,2.7800709290204395e-08
1834,9.390538195930276e-07,1.7735608537350345e-08
1835,3.947931759284984e-07,1.5882484660778573e-08
1836,6.606497464645145e-07,5.376600054063374e-09
1837,6.916143520108164e-07,8.349468672008697e-09
1838,6.589897250108834e-07,1.1361890983607736e-08
1839,5.474325046606054e-07,1.6080392128969834e-08
1840,9.72651477582076e-07,1.2739377552861697e-08
1841,5.971110415003977e-07,7.0626033910059505e-09
1842,6.144770909877195e-07,1.0733224087289273e-08
1843,5.883283322738464e-07,7.678984559333912e-09
1844,5.894714592558081e-07,2.7442805805577564e-09
1845,5.26773524356372e-07,8.928364714222425e-09
1846,4.437711980109782e-07,6.439951683034906e-09
1847,4.7352502541286867e-07,9.707802561820245e-09
1848,4.988037289876956e-07,1.287235473768078e-08
1849,6.561082024347797e-07,8.379414495607307e-09
1850,6.225509565638276e-07,8.82569484161877e-09
1851,5.101505833327025e-07,3.289213879043018e-08
1852,1.0189003443183964e-06,9.765818376195057e-09
1853,5.92415631217591e-07,8.957897534855874e-09
1854,4.2448577969311785e-07,7.27393034694046e-09
1855,4.72317395860955e-07,6.8990182455763716e-09
1856,4.4575598767693236e-07,1.1907535402144731e-08
1857,4.432410368737649e-07,4.393358121745905e-09
1858,5.285170310287413e-07,1.0766087576996597e-08
1859,5.713418556041461e-07,1.0693564256314403e-08
1860,5.767251726740419e-07,1.4189270203246451e-08
1861,5.362050501389604e-07,2.6409397335669382e-08
1862,3.5511371265783964e-07,5.873382225018986e-09
1863,3.7659441431969753e-07,1.1987090431375691e-08
1864,4.559786246360886e-07,1.1507347075223606e-08
1865,6.853165270825912e-07,9.413688495385486e-09
1866,6.714545695007956e-07,9.244664589402873e-09
1867,5.993222202960169e-07,8.73506067478047e-09
1868,6.051345684543463e-07,1.679557115608077e-08
1869,5.606279791514623e-07,9.767038733343725e-09
1870,5.349867251425167e-07,4.013834153937523e-09
1871,3.5793368313719043e-07,1.4869648623516696e-08
1872,7.56522135603177e-07,3.628403577593531e-09
1873,4.693027566560204e-07,8.380406590902112e-09
1874,4.5646013679956354e-07,1.6728906260254917e-08
1875,3.94785359958405e-07,1.1443054503956773e-08
1876,4.2624403051583215e-07,1.1487427897804992e-08
1877,4.923113636756682e-07,1.0514186854493346e-08
1878,5.507648843661173e-07,7.850815109122777e-09
1879,2.9874601281676405e-07,2.3215436684154156e-08
1880,4.839056071404002e-07,5.134277003548959e-09
1881,5.466445901491923e-07,6.2752567586699115e-09
1882,5.457415725995673e-07,1.5307385581309063e-08
1883,3.8484774833591473e-07,2.8437025179073316e-08
1884,5.340773032713741e-07,1.1883054540362536e-08
1885,3.9060550888203593e-07,1.160214413431504e-08
1886,4.775563188230691e-07,1.097088819790315e-08
1887,3.173057416816505e-07,8.48760173255414e-09
1888,3.5253816887959033e-07,2.0924028731883482e-08
1889,4.291618687091159e-07,1.4409814674820609e-08
1890,3.224758238218328e-07,1.1142456735058204e-08
1891,4.971891852667554e-07,7.649063604731055e-09
1892,3.97423691289589e-07,9.402768341715273e-09
1893,3.8243766287138214e-07,8.621783287310336e-09
1894,3.3650221098469046e-07,6.301539290376468e-09
1895,3.496815164094613e-07,2.467631965430428e-08
1896,2.671354195626918e-07,3.5382172747233653e-09
1897,2.627847841552011e-07,6.409385022720926e-09
1898,4.0513822252563614e-07,1.0185038590293516e-08
1899,2.6477101044974916e-07,8.291367592505594e-09
1900,2.6526281349248393e-07,8.824790675987515e-09
1901,2.8279018238208664e-07,1.117747761014698e-08
1902,2.833233900823018e-07,8.838511256215043e-09
1903,2.300493806561832e-07,4.320176216765503e-09
1904,2.5905692169203576e-07,8.599400302955473e-09
