year,premier_ADJ art_NOUN
1800,1.5091990102078512e-07
1801,5.000483449535409e-08
1802,7.161088433349505e-08
1803,1.2482170674843474e-07
1804,1.0134588990240445e-07
1805,8.528633421711618e-08
1806,3.1698359492793315e-08
1807,6.832692145408714e-08
1808,4.305540546312159e-08
1809,6.099382443558454e-08
1810,5.3822916346035754e-08
1811,3.259199621297171e-08
1812,2.9339290108509886e-08
1813,7.189353801173581e-08
1814,1.5733386149463513e-08
1815,4.315557688983063e-08
1816,5.7940098940889584e-08
1817,5.60474440192138e-08
1818,4.4108355412575406e-08
1819,6.935203400448842e-08
1820,6.289235354728362e-08
1821,6.508582273134778e-08
1822,4.912551787583652e-08
1823,3.261286796174545e-08
1824,5.9789897477458e-08
1825,5.811592274085342e-08
1826,4.580151724553616e-08
1827,3.0417001140037314e-08
1828,3.118582486694166e-08
1829,4.2865879235076676e-08
1830,2.609209004411639e-08
1831,2.3386808933878456e-08
1832,6.223786208625626e-08
1833,3.243415902520752e-08
1834,5.8807543945604834e-08
1835,3.1764969321557146e-08
1836,3.965242673098501e-08
1837,2.0177884252348122e-08
1838,2.4617431870765927e-08
1839,5.313521023175838e-08
1840,3.567025785855549e-08
1841,2.7608359598474408e-08
1842,2.683306021822318e-08
1843,2.7171791094904307e-08
1844,4.116421076227894e-08
1845,3.236532108985557e-08
1846,4.7421458981844467e-08
1847,5.447156059545932e-08
1848,2.976732055293141e-08
1849,3.016589378290746e-08
1850,4.480737292311687e-08
1851,3.611685728266423e-08
1852,1.3672145193766028e-08
1853,2.7470886232450198e-08
1854,2.909572138776184e-08
1855,4.4578271740647324e-08
1856,2.3815070804289462e-08
1857,3.7099469274437524e-08
1858,3.0340791934424516e-08
1859,2.698851919724632e-08
1860,2.0139609091529564e-08
1861,1.65058727241707e-08
1862,3.2077704131827645e-08
1863,3.196557385454213e-08
1864,7.192091966423675e-08
1865,4.3302967545066906e-08
1866,3.113992252945508e-08
1867,2.135237053835226e-08
1868,3.606107934484015e-08
1869,3.2719577824913415e-08
1870,3.268407811063412e-08
1871,2.8677179297886823e-08
1872,2.721302727604069e-08
1873,1.9753815583278822e-08
1874,2.6885741521986972e-08
1875,2.860763526069121e-08
1876,3.1439278513900604e-08
1877,2.9068635498674666e-08
1878,3.442280532839348e-08
1879,2.8102896787451925e-08
1880,3.7865292457084365e-08
1881,3.207353549417036e-08
1882,2.1297231533878858e-08
1883,1.8326083373043645e-08
1884,2.772712726084592e-08
1885,4.44748863293043e-08
1886,2.2587123060802128e-08
1887,4.831404343264012e-08
1888,3.7409626507667326e-08
1889,4.3855955533800284e-08
1890,3.998175801545045e-08
1891,3.56956323388502e-08
1892,3.0088859626076214e-08
1893,5.419406567952478e-08
1894,4.7891698606861155e-08
1895,5.717683726480516e-08
1896,3.4792471126365854e-08
1897,3.0298910269621615e-08
1898,4.922768748194528e-08
1899,3.537650172802387e-08
1900,3.6856477869662285e-08
1901,4.19155422592965e-08
1902,3.584507146658922e-08
1903,4.2661739252380926e-08
1904,3.3860139581065596e-08
1905,4.0253920030597357e-08
1906,2.5206503495578403e-08
1907,2.0571373215982902e-08
1908,2.2592389736786345e-08
1909,4.455796759339492e-08
1910,3.5271394693836555e-08
1911,3.937076764604086e-08
1912,2.604710525044851e-08
1913,3.075733978619155e-08
1914,3.2144370609721307e-08
1915,5.654765711238241e-08
1916,1.977743147030253e-08
1917,1.97395633172448e-08
1918,5.2837331843136326e-08
1919,3.2227470136980685e-08
1920,3.558949002169243e-08
1921,2.9533715251162107e-08
1922,4.57432016709447e-08
1923,4.140219722614802e-08
1924,5.1566497294430746e-08
1925,9.788378663166952e-08
1926,1.0365908709175642e-07
1927,8.807887441619755e-08
1928,2.7536759761304097e-07
1929,3.353262441052607e-07
1930,1.6490657173129364e-07
1931,1.9731267553169118e-07
1932,4.0550285618223825e-07
1933,3.315021330774215e-07
1934,1.761292320878738e-07
1935,5.146362083152667e-07
1936,2.582564135877874e-07
1937,1.7375742600300725e-07
1938,1.6465822649802675e-07
1939,2.2176373803972638e-07
1940,3.245802051576874e-07
1941,3.482772998886219e-07
1942,4.976107379484063e-07
1943,4.122593861843882e-07
1944,3.6309005047030496e-07
1945,4.0955876778880906e-07
1946,1.4199526443547938e-07
1947,2.2053611870020973e-07
1948,1.8808366042399882e-07
1949,2.414984063836556e-07
1950,2.329144102031222e-07
1951,1.7271470698076996e-07
1952,1.0755699808573382e-07
1953,1.3036331125704237e-07
1954,1.3095198059254187e-07
1955,1.145044152828234e-07
1956,3.3750817185485005e-07
1957,3.083428143368927e-07
1958,2.1921444465222706e-07
1959,2.619752692556432e-07
1960,1.8617041153135006e-07
1961,2.160877516921289e-07
1962,2.3338400195749287e-07
1963,2.062670988456361e-07
1964,1.8251905264943247e-07
1965,2.4022270350698705e-07
1966,2.1602390831709783e-07
1967,1.4051456764807568e-07
1968,2.034611381040996e-07
1969,1.7531184504093744e-07
1970,2.547693656040906e-07
1971,2.1786805026735578e-07
1972,1.7699006443772092e-07
1973,3.63871455855147e-07
1974,2.5427583372206186e-07
1975,2.181785467847419e-07
1976,1.1427053453472169e-07
1977,2.544646612867574e-07
1978,2.417820627043099e-07
1979,1.49810518212945e-07
1980,2.052339332925257e-07
1981,1.6699450128276894e-07
1982,2.0981357373717202e-07
1983,1.9640633119877293e-07
1984,1.0960125895742578e-07
1985,1.588107336747413e-07
1986,1.6424890514343815e-07
1987,2.2060048177063862e-07
1988,1.4991384372775585e-07
1989,2.310499370716812e-07
1990,2.7134282848395586e-07
1991,1.4653662572250425e-07
1992,1.4987047824988053e-07
1993,1.728232728037682e-07
1994,1.181583532128272e-07
1995,2.2503171376309083e-07
1996,1.3505372686850592e-07
1997,1.5391611141168937e-07
1998,1.1205103456202181e-07
1999,1.096848292192476e-07
2000,1.6788520318389288e-07
2001,1.2793138254307834e-07
2002,1.0953053586337802e-07
2003,1.1084014900353267e-07
2004,1.5372720835182818e-07
2005,1.4366960909839577e-07
2006,1.1900701524236723e-07
2007,9.706584783164551e-08
2008,1.0260429794684e-07
2009,1.3398621589999493e-07
2010,7.369116933331199e-08
2011,8.603936690887437e-08
2012,5.344676867746756e-08
2013,4.351035054472874e-08
2014,6.041592082173253e-08
2015,5.5414385413676825e-08
2016,6.255446993730374e-08
2017,3.622480312936993e-08
2018,6.324593504469789e-08
2019,4.744837300840743e-08
