year,premier_ADJ are_NOUN,premier_ADJ quart_NOUN
1800,3.144164484325529e-09,2.703981465401739e-07
1801,2.3811825844433088e-09,2.7383600809116615e-07
1802,0.0,8.280008501060365e-08
1803,0.0,1.7162984988772223e-07
1804,0.0,1.557266102736321e-07
1805,0.0,1.705726573320021e-07
1806,0.0,2.2188851911408847e-07
1807,0.0,1.9643990345485918e-07
1808,0.0,2.4020383193601447e-07
1809,0.0,6.551188391767937e-08
1810,0.0,1.4976811257838563e-07
1811,0.0,3.08370431412186e-07
1812,0.0,1.360276229434021e-07
1813,0.0,2.674439656402683e-07
1814,0.0,4.1536137018738373e-07
1815,0.0,1.4565007688815967e-07
1816,0.0,1.9004352225238108e-07
1817,1.556873407970727e-09,3.347277868215315e-07
1818,0.0,1.8597036199885508e-07
1819,0.0,1.863189009743138e-07
1820,0.0,1.3171793966648693e-07
1821,0.0,1.1439326641493608e-07
1822,0.0,1.0727409005539812e-07
1823,0.0,9.981513926504704e-08
1824,0.0,1.6505380528997193e-07
1825,0.0,1.7875049707072321e-07
1826,0.0,1.3740455528932216e-07
1827,0.0,1.456329101756637e-07
1828,1.8344602503717056e-09,1.8069433355138997e-07
1829,0.0,1.723208384873942e-07
1830,0.0,2.1917354908751463e-07
1831,0.0,2.2919072306670785e-07
1832,1.3529969367098715e-09,2.25950486765214e-07
1833,1.1583628500844156e-09,2.2472239891158097e-07
1834,0.0,1.6242083233919402e-07
1835,0.0,3.448768168823335e-07
1836,6.720750067579218e-10,2.1775230363285658e-07
1837,2.0873671680021744e-09,2.2613145644889698e-07
1838,1.8936485712828244e-09,3.648429676150755e-07
1839,0.0,3.076248935585113e-07
1840,6.369688665408546e-10,2.8472508839527677e-07
1841,6.420548537278137e-10,2.2086687412326e-07
1842,0.0,1.8581893668212501e-07
1843,1.1813822142769936e-09,2.79987575790841e-07
1844,1.6465684371524958e-09,2.7827005055769405e-07
1845,3.348136878855712e-09,2.271152728106074e-07
1846,5.854501328173001e-10,3.1380127141211744e-07
1847,2.1572894581822766e-09,3.354585054182735e-07
1848,1.6090443422100975e-09,2.91237018001933e-07
1849,0.0,2.865760047043864e-07
1850,4.752297222410107e-09,3.1840390057880086e-07
1851,6.449438760824933e-10,3.9535059048745325e-07
1852,1.9531636308300904e-09,3.1055301707993976e-07
1853,5.971931837933653e-10,5.225440342648824e-07
1854,1.558699391779328e-09,4.011052991970132e-07
1855,5.306937111981824e-10,2.9294292147596934e-07
1856,1.0354378465748937e-09,2.9147576041665957e-07
1857,0.0,3.212032875232751e-07
1858,9.787352039936081e-10,2.936205641956846e-07
1859,0.0,3.3455579018237813e-07
1860,1.8308735638683515e-09,3.652592628355933e-07
1861,4.715963730639317e-10,3.324754480615866e-07
1862,6.325180823552046e-09,3.4472235244109584e-07
1863,2.4973103585068657e-09,3.331411966289721e-07
1864,2.3973640850272204e-09,3.960445182915606e-07
1865,4.706844358715045e-10,3.318325375589737e-07
1866,0.0,3.873028000533907e-07
1867,1.94112459439566e-09,4.624729470492639e-07
1868,9.87974813071446e-10,4.663241099933657e-07
1869,4.883519366671862e-09,4.0044856808307827e-07
1870,1.1468097582678638e-09,3.6296528582724363e-07
1871,1.0621177271019633e-09,3.834244890477123e-07
1872,1.8142017887967654e-09,4.3722263098899816e-07
1873,5.986004469882289e-10,4.752887474701595e-07
1874,0.0,3.536968701811638e-07
1875,1.716458086775674e-09,4.874740966442914e-07
1876,5.441413541973361e-09,5.598609855717029e-07
1877,0.0,4.7437538341910113e-07
1878,6.039088673581716e-10,5.018482712726424e-07
1879,0.0,4.801929773812219e-07
