year,premier_ADJ âge_NOUN,premier_ADJ age_NOUN,premier_ADJ gage_NOUN
1800,2.873766375532938e-06,2.515331676278265e-08,1.0375742931501009e-07
1801,3.4717641028692015e-06,5.000483538353251e-08,1.8811341817581706e-07
1802,3.0524139447152265e-06,4.475680270843441e-09,1.0294064622939914e-07
1803,3.719296905124736e-06,4.095712347051972e-08,1.326230716358623e-07
1804,3.2356529597876715e-06,1.903325308472148e-07,1.0134588990240445e-07
1805,3.3517527127102653e-06,3.127165504324125e-08,1.1087222873129576e-07
1806,2.472472001358028e-06,7.780506372512264e-08,1.0950342499427279e-07
1807,2.6334335423428e-06,1.7081730696588693e-08,1.6227643584443285e-07
1808,2.7804726805413793e-06,1.8128591516841652e-08,7.024829073998262e-08
1809,2.50526476630597e-06,4.0662549771752765e-08,1.4457795316502597e-07
1810,2.4735140744525097e-06,2.3401267590372754e-08,4.914266327205041e-08
1811,1.3839064059162354e-06,2.5070768128188092e-08,9.777599530025327e-08
1812,2.9419306173394943e-06,3.200649922874277e-08,6.13457871168066e-08
1813,2.5364040538988775e-06,3.163315875909234e-08,5.176335093892703e-08
1814,2.001286567576699e-06,9.440031423224582e-09,2.8320093292677484e-07
1815,3.277126658929319e-06,3.506390644503199e-08,1.9420009778059466e-07
1816,2.618892334993461e-06,5.5622493277951435e-08,1.7613788827475219e-07
1817,4.310982255617546e-06,9.341240558846664e-09,1.0742426326260102e-07
1818,3.051821503063934e-06,2.026600132154499e-08,1.418620172444207e-07
1819,2.871381220792557e-06,4.0369095621883844e-08,1.583710655950199e-07
1820,2.6747047456865403e-06,4.034603584557317e-08,2.0173017389879533e-07
1821,2.104441627182041e-06,3.944595250437999e-08,1.3806084098177962e-07
1822,2.598639667894531e-06,3.408709403629473e-08,1.4637399203820678e-07
1823,2.6890790305600376e-06,2.1741911493400323e-08,1.4428722749926237e-07
1824,2.650966225203888e-06,2.105278174013847e-08,7.663212642228245e-08
1825,2.1960774514440118e-06,1.7610886082763955e-08,9.68598712347557e-08
1826,2.356135833991857e-06,3.699353445796305e-08,8.367585024871005e-08
1827,2.4812898544723794e-06,2.9495273945467915e-08,1.2166800900104136e-07
1828,2.471935289349858e-06,4.310981527311242e-08,9.539193257523948e-08
1829,2.632822470260976e-06,4.372319822865123e-08,1.0030615982259405e-07
1830,2.634257318945288e-06,4.5922077251958626e-08,7.305784777145163e-08
1831,1.9005679963157718e-06,1.870944732473845e-08,9.510635834431014e-08
1832,2.6004601560991603e-06,2.7059938956242036e-08,1.0012177398266431e-07
1833,3.0360689233788207e-06,8.34021243178995e-08,8.340212787061319e-08
1834,2.468983446135553e-06,2.5203234166326638e-08,1.0361329572106115e-07
1835,2.4527093529513877e-06,2.949604294144592e-08,1.2705987728622858e-07
1836,2.595553691975283e-06,5.645430167788845e-08,1.317267077638462e-07
1837,2.643302727367569e-06,4.244313434043079e-08,9.323574090558395e-08
1838,2.317194552681201e-06,2.5879864029576538e-08,1.0856918208901334e-07
1839,2.234475452667084e-06,4.544458853672495e-08,1.0417298312859202e-07
1840,2.216651740383213e-06,4.4587820269281764e-08,9.681927082283437e-08
1841,2.272232153543996e-06,3.467096254539115e-08,1.1300165425609521e-07
1842,2.191590120492748e-06,3.6895457355967665e-08,1.0599058697380315e-07
1843,2.2735700300202666e-06,4.72552887376132e-08,1.0396163219184018e-07
1844,2.2437237525707587e-06,5.488561344302312e-08,1.289811848437239e-07
1845,1.9000675983704696e-06,4.1293686692256415e-08,1.1606874039671311e-07
1846,1.991115880173311e-06,4.507966089306592e-08,1.270426821520232e-07
1847,1.7387753095121639e-06,3.5055954583640414e-08,1.407631344818583e-07
1848,1.5857131803187485e-06,5.551203052789333e-08,1.641225253479206e-07
1849,1.6457171465589227e-06,4.1897074254393374e-08,1.106082763158156e-07
1850,2.012937361683953e-06,2.9192682937662084e-08,5.7706465383944305e-08
1851,1.7394136100357116e-06,2.7087643239553927e-08,1.386629264743533e-07
