year,furent_VERB à_ADP,furent_VERB a_ADP,furent_VERB pas_ADV
1800,1.603523855919775e-06,3.144164484325529e-09,5.838713605044177e-06
1801,1.6692090412107063e-06,1.1905913144261149e-08,5.9934363889624365e-06
1802,1.6380989791286993e-06,6.713520406265161e-09,5.717681688111043e-06
1803,1.5017611758594285e-06,1.1702035340732664e-08,5.671586677635787e-06
1804,1.1790729104177444e-06,7.4155528384522995e-09,5.126618816575501e-06
1805,1.4328103361549438e-06,2.842877711017877e-09,6.151987236080458e-06
1806,1.2448811048670905e-06,1.4408345627714425e-08,5.803681688121287e-06
1807,1.4434062904911116e-06,2.8469551160981155e-09,5.83910514251329e-06
1808,1.6519679775228724e-06,1.8128591960930862e-08,6.014160589984385e-06
1809,1.8004473076871363e-06,9.036122294858728e-09,6.768055300199194e-06
1810,1.471939754082996e-06,7.020380277111826e-09,6.049227522453293e-06
1811,1.6521636325705913e-06,2.757784489659798e-08,6.6587958826858085e-06
1812,1.2695911664195592e-06,1.8670457180292033e-08,5.414432507677702e-06
1813,1.420616399627761e-06,2.0130191291656274e-08,6.257613677007612e-06
1814,1.7464058146288153e-06,7.237357380063258e-08,6.277620741457213e-06
1815,1.7154342231151531e-06,1.618334155573109e-08,7.312173238460673e-06
1816,1.6964860378720914e-06,3.476405829871965e-08,5.991006219119299e-06
1817,1.4868140851831413e-06,3.113746738225842e-08,7.491674750781385e-06
1818,1.7154574152300484e-06,1.3113294672351117e-08,7.366095360339386e-06
1819,1.8642241457200726e-06,1.5526575580793178e-08,7.729128810751718e-06
1820,1.9971287201769883e-06,1.3053129244156025e-08,8.205671292671468e-06
1821,1.8253614371133153e-06,7.889190523080458e-09,7.394143722194713e-06
1822,2.1324485715012997e-06,6.015369535816717e-09,7.088110578479245e-06
1823,2.3194666027848143e-06,1.0870955913233615e-08,7.76680371927796e-06
1824,2.9061259283480467e-06,4.6316119828304636e-08,8.053952115005814e-06
1825,2.366903117945185e-06,1.937197513512956e-08,8.079874532995746e-06
1826,3.0273042739281664e-06,1.3211976734872621e-08,8.327949217346031e-06
1827,2.649966063472675e-06,1.1060727833633877e-08,7.703796654823236e-06
1828,2.236207137684687e-06,2.659967268670016e-08,7.160815584938973e-06
1829,1.7086340449168347e-06,1.4574399131994653e-08,7.416654625558294e-06
1830,1.8588004877528874e-06,6.157733123401954e-08,7.635589099663775e-06
1831,1.5107879107745248e-06,1.4032085271509231e-08,6.464113994297804e-06
1832,1.355702920591284e-06,1.488296597074168e-08,6.890813438076293e-06
1833,1.8545389366408926e-06,1.5058717495186613e-08,6.959443908272078e-06
1834,1.9546507701306837e-06,1.2134890647885754e-08,6.4753639890113845e-06
1835,2.3385068743664306e-06,2.7227116561334697e-08,6.717534688505111e-06
1836,2.974604058181285e-06,3.2931675331138166e-08,7.947958692966495e-06
1837,2.2919293769518845e-06,1.4611571286238245e-08,7.844326319172978e-06
1838,2.9338928015931742e-06,2.9667161172142187e-08,8.32826663099695e-06
1839,2.177145461246255e-06,4.684288257283953e-08,7.782909960951656e-06
1840,1.8733254592007142e-06,5.541629177763241e-08,7.908605766715482e-06
1841,1.8613170595926931e-06,1.6693426196923156e-08,6.9688635448983405e-06
1842,1.8742892962109181e-06,1.2074877542289641e-08,6.837734417786123e-06
1843,1.5511548099311767e-06,1.1813822142769936e-08,6.924671652086545e-06
1844,1.5614956510034972e-06,2.03076760407761e-08,7.890355846029706e-06
1845,1.5423750028276118e-06,1.3392546627244428e-08,6.399405265256064e-06
1846,1.5502719179494306e-06,2.1076204115288988e-08,6.736189334333176e-06
1847,1.5311361494241282e-06,2.3190861675459473e-08,6.5047670432250015e-06
1848,1.4730801467521815e-06,1.367687652020777e-08,6.4321548052248545e-06
1849,1.406903720635455e-06,2.0948537349241292e-08,5.151664481672924e-06
1850,1.6198544017242966e-06,2.647708541303473e-08,6.208536888152594e-06
1851,1.4685372207168257e-06,2.2573035218798054e-08,6.5281219576718286e-06
1852,1.2929942840855801e-06,1.3672145193766028e-08,5.8165214795735665e-06
1853,1.4213197800927446e-06,3.3442819624696085e-08,6.250821115827421e-06
1854,1.7275584696108126e-06,7.689583353398532e-08,6.56004613119876e-06
1855,1.4249126252252609e-06,1.8574279891936385e-08,6.607667273783591e-06
1856,1.3124174529366428e-06,2.1744194111938953e-08,6.36276536170044e-06
1857,1.7549025415064534e-06,2.147863942258965e-08,6.406004558812128e-06
1858,1.3937188896306907e-06,3.0340791878913365e-08,6.57514328850084e-06
1859,1.413078052792116e-06,2.647930097410267e-08,6.707919965265319e-06
1860,1.5978948795236647e-06,1.6020143822625954e-08,6.307817329798127e-06
1861,1.3784762131763273e-06,3.254014968590013e-08,6.296283117990242e-06
1862,1.3992203093948774e-06,1.2650361702615243e-08,6.089793714636471e-06
1863,1.4239664096749038e-06,1.2486552236623538e-08,6.218802354851505e-06
1864,1.4101294709689682e-06,3.0206784629172034e-08,6.005876002745936e-06
1865,1.3861656498193042e-06,1.647395531101381e-08,6.296816536632832e-06
1866,1.4003234127812902e-06,2.432806489593986e-08,6.178355306474259e-06
1867,1.3481110272550723e-06,3.008743121313273e-08,5.565689662034856e-06
1868,1.3718030231757439e-06,2.1735446775750233e-08,5.7929901231545955e-06
1869,1.3092715107632102e-06,1.90457244420017e-08,5.440240329335211e-06
1870,1.4587419627787312e-06,2.2362789842134134e-08,6.079812010284513e-06
1871,1.2904730510854279e-06,4.35468270332251e-08,5.357321697374573e-06
1872,1.3793980997434119e-06,3.265563275345329e-08,5.686918029823573e-06
1873,1.3408649692792096e-06,3.172582285770886e-08,5.44965860171942e-06
1874,1.3950711945653893e-06,1.2546678807012768e-08,5.447051080409437e-06
1875,1.3800323586110608e-06,2.002534571499126e-08,5.783319465990644e-06
1876,1.3881649465474766e-06,1.3905833595728723e-08,5.420252364274347e-06
1877,1.394676019117469e-06,2.9068634499473944e-08,5.328837232809747e-06
1878,1.410731101714191e-06,4.227362238040655e-08,6.014328391756862e-06
1879,1.5988103996278369e-06,3.726688435623515e-08,5.529550435312558e-06
1880,1.1404513315937947e-06,2.2462462556660512e-08,5.801733095722739e-06
1881,1.3150149698049063e-06,2.37065260755287e-08,5.122004040458705e-06
1882,1.0921487501036609e-06,2.861815540100565e-08,5.504003638634458e-06
1883,1.267027414542099e-06,3.8547967762259105e-08,4.908862592856167e-06
1884,1.191606315842364e-06,3.300848483434038e-08,5.561929810937727e-06
1885,1.2291827715671388e-06,4.963139632607749e-08,5.209362825553399e-06
1886,1.1622688589341124e-06,6.130790708436251e-08,5.387351848185062e-06
1887,1.0472394933458418e-06,3.656197755663726e-08,4.561106834444217e-06
1888,1.1495534408823005e-06,3.106901136362694e-08,4.9754803512769286e-06
1889,1.1089291547250468e-06,5.200063668553412e-08,5.0835319598263595e-06
1890,9.543186934024561e-07,2.294035211791723e-08,4.525803888100199e-06
1891,9.758930445968872e-07,4.716922674674606e-08,4.4007615542795975e-06
1892,1.187256202683784e-06,2.4447199153954102e-08,4.692608399636811e-06
1893,9.705664751891163e-07,5.665743163518755e-08,4.633592652680818e-06
1894,1.0989884913215064e-06,3.087754318897851e-08,4.8061838242574595e-06
1895,1.221176830767945e-06,4.694519462056235e-08,4.968366283719661e-06
1896,1.1245634823353612e-06,2.4767522144308884e-08,4.990655725123361e-06
1897,9.643210887588793e-07,2.2141510847006884e-08,4.621166681317845e-06
1898,1.0507565093575977e-06,2.716010383263523e-08,4.7609396460757125e-06
1899,9.772758176040952e-07,2.7637891975018647e-08,4.723868642031448e-06
1900,1.0584557230686187e-06,3.789468627779513e-08,4.921118488709908e-06
1901,1.0752734169727773e-06,3.856229868759442e-08,4.817492936126655e-06
1902,9.049653044712613e-07,1.7185994238833047e-08,4.196819645585492e-06
1903,1.034142201206123e-06,1.78207268941577e-08,4.846157480642432e-06
1904,1.0303156159352511e-06,2.2573424907079698e-08,4.7382695811393205e-06
1905,1.099757696465531e-06,2.8900250415020423e-08,4.524437372310786e-06
1906,1.0226639233223977e-06,3.446603624723821e-08,4.826788426726125e-06
1907,9.653117558627855e-07,1.0285686968813934e-08,4.743758836411871e-06
1908,1.0726473647082457e-06,2.7994918383456024e-08,4.892234755971003e-06
1909,1.0066800086860894e-06,2.6954819487556847e-08,4.921179879602278e-06
1910,1.0137854360436904e-06,2.1376603043243847e-08,4.946545686834725e-06
1911,1.0369409437771537e-06,6.278041464469197e-08,5.198537564865546e-06
1912,1.087727127924154e-06,2.4484280158887373e-08,4.8812275963427965e-06
1913,1.007568016575533e-06,2.6514949236222662e-08,4.80822063764208e-06
1914,1.115007876251184e-06,2.276892946406761e-08,4.891301614406984e-06
1915,1.0967888783852686e-06,5.0657276151611086e-08,4.654579242924228e-06
1916,1.1613747119554318e-06,9.888715624128963e-09,5.126749783812556e-06
1917,9.946546697392478e-07,1.973956376133401e-08,4.824129973712843e-06
1918,1.1532322332641343e-06,2.8715940736390166e-08,5.255017185845645e-06
1919,1.184129246212251e-06,1.381177283654722e-08,5.193226570554543e-06
1920,1.0843435802598833e-06,1.817335526510533e-08,4.762176558870124e-06
1921,1.1260675591984182e-06,1.9689143759826777e-08,4.8995675570040476e-06
1922,1.1812074944828055e-06,1.2542490157585462e-08,4.841401278099511e-06
1923,9.915295322571183e-07,6.369568872344189e-09,4.728343355964171e-06
1924,1.0738723403846961e-06,2.4494086758863887e-08,4.784081738762325e-06
1925,1.1119158216388314e-06,1.429763130111894e-08,4.652229108614847e-06
1926,1.1056969242417836e-06,3.1209186346359274e-08,4.675805030274205e-06
1927,1.1829328059320687e-06,1.672383753703599e-08,4.6681802814418916e-06
1928,1.1323206763336202e-06,1.2568645679778001e-08,4.805792741535697e-06
1929,1.1819971632576198e-06,8.912325322185666e-09,4.635523055185331e-06
1930,1.1490942597447429e-06,3.7812972752959695e-08,4.812751285498962e-06
1931,1.2352001022009063e-06,2.9653928201867075e-08,4.3283330342092086e-06
1932,1.2406195537550957e-06,1.8631212350683768e-08,4.739999440062093e-06
1933,1.1126542176498333e-06,5.047091433674211e-08,4.647912192012882e-06
1934,1.1658077028187108e-06,1.677421224144382e-08,4.366087978269206e-06
1935,1.0891138799706823e-06,5.146362003216609e-08,4.308582447265508e-06
1936,1.2112590184187866e-06,2.3036957230715416e-08,4.1769640120037366e-06
1937,1.201192617372726e-06,2.7700460147883632e-08,4.030417130707065e-06
1938,9.801701708056498e-07,7.779128785578848e-09,4.154054749960778e-06
1939,9.650545962358592e-07,2.7529290846928234e-08,4.1997463995357975e-06
1940,1.0827792493728339e-06,6.339457225834622e-08,4.49594290330424e-06
1941,1.148134515460697e-06,5.312704676185831e-08,4.049461495014839e-06
1942,1.2713347814496956e-06,1.2136847082899749e-08,4.266101768735098e-06
1943,1.213552309309307e-06,2.322588166236983e-08,4.560982688417425e-06
1944,1.3623908898807713e-06,3.8558232162699824e-08,4.755515419674339e-06
1945,1.2918528682348551e-06,2.832055345791673e-08,5.1238416745036375e-06
