year,veulent_VERB unir_VERB,veulent_VERB punir_VERB
1800,2.2009151834367913e-08,1.5720821977538435e-08
1801,4.7623651688866175e-09,7.143547975374531e-09
1802,0.0,1.5664880947952042e-08
1803,0.0,9.751696339321825e-09
1804,4.943701892301533e-09,4.943701892301533e-09
1805,2.842877711017877e-09,8.528632911009026e-09
1806,0.0,0.0
1807,2.8469551160981155e-09,1.7081731584767113e-08
1808,9.064295980465431e-09,0.0
1809,0.0,1.8072244145628247e-08
1810,0.0,3.978215445954447e-08
1811,2.0056614147279106e-08,5.0141535368197765e-09
1812,2.400487453257938e-08,1.0668832928217853e-08
1813,2.8757416448144113e-09,8.627225156487839e-09
1814,3.1466771410748606e-09,1.5733386149463513e-08
1815,0.0,2.966945977789237e-08
1816,4.6352077731626196e-09,1.8540831092650478e-08
1817,0.0,2.80237220096069e-08
1818,2.384235475716423e-09,8.344824387052086e-09
1819,0.0,2.070209959015301e-08
1820,2.0173018810965004e-08,6.763894333516873e-08
1821,0.0,2.9584464655840748e-08
1822,0.0,1.804610860745015e-08
1823,9.882686891060644e-10,3.9530747564242574e-09
1824,2.5263338088166165e-08,1.1789557774477544e-08
1825,3.522177216552791e-09,2.905796137042671e-08
1826,9.688783109140786e-09,2.2019960965735663e-08
1827,1.8434546111834038e-09,1.8434546333878643e-08
1828,4.586150570418113e-09,2.7516904310687096e-09
1829,5.143905745796928e-09,6.858540846366168e-09
1830,5.218417697960831e-09,1.1480519646056564e-08
1831,1.5591206548037917e-08,9.354723218280014e-09
1832,8.117981842303834e-09,1.3529969367098715e-09
1833,3.4750886612755494e-09,3.59092489077284e-08
1834,0.0,1.0267983796552471e-08
1835,1.5882484660778573e-08,1.5882484660778573e-08
1836,6.72075017860152e-09,2.2850549896702432e-08
1837,0.0,8.349468672008697e-09
1838,3.1560809521380406e-09,5.049729523420865e-09
1839,1.3283802502428443e-08,6.9914749545318955e-09
1840,4.458782232319436e-09,8.917564464638872e-09
1841,8.988767952189392e-09,3.2102742686390684e-09
1842,2.0124795163667386e-09,1.542900918138912e-08
1843,0.0,8.860366662588604e-09
1844,1.0428266250528395e-08,1.4819115712327857e-08
1845,4.464182357111213e-09,1.0044410636567136e-08
1846,8.196302303531411e-09,5.854501328173001e-09
1847,7.550513103637968e-09,5.3932236454556914e-09
1848,1.528592186161859e-08,6.43617736884039e-09
1849,2.513824481908955e-09,8.379414939696517e-10
1850,1.3577992064028876e-09,1.2899092460827433e-08
1851,1.2898877521649865e-08,1.2253933867611977e-08
1852,1.9531636308300904e-09,1.1067927019325907e-08
1853,5.971931837933653e-09,1.5527023222716707e-08
1854,8.313063126763609e-09,6.234797567117312e-09
1855,1.0613874223963649e-09,1.6451505047143655e-08
1856,0.0,5.177189343896771e-09
1857,6.8341128311999455e-09,1.9037885934380938e-08
1858,2.936205500958522e-09,9.787352039936081e-10
1859,5.601390462572908e-09,6.619825576592575e-09
1860,9.15436793036406e-09,1.2358396972445007e-08
1861,4.715963619617014e-09,1.8863854478468056e-08
1862,5.421583626485926e-09,8.584174260306554e-09
1863,1.048870412745373e-08,3.496234635136375e-09
1864,4.794728170054441e-09,9.589456340108882e-09
1865,3.294791106611683e-09,8.001635798393636e-09
1866,8.271541673821048e-09,7.784980660119345e-09
1867,4.367530337390235e-09,7.76449837758264e-09
1868,4.93987406535723e-10,1.3831646938911035e-08
1869,4.883519366671862e-09,0.0
1870,5.734048791339319e-09,7.454262984651905e-09
1871,6.37270636261178e-09,1.0621177271019633e-09
1872,3.628403577593531e-09,6.652073114565837e-09
1873,3.591602570907071e-09,4.788803575905831e-09
1874,6.572069999322139e-09,2.9873046258899194e-09
1875,5.721527251978387e-09,2.8607636259891933e-09
1876,6.04601479992084e-10,7.859819461941697e-09
1877,1.8554447978047506e-09,7.421779191219002e-09
1878,5.435179861734696e-09,4.831270938865373e-09
1879,3.665595160740054e-09,6.720257683667796e-09
1880,2.5671385017744797e-09,8.343199908722454e-09
1881,7.669758161910067e-09,6.9725074602899895e-09
1882,2.6621540527571597e-09,5.324308105514319e-09
1883,8.21514056781325e-09,7.58320695126713e-09
1884,1.9805090900604227e-09,1.3203393933736152e-09
1885,5.80107206715752e-09,7.090199094506033e-09
1886,2.5813855497602844e-09,8.38950331427668e-09
1887,3.9173548849191775e-09,9.793386546164129e-09
1888,1.268122939990235e-09,6.340614699951175e-10
1889,1.8795409673089125e-09,2.5060546970934183e-09
1890,6.554386366985909e-09,1.3108772956016423e-09
1891,6.374220040683554e-10,8.92390783491237e-09
1892,3.1342561879199593e-09,8.775916882086676e-09
1893,0.0,4.310891643655168e-09
1894,2.520615716150587e-09,5.671385139294216e-09
1895,4.814891596538473e-09,3.611168697403855e-09
1896,1.7691086373616827e-09,2.358811590497112e-09
1897,5.2440420894583895e-09,4.078699600285063e-09
1898,5.6583548957434e-10,3.3950129374460403e-09
1899,2.2110313580014918e-09,1.1055156790007459e-09
1900,1.038210584169974e-08,7.786579381274805e-09
1901,5.58873880507349e-09,5.588738916095792e-10
1902,9.820567692386817e-10,2.9461704187383475e-09
1903,2.7001101354784396e-09,7.020286574288548e-09
1904,2.1498500757388683e-09,2.6873125946735854e-09
1905,3.6125313851442797e-09,7.2250627702885595e-09
1906,3.600929110447737e-09,7.716276506641861e-09
1907,9.257117739025489e-09,1.5428529565042481e-09
1908,7.858222517143076e-09,3.437972351250096e-09
1909,1.0451868703853506e-08,5.5009836685826485e-09
1910,5.34415089958884e-09,8.550641084070776e-09
1911,2.6601871816467337e-09,1.0108711201439746e-08
1912,5.730363294986773e-09,1.6670147928721235e-08
1913,2.6514948014977335e-09,2.121195885607108e-09
1914,7.366418142140674e-09,6.696743715117748e-10
1915,2.3561523843085297e-09,1.295883844676382e-08
1916,1.3184954461564757e-08,6.592477230782379e-09
1917,4.386569774084137e-09,8.773139548168274e-09
1918,1.378365155346728e-08,0.0
1919,1.8415696745321952e-09,1.3811772170413406e-08
1920,6.057785384427916e-09,6.815008557481406e-09
1921,1.5145494858259667e-09,4.543648568500203e-09
1922,2.951174193910333e-09,5.902348387820666e-09
1923,5.307974060286824e-09,9.554353752605493e-09
1924,1.289162443462999e-09,5.156649773851996e-09
1925,4.399271169575059e-09,6.598906754362588e-09
1926,1.1146138456652466e-09,6.687683296036084e-09
1927,4.4596899506643695e-09,8.919379901328739e-09
1928,3.4278122562625413e-09,3.4278122562625413e-09
