year,eurent_VERB assez_ADV,eurent_VERB passé_VERB
1800,2.2323567350213125e-07,1.3834323908668011e-07
1801,1.619204113012529e-07,1.0239084957675004e-07
1802,2.1707049313590687e-07,1.6336232988578558e-07
1803,2.106366423504369e-07,8.971560561121805e-08
1804,1.5819846055364906e-07,1.3100809326260787e-07
1805,1.6204403152642044e-07,1.3930100806192058e-07
1806,2.3917854719002207e-07,9.221341201737232e-08
1807,1.5942949005420815e-07,1.537355700520493e-07
1808,2.628645745517133e-07,1.0423940466353088e-07
1809,1.581321384946932e-07,1.1521055398588942e-07
1810,2.4805342491163174e-07,6.552355102940055e-08
1811,2.1560860830049933e-07,1.3287507272252697e-07
1812,5.867858021701977e-08,1.520308643421231e-07
1813,1.8979895344273245e-07,6.901780125190271e-08
1814,1.1013369771717407e-07,1.5104049566616595e-07
1815,2.346584437873389e-07,2.0768621311617608e-07
1816,2.248075787747439e-07,8.806894413737609e-08
1817,2.568841068750771e-07,1.2766362544880394e-07
1818,2.3365507217931736e-07,2.360393125400151e-07
1819,2.1116142079335987e-07,1.676870056144253e-07
1820,2.8479553293436766e-07,1.8393045309039735e-07
1821,2.1103585368109634e-07,1.3017164235407108e-07
1822,1.9850719468195166e-07,1.4236374568099563e-07
1823,3.4589405117912975e-07,3.103163805917575e-07
1824,3.494761813271907e-07,3.7052896573186445e-07
1825,2.879379792375403e-07,2.9938505008431093e-07
1826,1.5766292449370667e-07,2.334115833946271e-07
1827,2.820485462962097e-07,2.0738863781843975e-07
1828,2.568244212852733e-07,1.467568182533796e-07
1829,2.426208709493949e-07,1.6374765721138829e-07
1830,2.0978039572128182e-07,1.889067249294385e-07
1831,1.1225668572478753e-07,1.8397622625343502e-07
1832,1.7724259748774784e-07,1.27181706943702e-07
1833,1.8997150164068444e-07,1.158362863407092e-07
1834,1.9042443000216736e-07,1.0081293311259287e-07
1835,2.677332986422698e-07,2.2386740283764084e-07
1836,1.5256102869898314e-07,2.432911401228921e-07
1837,1.871672594688789e-07,1.9342937207511568e-07
1838,2.2155688839120558e-07,3.036149962554191e-07
1839,1.7548602215811115e-07,1.9506215664932824e-07
1840,1.598791925516707e-07,1.8917975808108167e-07
1841,1.4959877603359928e-07,8.988767774553708e-08
1842,1.9051472577302775e-07,1.25444557852461e-07
1843,1.494448440553242e-07,1.50035546653271e-07
1844,1.7508510552488588e-07,1.410560201975386e-07
1845,1.1160455670733427e-07,1.3559953515596135e-07
1846,1.6802418656425289e-07,1.3406807397586817e-07
1847,1.6449331496914965e-07,9.761734531821276e-08
1848,1.5607730574629386e-07,1.2228737489294872e-07
1849,9.049767868418712e-08,8.295620546050486e-08
1850,1.262753244191117e-07,1.3238542351245997e-07
1851,1.1931462040593033e-07,1.457573119978406e-07
1852,1.0416872697760482e-07,1.0807505645971105e-07
1853,1.6004777592115715e-07,1.3914601026954188e-07
1854,1.4703729789289355e-07,1.5483080062494992e-07
1855,1.363882802252192e-07,1.2259025083949382e-07
1856,1.289120064029703e-07,7.972871429728912e-08
1857,1.2887184652754513e-07,1.0251169157982076e-07
1858,1.1010771316932733e-07,1.2136317195654556e-07
1859,1.3901633622026566e-07,8.656694916453489e-08
1860,1.3914639396261919e-07,9.062824091188304e-08
1861,1.362913479852068e-07,9.573406600793533e-08
1862,1.0707627495776251e-07,7.861296325017975e-08
1863,1.4634238709732017e-07,9.839403247724476e-08
1864,9.637403053375238e-08,1.0931979943507031e-07
1865,1.0872810207729344e-07,7.295609094626343e-08
1866,1.3721027869451063e-07,8.222885838904403e-08
1867,1.1209994710270621e-07,1.552899675516528e-07
1868,7.805000734606438e-08,7.656804967837161e-08
1869,1.0792577143092785e-07,7.276443625414686e-08
1870,1.0435968533784035e-07,7.339582452914328e-08
1871,9.240424247991541e-08,5.416800519242315e-08
1872,9.312902449210014e-08,6.47065334646868e-08
1873,1.0295927665993077e-07,9.936767497720211e-08
1874,8.304706966555386e-08,9.021659508334778e-08
1875,9.841026837875688e-08,1.0012672646553256e-07
1876,8.222580305528027e-08,7.013377256726017e-08
1877,9.462768701951063e-08,8.411349483594677e-08
1878,1.008527803492143e-07,6.582606459915041e-08
1879,1.2707396024325135e-07,1.2401930860050925e-07
1880,9.947661538944885e-08,7.187988160239911e-08
1881,6.763332294212887e-08,4.044054335849978e-08
1882,7.121261802467416e-08,7.254369904785563e-08
1883,8.720687816321515e-08,6.5721124542506e-08
1884,7.988053596363898e-08,4.885255577846692e-08
1885,7.799219048365558e-08,6.381179673553561e-08
1886,9.809264867044476e-08,5.808117364836107e-08
1887,6.398346386049525e-08,7.051238526400994e-08
1888,4.375024076352929e-08,5.326116436776829e-08
1889,4.9494580878217675e-08,1.052542941692991e-07
1890,6.751017878059429e-08,4.260351360585446e-08
1891,7.075384189647593e-08,4.143242904319777e-08
1892,3.8864776286118285e-08,4.8894396087462155e-08
1893,5.049901474762919e-08,2.894455697344256e-08
1894,8.255016581415475e-08,5.419323656496999e-08
1895,6.801034402315054e-08,3.5509824414248214e-08
1896,5.5432071377481407e-08,7.13540515562272e-08
1897,5.535378022614168e-08,5.477110676110897e-08
1898,6.393941021087812e-08,5.828105642535775e-08
1899,5.7486815308038786e-08,3.8693048765026106e-08
1900,5.6582479146527476e-08,3.5818267463127995e-08
1901,4.191554126009578e-08,4.359216276839106e-08
1902,4.468358127951433e-08,5.106695155632224e-08
1903,4.860198288270112e-08,5.130209146386733e-08
1904,5.320879026271541e-08,4.568431322127253e-08
