year,tout_DET aimant_NOUN,tout_DET paiement_NOUN
1800,0.0,1.1318992676478956e-07
1801,4.7623651688866175e-09,5.9529566165394954e-08
1802,4.0281122437590966e-08,1.4545960880241182e-07
1803,5.851017448321727e-09,1.033679772888263e-07
1804,0.0,1.977480703629908e-07
1805,0.0,1.4498676748075923e-07
1806,0.0,8.068673551520078e-08
1807,0.0,2.8184855693780264e-07
1808,1.5862518409903714e-08,2.0621273222332093e-07
1809,0.0,1.1746958961111886e-07
1810,0.0,2.0593115124256656e-07
1811,0.0,2.1059445032278745e-07
1812,0.0,7.468182872116813e-08
1813,0.0,1.782959859752964e-07
1814,0.0,9.440031512042424e-08
1815,0.0,1.2407228489053068e-07
1816,0.0,1.8772591836579977e-07
1817,0.0,4.514932872012878e-08
1818,1.0729059418679299e-08,1.5020683008515334e-07
1819,2.5877625375869684e-08,1.4698491490605647e-07
1820,0.0,7.475883112562087e-08
1821,0.0,1.084763683323331e-07
1822,6.015369535816717e-09,8.922798144794797e-08
1823,6.917880934764753e-09,1.3242800633861407e-07
1824,1.6842225392110777e-08,1.2547457828304687e-07
1825,6.163809906922779e-09,1.5761742844233595e-07
1826,8.807984341885344e-10,1.7968288545944233e-07
1827,6.452091028119611e-09,1.8434545623335907e-07
1828,1.0089531432555532e-08,1.8803217471941025e-07
1829,1.714635211591542e-09,1.68891570950791e-07
1830,1.461157062010443e-08,2.1917355041978226e-07
1831,0.0,1.4343909882086336e-07
1832,1.0823975715723577e-08,9.876877449244148e-08
1833,8.108539617524002e-09,2.1661384863591593e-07
1834,0.0,3.397769319235522e-07
1835,4.5378527602224494e-09,1.7319472078725084e-07
1836,1.8146025126952736e-08,1.9826213204510168e-07
1837,1.1132625266085938e-08,1.4750728993817575e-07
1838,5.680945491803868e-09,1.559103939285933e-07
1839,4.194885327990505e-09,1.8177836125232716e-07
1840,7.0066574764382494e-09,1.7962521781100804e-07
1841,6.420548537278137e-10,1.566613825332297e-07
1842,0.0,1.7978149635666796e-07
1843,1.1813822142769936e-09,9.628264763250627e-08
1844,4.390849017710252e-09,1.6246140965847644e-07
1845,4.464182357111213e-09,1.0937246841535853e-07
1846,1.3465353276842507e-08,1.0830827434915591e-07
1847,3.775256551818984e-09,1.2458346887456173e-07
1848,4.02261068899179e-09,7.88431737674955e-08
1849,2.513824481908955e-09,9.971503622807631e-08
1850,1.3577992064028876e-09,6.585326239871847e-08
1851,3.8696632564949596e-09,1.0448091103398838e-07
1852,1.3672145193766028e-08,1.0221556046019487e-07
1853,1.0152283902442605e-08,8.838459031323964e-08
1854,1.1430461910322265e-08,6.546537356655335e-08
1855,1.0083180512765466e-08,6.739810132216917e-08
1856,1.2942972915652717e-08,1.0872097533365377e-07
1857,1.9526036343364694e-09,6.248331674285623e-08
1858,0.0,7.340514329712278e-08
1859,1.476730293603623e-08,7.587338402004207e-08
1860,9.15436793036406e-09,7.415037872604557e-08
1861,1.4147891747029462e-09,4.1500479497358356e-08
1862,9.035972525772706e-10,9.984749915759039e-08
1863,3.496234635136375e-09,7.941447321968553e-08
1864,4.794727948009836e-10,4.938569908574664e-08
1865,4.706844358715045e-10,1.1155221280034766e-07
1866,2.432806400776144e-09,7.347075481334286e-08
1867,9.7056229719783e-09,7.910083077433683e-08
1868,3.457911734727759e-09,6.174842459572005e-08
1869,2.441759683335931e-09,7.471784257973013e-08
1870,2.8670243956696595e-09,7.74096586830808e-08
1871,1.1683295220166201e-08,1.6993883633631413e-07
1872,7.861540751719076e-09,6.349706183073067e-08
1873,9.577607151811662e-09,6.225444693086502e-08
1874,5.377148060148329e-09,4.301718492527584e-08
1875,1.716458086775674e-09,7.609631147431628e-08
1876,4.836811839936672e-09,5.562333704745015e-08
1877,4.9478527941460015e-09,5.07154904738627e-08
1878,1.3285995414946683e-08,8.696287778775513e-08
1879,5.498392852132383e-09,9.163988057281358e-08
1880,6.417846254436199e-10,8.53573531856e-08
1881,0.0,8.92480951364405e-08
1882,1.9966155395678697e-09,7.653692613018848e-08
1883,3.1596695260205365e-09,8.594300737740923e-08
1884,4.621187876807653e-09,9.902545627937798e-08
1885,7.090199094506033e-09,9.346171836455142e-08
1886,3.872078324640427e-09,9.422057178909427e-08
1887,5.8760321608453125e-09,7.899998966109933e-08
1888,2.53624587998047e-09,7.735549889531512e-08
1889,3.132568426877924e-09,8.395282957707195e-08
1890,2.6217545912032847e-09,8.848421817475582e-08
1891,5.0993759215245404e-09,9.178877036220001e-08
1892,8.775916882086676e-09,7.20878894355792e-08
1893,8.005941465327737e-09,9.668713918387084e-08
1894,6.9316934414587195e-09,9.578339543736547e-08
1895,6.018614495673091e-10,9.870527861721712e-08
1896,4.1279202278587945e-09,1.1676117583903078e-07
1897,3.4960281336537946e-09,1.3110105356872737e-07
1898,1.3014216371232123e-08,1.2391797188371356e-07
1899,5.527578395003729e-09,7.628057829833779e-08
1900,4.671947717582725e-09,1.1524137999430195e-07
1901,8.38310842965484e-09,1.419539721325691e-07
1902,1.0802624572647801e-08,9.869670503093175e-08
1903,7.020286574288548e-09,1.177247987982355e-07
1904,1.0211787859759625e-08,9.674325340824907e-08
1905,3.096455536422127e-09,1.398565725452272e-07
1906,4.115347618238729e-09,1.3940739762574594e-07
1907,6.685696440911215e-09,1.373139184579486e-07
1908,3.929111258571538e-09,1.1050625214892307e-07
1909,2.7504918342913243e-09,1.5897842509104976e-07
1910,3.206490406526541e-09,1.277252010822849e-07
1911,5.852411444351446e-09,1.2024045714653653e-07
1912,1.0418842455450772e-09,1.5784546647523712e-07
1913,1.2196876508774324e-08,1.3734743653515125e-07
1914,9.37544086809794e-09,2.0358100805140111e-07
1915,2.3561523843085297e-09,3.0865595057605333e-07
1916,6.043104150421641e-08,2.1755174728355087e-07
1917,5.483212106582869e-09,2.291982728053199e-07
1918,4.594550517822427e-09,2.6763257210404845e-07
1919,1.012863304339362e-08,2.0441423664863123e-07
1920,4.543339038320937e-09,2.3625362999268873e-07
1921,6.815472630705699e-09,2.0749327589442146e-07
1922,1.4755870969551665e-09,3.061843276697118e-07
1923,1.0615948120573648e-09,2.484131922386723e-07
1924,0.0,3.158447920981189e-07
1925,2.1996355847875293e-09,2.7605427099786084e-07
1926,1.1146138456652466e-09,2.3852736674712105e-07
1927,0.0,2.1852480358575121e-07
1928,1.1426041224282812e-09,2.536581096279633e-07
1929,2.2280812750352652e-09,2.5845742257502025e-07
1930,4.201441416995522e-09,1.659569406342598e-07
1931,1.3686427990933225e-08,2.1784231307719892e-07
1932,1.0959536389520963e-08,1.8959997838408071e-07
1933,6.882397318719313e-09,1.904129938168353e-07
