year,avait_VERB eu_VERB,avait_VERB pu_VERB
1800,1.2391152267809957e-05,3.3328144581901142e-06
1801,1.138919651566539e-05,3.043151309611858e-06
1802,7.617607934662374e-06,2.3698726181464735e-06
1803,1.0118359568878077e-05,2.5920007828972302e-06
1804,1.3528439922083635e-05,4.1625971789471805e-06
1805,1.1561983228602912e-05,2.9708071451750584e-06
1806,1.0907117939495947e-05,2.772165771602886e-06
1807,1.8698801795835607e-05,4.649077709473204e-06
1808,1.3834382116328925e-05,4.097061719221529e-06
1809,1.7141523130703717e-05,4.771072326548165e-06
1810,1.453920776839368e-05,4.4204994082974736e-06
1811,2.3466238417313434e-05,4.763445758726448e-06
1812,2.3106025764718652e-05,6.102572569943732e-06
1813,2.3678856450715102e-05,6.082193522161106e-06
1814,1.9320597857586108e-05,5.937779860687442e-06
1815,1.9770648577832617e-05,5.4106303650769405e-06
1816,1.8334563719690777e-05,4.440529210114619e-06
1817,2.0687733922386542e-05,5.7977963479061145e-06
1818,2.3510945538873784e-05,5.692362265108386e-06
1819,2.3209124265122227e-05,5.502618023456307e-06
1820,2.4361885152757168e-05,6.181250228110002e-06
1821,2.5530407583573833e-05,6.532249699375825e-06
1822,2.5793904569582082e-05,6.346214831864927e-06
1823,2.578294152044691e-05,7.084898243192583e-06
1824,2.5482286218903027e-05,6.914575806149514e-06
1825,2.6175059247179888e-05,7.08926199877169e-06
1826,2.7164704079041258e-05,6.782147920603165e-06
1827,2.9689757866435684e-05,7.972941602929495e-06
1828,2.8421292881830595e-05,8.014756531338207e-06
1829,3.514916534186341e-05,9.632820365368389e-06
1830,3.099426976405084e-05,9.043517820828129e-06
1831,2.8018956072628498e-05,7.851731425034814e-06
1832,2.9910703233326785e-05,7.985388037923258e-06
1833,2.7746265914174728e-05,8.142132173816208e-06
1834,2.833496910170652e-05,7.568437467853073e-06
1835,2.9176881071180105e-05,7.4103136284975335e-06
1836,2.799259527819231e-05,7.544042091467418e-06
1837,2.9207138140918687e-05,7.684990123379976e-06
1838,3.0011173294042237e-05,7.940700015751645e-06
1839,2.968230728583876e-05,7.723482667643111e-06
1840,3.34848155034706e-05,8.836668712319806e-06
1841,2.7531312298378907e-05,8.142539627442602e-06
1842,3.311266846139915e-05,9.143364877672866e-06
1843,2.855932507372927e-05,8.083016837190371e-06
1844,3.128260505036451e-05,8.766330211074091e-06
1845,3.197637852281332e-05,9.44062958296854e-06
1846,3.0318120479932986e-05,8.993684787128586e-06
1847,3.148024552501738e-05,9.195446182275191e-06
1848,2.7911288270843215e-05,8.250374776253011e-06
1849,3.179652776452713e-05,9.450303878111299e-06
1850,2.8255801225895993e-05,8.051070835790597e-06
1851,2.934817166533321e-05,9.076295100385323e-06
1852,2.822972419380676e-05,8.630378943053074e-06
1853,2.901283914980013e-05,8.77575348567916e-06
1854,2.812153434206266e-05,8.56868973642122e-06
1855,3.123928399872966e-05,9.28077133721672e-06
1856,2.9078200896037742e-05,9.071988642972428e-06
1857,2.884093191823922e-05,9.777174454939086e-06
1858,2.979318924190011e-05,9.047428648045752e-06
1859,3.131839548586868e-05,9.540695828036405e-06
1860,3.206225665053353e-05,1.0459322766109835e-05
1861,2.8915459552081302e-05,1.0019536603067536e-05
1862,3.0668994440929964e-05,1.0031736564997118e-05
1863,2.8671620384557173e-05,9.052250788954552e-06
1864,2.8052514608134516e-05,9.3410890258383e-06
1865,2.97373717330629e-05,9.130807484325487e-06
1866,2.990746361319907e-05,9.522977961751167e-06
1867,3.005491817020811e-05,9.912352652463596e-06
1868,2.825360934366472e-05,9.32203602133086e-06
1869,2.9599497793242335e-05,9.822221727517899e-06
1870,3.0288965717772953e-05,9.669326573202852e-06
1871,2.718065479712095e-05,1.0585064956103452e-05
1872,2.882766602851916e-05,1.0412913979962468e-05
1873,2.7530233637662604e-05,9.762574336491525e-06
1874,2.8935630325577222e-05,1.0442421626066789e-05
1875,2.8183671020087786e-05,9.800403859117068e-06
1876,2.71206081379205e-05,9.576887350704055e-06
1877,2.6672018066165037e-05,9.535749086353462e-06
1878,2.8108937840443105e-05,9.441510883334558e-06
1879,2.8256239602342248e-05,9.394309017807245e-06
1880,2.6748941309051588e-05,9.036327355715912e-06
1881,2.6584777515381575e-05,9.1695446826634e-06
1882,2.6939002054859884e-05,9.170455086859874e-06
1883,2.6016086849267595e-05,8.819269169180188e-06
1884,2.7030648197978735e-05,9.217289516527671e-06
1885,2.6017163690994494e-05,8.787334991211537e-06
1886,2.609458169899881e-05,8.81414052855689e-06
1887,2.5163128157146275e-05,8.456916475552134e-06
1888,2.5867171643767506e-05,8.738635187910404e-06
1889,2.4682758521521464e-05,8.606418305134866e-06
1890,2.495844819350168e-05,8.20805780676892e-06
1891,2.3974078430910595e-05,8.047452865866944e-06
1892,2.399774530204013e-05,7.91963884694269e-06
1893,2.501179369573947e-05,8.357586921192706e-06
1894,2.503160430933349e-05,8.54488735058112e-06
1895,2.4995908461278304e-05,8.914169484341983e-06
1896,2.4695578758837655e-05,8.4693128883373e-06
1897,2.355973447265569e-05,7.901606295490637e-06
1898,2.411986861261539e-05,8.422461178270169e-06
1899,2.3905671696411446e-05,8.421266102232039e-06
1900,2.3063848857418634e-05,7.945425750222057e-06
1901,2.3524678908870555e-05,8.165147846739274e-06
1902,1.994851845665835e-05,7.172451660153456e-06
1903,2.2519458070746623e-05,7.834099960746244e-06
1904,2.202628820668906e-05,7.965194527059793e-06
1905,2.1992058464093134e-05,7.765394002490211e-06
1906,2.25958301598439e-05,7.897351679275744e-06
1907,2.129600034095347e-05,7.679293958062772e-06
1908,2.1656769604305737e-05,7.905862730694935e-06
1909,2.2620593881583773e-05,7.919766176200937e-06
1910,2.1715955881518312e-05,7.83078394306358e-06
1911,2.1562413166975603e-05,7.542162165918853e-06
1912,2.121276338584721e-05,7.691710379731376e-06
1913,2.048173701041378e-05,7.708956218266394e-06
1914,2.03741728910245e-05,7.758177162031643e-06
1915,1.9924802472814918e-05,7.589166671095882e-06
1916,1.993784826481715e-05,8.577912012697197e-06
1917,1.9636479919427074e-05,7.721459041931666e-06
1918,1.934190913743805e-05,7.986477612575982e-06
