year,serait_VERB heureux_ADJ
1800,9.746909768182377e-08
1801,1.9287578822968499e-07
1802,1.6336232988578558e-07
1803,1.2482171030114841e-07
1804,1.2359254242255702e-07
1805,7.960057502032214e-08
1806,4.610670600868616e-08
1807,1.4234775846944103e-07
1808,1.540930298915555e-07
1809,4.743964154840796e-08
1810,1.4976811257838563e-07
1811,1.7048121492280188e-07
1812,2.800568665861647e-07
1813,2.3005932803243923e-07
1814,1.5104049566616595e-07
1815,1.6453063267363177e-07
1816,1.0660977523002657e-07
1817,2.2263289167767653e-07
1818,2.2411813915823586e-07
1819,3.6642717304857797e-07
1820,3.085285129600379e-07
1821,3.29373705199032e-07
1822,2.5064039732569654e-07
1823,2.3224313849823375e-07
1824,2.854757212844561e-07
1825,2.703270922665979e-07
1826,1.8056367423469055e-07
1827,2.949527413420583e-07
1828,3.228649916309223e-07
1829,3.3263921750403824e-07
1830,3.162361394970503e-07
1831,2.3698633810909087e-07
1832,4.2078204387507867e-07
1833,2.988576284224109e-07
1834,4.116528202757763e-07
1835,3.1084292118066514e-07
1836,3.017616734268813e-07
1837,3.492861253562296e-07
1838,2.7836634330924426e-07
1839,4.0270896306537907e-07
1840,3.000123456331494e-07
1841,3.685394744934456e-07
1842,3.3608407079555036e-07
1843,3.892654376613791e-07
1844,3.858458512695506e-07
1845,4.3693185602933227e-07
1846,3.6766269317922706e-07
1847,3.333012159600912e-07
1848,3.6042592910234816e-07
1849,4.466228062938171e-07
1850,3.224773195142916e-07
1851,4.650045468679309e-07
1852,3.919348330327921e-07
1853,3.9534188545076177e-07
1854,4.7955984427972e-07
1855,4.574579861582606e-07
1856,4.1728145561137353e-07
1857,4.412884209159529e-07
1858,4.458138960217184e-07
1859,4.3385315962041204e-07
1860,4.526834800344659e-07
1861,4.720679669389938e-07
1862,5.21375625339715e-07
1863,5.209389541960263e-07
1864,5.240637506176427e-07
1865,4.622121139163937e-07
1866,4.432573348367441e-07
1867,4.847958621212456e-07
1868,5.414102020040445e-07
1869,5.738135087085539e-07
1870,4.919813818560215e-07
1871,5.42742156994791e-07
1872,6.095718276810658e-07
1873,4.836691687160055e-07
1874,5.114265491101833e-07
1875,5.212311293689709e-07
1876,5.284217081680254e-07
1877,5.0468099743739e-07
1878,5.423101470114489e-07
1879,5.77331263684755e-07
1880,5.532183422474191e-07
1881,6.086999064791598e-07
1882,6.302649921963166e-07
1883,6.053926426830003e-07
1884,5.41999327197118e-07
1885,5.736615662499389e-07
1886,6.04689546435111e-07
1887,6.045784175512381e-07
1888,5.154919904271082e-07
1889,5.669948563991056e-07
1890,5.708870389753429e-07
1891,4.79341338177619e-07
1892,4.5697456130255887e-07
1893,5.197703671910858e-07
1894,4.4614898797590286e-07
1895,5.446846103041025e-07
1896,5.584486189036397e-07
1897,5.051760467722488e-07
1898,5.499920803231362e-07
1899,5.715515953852446e-07
1900,5.08723189796001e-07
1901,5.298124392538739e-07
1902,5.180349376132654e-07
1903,4.957402097716113e-07
1904,4.595304403665068e-07
1905,5.625227572636504e-07
1906,5.154473114998837e-07
1907,5.456556664285017e-07
1908,5.598983534582658e-07
1909,4.917879437016381e-07
1910,5.520507784240181e-07
1911,5.166083383301157e-07
1912,5.29798114712321e-07
1913,4.7461759322686703e-07
1914,4.580572579016007e-07
1915,4.3942242200500914e-07
1916,4.889420779363718e-07
1917,4.923924734612228e-07
1918,5.800620215268282e-07
1919,5.497085453498585e-07
1920,4.846228307542333e-07
1921,5.565969445342489e-07
1922,5.88021464409394e-07
1923,5.573372732214921e-07
1924,5.917255521126208e-07
1925,5.334116508493025e-07
1926,5.974330292701779e-07
1927,6.433102726077777e-07
1928,6.604252007491596e-07
1929,7.787144227222598e-07
1930,5.293816229823278e-07
1931,7.744237109363894e-07
1932,8.647074309919844e-07
1933,6.480923957496998e-07
1934,6.350237526930869e-07
1935,5.361791295399598e-07
1936,6.219978558874573e-07
1937,6.018554472575488e-07
1938,6.171442237246083e-07
1939,5.322329457158048e-07
1940,3.727600983438606e-07
1941,4.0435585901832383e-07
1942,4.338922963142977e-07
1943,4.616144053670723e-07
1944,4.498460555169004e-07
1945,5.250194590189494e-07
1946,6.473313760579913e-07
1947,6.353824346660986e-07
1948,6.218720045580994e-07
1949,4.810333962268487e-07
1950,5.019890636503987e-07
1951,5.501283339981455e-07
1952,5.029871203987568e-07
1953,5.052925189374946e-07
1954,5.501937607732543e-07
1955,5.124541644363489e-07
1956,4.0378884591518727e-07
1957,4.6648997908960155e-07
1958,4.458739226720354e-07
1959,5.479778906192223e-07
1960,4.297837392641668e-07
1961,4.113310296816053e-07
1962,4.4203434867995384e-07
1963,4.177070422883844e-07
1964,4.988854129805986e-07
1965,4.0766724396235077e-07
1966,4.475572268347605e-07
1967,4.0527359601583157e-07
1968,4.1096456016020966e-07
1969,4.3146698658347304e-07
1970,5.57365467557247e-07
1971,3.679092515085358e-07
1972,3.621883593041275e-07
1973,3.7269256836225395e-07
1974,3.3640918672972475e-07
1975,2.6729728119789797e-07
1976,2.9596068884529814e-07
1977,2.8326087431196356e-07
1978,2.6673254183151585e-07
1979,3.3707365787449817e-07
1980,3.0586110710828507e-07
1981,2.9919848998360976e-07
1982,2.6009433895524126e-07
1983,2.9808290946675697e-07
1984,3.0328814659696945e-07
1985,2.5746587084540806e-07
1986,2.4817168764457165e-07
1987,2.248780646141313e-07
1988,2.6324872237637464e-07
1989,2.381844979026937e-07
1990,2.059590116232357e-07
1991,2.3738934373795928e-07
1992,2.1654081194810715e-07
1993,2.4538690013287123e-07
1994,2.869560091767198e-07
1995,2.412990625089151e-07
1996,2.0871939909739012e-07
1997,3.0303732501124614e-07
1998,2.13135379567575e-07
1999,2.3673642601806932e-07
2000,2.0278764623071766e-07
2001,2.1161253016543924e-07
2002,2.16432340494066e-07
2003,2.362645261655416e-07
2004,2.0922757926200575e-07
2005,2.116762374271275e-07
2006,2.487205392753822e-07
2007,2.520516488857538e-07
2008,2.47357235139134e-07
2009,2.6940287511934e-07
2010,3.1224271879182197e-07
2011,2.7188440299141803e-07
2012,3.502975971514388e-07
2013,4.278517735656351e-07
2014,4.294077768918214e-07
2015,4.5062978415444377e-07
2016,4.6646576379316684e-07
2017,3.599839715207054e-07
2018,4.380748919174948e-07
2019,4.0892334141062747e-07
