year,grand_ADJ air_NOUN,grand_ADJ père_NOUN
1800,1.748155455061351e-06,2.924072930454713e-07
1801,1.6525407318113139e-06,3.0955374086261145e-07
1802,1.5262069155141944e-06,3.871463434279576e-07
1803,1.7104474636653322e-06,2.4964342060229683e-07
1804,1.7945637864613673e-06,2.595443369113326e-07
1805,1.7028837646648753e-06,3.212451908929381e-07
1806,1.5013496295068762e-06,2.939302419235901e-07
1807,1.2213437230457203e-06,2.619198835596137e-07
1808,1.0129350584975327e-06,2.7419495696179297e-07
1809,1.6106887414935045e-06,3.4111361313371447e-07
1810,1.1934646408917615e-06,2.9251584621192706e-07
1811,1.3889205092709744e-06,3.835827420139992e-07
1812,1.2909288216178538e-06,3.867452007533245e-07
1813,1.9555043309082976e-06,2.703197212738928e-07
1814,1.3845379953636439e-06,3.115210267523594e-07
1815,1.372886799799744e-06,2.265667795597892e-07
1816,1.4114207260718103e-06,2.781124663897572e-07
1817,1.1022664239135338e-06,2.740097176934242e-07
1818,1.2314576451899484e-06,1.1682753608965868e-07
1819,1.064087996383023e-06,2.680922026598864e-07
1820,1.31599279029615e-06,2.4207622129068795e-07
1821,9.250076118405559e-07,3.076784323985393e-07
1822,1.2371609727779287e-06,2.747018612581087e-07
1823,1.1305793350402382e-06,2.3520794811826562e-07
1824,1.2210613249408198e-06,3.090548430506601e-07
1825,1.195779191220936e-06,2.3422478179213613e-07
1826,9.812094958761008e-07,2.809747002840979e-07
1827,7.88998590905976e-07,2.645357290442796e-07
1828,1.0346356020818348e-06,2.990170124839153e-07
1829,1.3254129953566007e-06,2.203306298520502e-07
1830,1.2920802419102984e-06,2.369161689053101e-07
1831,1.3299298871061183e-06,1.839762253652566e-07
1832,2.473278300385573e-06,1.4206467946475954e-07
1833,2.002809424084262e-06,1.7259606233110958e-07
1834,3.9755768739269115e-06,1.8949098423703958e-07
1835,1.7364850464218762e-06,2.2689263801112247e-07
1836,1.2218323490742478e-06,2.8764810833248333e-07
1837,1.4778560171180288e-06,2.5744195830679217e-07
1838,1.3223979067333858e-06,2.2155688239600124e-07
1839,1.334672560915351e-06,2.1463828825396547e-07
1840,1.6898784451768734e-06,2.783553957885765e-07
1841,1.3534515801438829e-06,2.253612492175705e-07
1842,1.5039930758575792e-06,1.9789381378032544e-07
1843,1.4548721765095252e-06,1.8016079211813363e-07
1844,1.3381112466959166e-06,1.8386679778714665e-07
1845,1.4932689964552992e-06,2.349275961543995e-07
1846,2.7849862362927524e-06,2.499872109318346e-07
1847,1.1881271575475694e-06,1.7258316109547422e-07
1848,1.3475746527547017e-06,1.761903590802305e-07
1849,1.418634951733111e-06,1.6339859820746483e-07
1850,1.9341848656040384e-06,1.3713772517576217e-07
1851,1.4001731187818223e-06,2.0960675684023045e-07
1852,1.8795944924931973e-06,2.265669825085581e-07
1853,1.9110182165604783e-06,2.352941137484521e-07
1854,1.602342877049523e-06,2.228940044757266e-07
1855,2.5844783522188663e-06,2.876359914694149e-07
1856,1.7788821651265607e-06,2.1795966076432194e-07
1857,2.039982746282476e-06,2.133219521582852e-07
1858,1.9873218661814462e-06,2.853013187920084e-07
1859,2.1840330646227812e-06,2.897446549354754e-07
1860,2.2112376427685376e-06,2.2062026613922647e-07
1861,1.970801349671092e-06,2.2165029112120038e-07
1862,2.6764550966618117e-06,2.2364032428723313e-07
1863,2.1327030026441207e-06,2.112724569736102e-07
1864,2.1624223336402792e-06,2.191190627831574e-07
1865,2.1402022412075894e-06,1.5579654322195324e-07
1866,2.2177464416017756e-06,2.4911938512062193e-07
1867,2.2774245280743344e-06,2.829189114095243e-07
1868,2.2318351966532646e-06,2.563794709864453e-07
1869,2.2708363758283667e-06,1.6848140393932454e-07
